id,outcode,latitude,longitude
355,CF47,51.752334,-3.377307
356,CF48,51.755637,-3.382044
357,CF5,51.474835,-3.286096
358,CF61,51.4178,-3.505707
359,CF62,51.40745,-3.359659
360,CF63,51.411489,-3.250475
361,CF64,51.428866,-3.205866
362,CF71,51.463101,-3.453937
363,CF72,51.530093,-3.391728
364,CF81,51.6906,-3.257353
365,CF82,51.652352,-3.241683
366,CF83,51.584521,-3.205508
367,CF91,51.465745,-3.193634
368,CF95,51.481196,-3.171039
369,CF99,51.464366,-3.161654
370,CH1,53.225184,-2.937352
371,CH2,53.235007,-2.855122
372,CH25,53.396972,-3.011914
373,CH26,53.365697,-3.065921
374,CH27,53.418339,-3.033129
375,CH28,53.400433,-3.111956
376,CH29,53.390338,-3.179391
377,CH3,53.152085,-2.799526
378,CH30,53.379056,-3.098456
379,CH31,53.329738,-3.098885
380,CH32,53.361945,-2.99765
381,CH33,53.29055,-3.062639
382,CH34,53.281708,-2.908126
383,CH4,53.161163,-2.959390
384,CH41,53.394107,-3.091767
385,CH42,53.374,-3.021
386,CH43,53.383,-3.058
387,CH44,53.415,-3.036
388,CH45,53.428,-3.05
389,CH46,53.404274,-3.109675
390,CH47,53.395319,-3.168938
391,CH48,53.370166,-3.176310
392,CH49,53.381,-3.103
393,CH5,53.204,-3.041
394,CH6,53.251549,-3.142813
395,CH60,53.323399,-3.099473
396,CH61,53.347433,-3.106494
397,CH62,53.336365,-2.976732
398,CH63,53.339399,-3.021777
399,CH64,53.288,-3.047
400,CH65,53.285224,-2.905330
401,CH66,53.278807,-2.948761
402,CH7,53.169,-3.133
403,CH70,53.192746,-2.92259
404,CH8,53.281,-3.241
405,CH88,53.179571,-2.893891
406,CH99,53.178328,-2.894104
407,CM0,51.68025,0.842547
408,CM1,51.756745,0.426735
409,CM11,51.619913,0.461591
410,CM12,51.618231,0.407296
411,CM13,51.609196,0.334102
412,CM14,51.637039,0.264254
413,CM15,51.650137,0.312163
414,CM16,51.703168,0.124299
415,CM17,51.767718,0.167636
416,CM18,51.753245,0.106598
417,CM19,51.759866,0.054801
418,CM2,51.711329,0.497149
419,CM20,51.783598,0.103772
