"AB101XY",10,392902,805917,"S92000003","","S08000020","","S12000033","S13002844"
"AB101XZ",10,393397,805932,"S92000003","","S08000020","","S12000033","S13002841"
"AB101YA",10,392729,805905,"S92000003","","S08000020","","S12000033","S13002844"
"AB101YB",10,393266,805764,"S92000003","","S08000020","","S12000033","S13002844"
"AB101YD",10,393270,805796,"S92000003","","S08000020","","S12000033","S13002841"
"AB101YE",10,393170,805747,"S92000003","","S08000020","","S12000033","S13002844"
"AB101YF",10,392603,805764,"S92000003","","S08000020","","S12000033","S13002844"
"AB101YH",10,393212,805813,"S92000003","","S08000020","","S12000033","S13002841"
"AB101YL",10,392738,805765,"S92000003","","S08000020","","S12000033","S13002844"
"AB101YN",10,392566,805761,"S92000003","","S08000020","","S12000033","S13002844"
"AB101YP",10,392652,805831,"S92000003","","S08000020","","S12000033","S13002844"
"AB101YR",10,394405,802269,"S92000003","","S08000020","","S12000033","S13002847"
"AB101YS",10,394276,806544,"S92000003","","S08000020","","S12000033","S13002842"
"AB101ZA",10,394383,806426,"S92000003","","S08000020","","S12000033","S13002842"
"AB101ZG",10,394405,802269,"S92000003","","S08000020","","S12000033","S13002847"
"AB101ZP",10,393621,806234,"S92000003","","S08000020","","S12000033","S13002841"
"AB101ZT",10,394405,802269,"S92000003","","S08000020","","S12000033","S13002847"
"AB101ZU",10,394218,806655,"S92000003","","S08000020","","S12000033","S13002842"
"AB101ZX",10,394405,802269,"S92000003","","S08000020","","S12000033","S13002847"
"AB106AA",10,393179,804969,"S92000003","","S08000020","","S12000033","S13002846"
"AB106AB",10,393173,804879,"S92000003","","S08000020","","S12000033","S13002846"
"AB106AD",10,393151,804818,"S92000003","","S08000020","","S12000033","S13002846"
"AB106AE",10,393185,804808,"S92000003","","S08000020","","S12000033","S13002846"
"AB106AG",10,393292,805008,"S92000003","","S08000020","","S12000033","S13002846"
"AB106AH",10,393198,804868,"S92000003","","S08000020","","S12000033","S13002846"
"AB106AJ",10,393354,804846,"S92000003","","S08000020","","S12000033","S13002846"
"AB106AL",10,393320,804790,"S92000003","","S08000020","","S12000033","S13002846"
"AB106AN",10,393387,804758,"S92000003","","S08000020","","S12000033","S13002846"
"AB106AP",10,393363,804707,"S92000003","","S08000020","","S12000033","S13002846"
"AB106AQ",10,393159,804744,"S92000003","","S08000020","","S12000033","S13002846"
"AB106AR",10,393136,804704,"S92000003","","S08000020","","S12000033","S13002846"
"AB106AS",10,393096,804649,"S92000003","","S08000020","","S12000033","S13002846"
"AB106AT",10,393086,804527,"S92000003","","S08000020","","S12000033","S13002846"
"AB106AU",10,393129,804627,"S92000003","","S08000020","","S12000033","S13002846"
"AB106AX",10,393093,804490,"S92000003","","S08000020","","S12000033","S13002846"
"AB106AY",10,393341,804564,"S92000003","","S08000020","","S12000033","S13002846"
"AB106BA",10,393291,804587,"S92000003","","S08000020","","S12000033","S13002846"
"AB106BB",10,393453,804638,"S92000003","","S08000020","","S12000033","S13002846"
"AB106BE",10,393262,804650,"S92000003","","S08000020","","S12000033","S13002846"
"AB106BF",10,393219,804740,"S92000003","","S08000020","","S12000033","S13002846"
"AB106BJ",10,393082,804405,"S92000003","","S08000020","","S12000033","S13002846"
"AB106BL",10,393200,805250,"S92000003","","S08000020","","S12000033","S13002846"
"AB106BN",10,393230,805408,"S92000003","","S08000020","","S12000033","S13002846"
"AB106BP",10,393237,805447,"S92000003","","S08000020","","S12000033","S13002846"
"AB106BQ",10,393250,805514,"S92000003","","S08000020","","S12000033","S13002846"
"AB106BR",10,393281,805620,"S92000003","","S08000020","","S12000033","S13002846"
"AB106BS",10,393333,805728,"S92000003","","S08000020","","S12000033","S13002846"
"AB106BT",10,393290,805719,"S92000003","","S08000020","","S12000033","S13002844"
"AB106BU",10,393125,804307,"S92000003","","S08000020","","S12000033","S13002846"
"AB106BW",10,393171,804334,"S92000003","","S08000020","","S12000033","S13002846"
"AB106BX",10,393243,805621,"S92000003","","S08000020","","S12000033","S13002844"
"AB106BY",10,393221,805528,"S92000003","","S08000020","","S12000033","S13002844"
"AB106BZ",10,393260,805302,"S92000003","","S08000020","","S12000033","S13002846"
"AB106DA",10,393181,805336,"S92000003","","S08000020","","S12000033","S13002845"
"AB106DB",10,393169,805244,"S92000003","","S08000020","","S12000033","S13002845"
"AB106DD",10,393141,805132,"S92000003","","S08000020","","S12000033","S13002845"
"AB106DE",10,393074,805227,"S92000003","","S08000020","","S12000033","S13002845"
"AB106DF",10,393193,805529,"S92000003","","S08000020","","S12000033","S13002844"
"AB106DG",10,393013,805237,"S92000003","","S08000020","","S12000033","S13002845"
"AB106DH",10,392980,805278,"S92000003","","S08000020","","S12000033","S13002845"
"AB106DJ",10,393125,805224,"S92000003","","S08000020","","S12000033","S13002845"
"AB106DL",10,392524,805697,"S92000003","","S08000020","","S12000033","S13002844"
"AB106DS",10,393253,804904,"S92000003","","S08000020","","S12000033","S13002846"
"AB106DT",10,393328,804886,"S92000003","","S08000020","","S12000033","S13002846"
"AB106DU",10,393248,805000,"S92000003","","S08000020","","S12000033","S13002846"
"AB106ED",10,392914,804576,"S92000003","","S08000020","","S12000033","S13002845"
"AB106EE",10,392942,804674,"S92000003","","S08000020","","S12000033","S13002845"
"AB106EG",10,392967,804576,"S92000003","","S08000020","","S12000033","S13002845"
"AB106EH",10,392886,804669,"S92000003","","S08000020","","S12000033","S13002845"
"AB106EJ",10,392820,804746,"S92000003","","S08000020","","S12000033","S13002845"
"AB106EL",10,392796,804724,"S92000003","","S08000020","","S12000033","S13002845"
"AB106EN",10,392902,804730,"S92000003","","S08000020","","S12000033","S13002845"
"AB106EP",10,392884,804789,"S92000003","","S08000020","","S12000033","S13002845"
"AB106EQ",10,392793,804640,"S92000003","","S08000020","","S12000033","S13002845"
"AB106ER",10,392759,804652,"S92000003","","S08000020","","S12000033","S13002845"
"AB106ES",10,392914,805171,"S92000003","","S08000020","","S12000033","S13002845"
"AB106ET",10,392952,805189,"S92000003","","S08000020","","S12000033","S13002845"
"AB106EU",10,393003,805154,"S92000003","","S08000020","","S12000033","S13002845"
