2004		Quality	Units	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
Dessert Apples	Cox’s Orange-group	1st	£/kg	0.60	0.70	0.73	0.79				0.94	0.66	0.62	0.64	0.64
	Cox’s Orange-group	2nd	£/kg	0.37	0.42	0.35	0.54				0.77	0.42	0.40	0.39	0.38
	Cox’s Orange-group	Ave	£/kg	0.54	0.65	0.67	0.70				0.93	0.61	0.56	0.58	0.58
	Discovery	1st	£/kg							0.76	0.52				
	Discovery	2nd	£/kg							0.52	0.38	0.30			
	Discovery	Ave	£/kg							0.73	0.48				
	Egremont Russet	1st	£/kg	0.61							0.81	0.74	0.75	0.70	0.67
	Egremont Russet	2nd	£/kg	0.39								0.48	0.33	0.50	0.50
	Egremont Russet	Ave	£/kg	0.60								0.71	0.74	0.68	0.66
	Spartan	1st	£/kg									0.49	0.49	0.54	0.48
	Spartan	2nd	£/kg									0.28	0.33		
	Spartan	Ave	£/kg									0.48	0.48		
	Worcester Pearmain	1st	£/kg								0.61	0.56	0.48		
	Worcester Pearmain	2nd	£/kg									0.40	0.33		
	Worcester Pearmain	Ave	£/kg									0.53	0.47		
	Red Pippin	1st	£/kg									0.66	0.44	0.71	
	Red Pippin	2nd	£/kg												0.39
	Red Pippin	Ave	£/kg												
	Gala	1st	£/kg	0.55	0.53	0.67						0.61	0.55	0.54	0.50
	Gala	2nd	£/kg	0.40	0.36	0.60							0.40	0.35	0.33
	Gala	Ave	£/kg	0.53	0.51	0.66							0.54	0.50	0.46
	Other Early Season	-	£/kg							0.66	0.60	0.46	0.49		
	Other Mid Season	-	£/kg	0.51								0.49	0.54	0.51	0.53
	Other Late Season	-	£/kg	0.53	0.54	0.51	0.47	0.48					0.59	0.65	0.48
	Jonogold – group	1st	£/kg										0.52	0.50	0.54
	Jonogold – group	2nd	£/kg										0.34	0.34	
	Jonogold – group	Ave	£/kg										0.52	0.47	
Gooseberries	All Varieties	-	£/kg					2.76	1.96	2.09					
Pears	Conference	1st	£/kg	0.48	0.46	0.46	0.46	0.46	0.44		0.54	0.48	0.49	0.49	0.48
	Conference	2nd	£/kg	0.33	0.32	0.37	0.34	0.39	0.39	0.27	0.50	0.37	0.36	0.37	0.37
	Conference	Ave	£/kg	0.41	0.38	0.40	0.40	0.42	0.39		0.54	0.45	0.45	0.44	0.44
	Doyenne Du Comice	1st	£/kg	0.51	0.53	0.48	0.42					0.50	0.55	0.55	0.52
	Doyenne Du Comice	2nd	£/kg	0.28	0.31	0.30	0.33					0.39	0.39	0.39	0.37
	Doyenne Du Comice	Ave	£/kg	0.51	0.51	0.47	0.39					0.49	0.51	0.51	0.48
	William’s Bon Chretien	1st	£/kg								0.55	0.52			
	William’s Bon Chretien	2nd	£/kg								0.50	0.50			
	William’s Bon Chretien	Ave	£/kg								0.52	0.51			
	Other	1st	£/kg	0.39								0.43		0.39	0.29
	Other	2nd	£/kg								0.50	0.43	0.39	0.40	0.41
	Other	Ave	£/kg									0.43		0.39	0.36
Plums and Gages	Czar	1st	£/kg												
	Czar	2nd	£/kg							0.39					
	Czar	Ave	£/kg												
	Majorie’s Seedling	1st	£/kg								0.74	0.63	0.49		
	Majorie’s Seedling	2nd	£/kg									0.49			
	Majorie’s Seedling	Ave	£/kg									0.58			
	Victoria	1st	£/kg							0.97	0.82	0.61			
	Victoria	2nd	£/kg								0.55	0.57			
	Victoria	Ave	£/kg								0.74	0.59			
	Other Varieties	-	£/kg							0.77	0.68	0.70			
Raspberries	All Varieties	-	£/kg					7.08	5.27	5.98	5.63	7.90	8.97	8.85	
Redcurrants	All Varieties	-	£/kg							3.14	4.00	4.00			
Strawberries	All Varieties	1st	£/kg				3.25	2.02	1.76	2.33	1.85	1.83	2.01	2.14	
	All Varieties	2nd	£/kg				1.21	1.08	1.00	1.25	1.00	0.93	1.34	1.43	1.98
	All Varieties	Ave	£/kg				2.18	1.57	1.46	1.90	1.53	1.54	1.75	1.99	
VEGETABLES															
Asparagus	All Varieties	1st	£/kg				5.02	4.40	4.98						
	All Varieties	2nd	£/kg				2.71	2.32	4.00						
	All Varieties	Ave	£/kg				4.50	3.78	4.80						
Beetroot	Topped	-	£/kg	0.27	0.26	0.26	0.28		0.48	0.39	0.37	0.37	0.36	0.36	0.35
Broad Beans	Broad	-	£/kg					0.96	0.87	0.85	0.97	0.92	0.91		
Brussels Sprouts	All Varieties	1st	£/kg	0.62	0.55	0.52	0.57			1.21	1.07	0.69	0.72	0.66	0.74
	All Varieties	2nd	£/kg	0.46	0.35	0.37	0.40				0.76	0.52	0.46	0.42	0.50
	All Varieties	Ave	£/kg	0.57	0.50	0.47	0.48				0.99	0.65	0.67	0.62	0.70
Bulb Onions	Yellow	1st	£/kg	0.29	0.28	0.30	0.41	0.50	0.41	0.32	0.21	0.17	0.17	0.17	0.16
(previously down as bulb only)	Yellow	2nd	£/kg	0.25	0.22	0.25	0.33	0.38	0.41	0.39	0.23	0.17	0.18	0.16	0.15
	Yellow	Ave	£/kg	0.26	0.24	0.26	0.35	0.39	0.41	0.38	0.22	0.17	0.18	0.16	0.15
Bulb Onions	Red	1st	£/kg	0.44	0.45	0.45	0.50	0.49	0.45		0.46	0.45	0.39	0.40	0.36
(new item this year)	Red	2nd	£/kg	0.33	0.29	0.30	0.39	0.40	0.35		0.36	0.31	0.27	0.26	0.23
	Red	Ave	£/kg	0.39	0.40	0.41	0.46	0.47	0.41		0.41	0.42	0.37	0.35	0.24
Cabbage	Red	1st	£/kg	0.32	0.31	0.31	0.41	0.53	0.56	0.52	0.47	0.43	0.40	0.39	0.41
	Red	2nd	£/kg	0.27	0.27	0.26	0.32	0.41	0.50	0.50	0.37	0.33	0.32	0.30	0.31
	Red	Ave	£/kg	0.31	0.30	0.30	0.39	0.51	0.55	0.52	0.45	0.42	0.38	0.37	0.40
	Savoy	1st	£/head	0.28	0.29	0.32	0.33		0.44	0.49	0.57	0.52	0.46	0.36	0.35
	Savoy	2nd	£/head	0.23	0.22	0.27	0.28	0.46	0.38	0.38	0.44	0.42	0.35	0.30	0.30
	Savoy	Ave	£/head	0.27	0.29	0.31	0.32		0.44	0.47	0.55	0.50	0.44	0.35	0.35
	Spring Greens - Loose	-	£/kg	0.45	0.37	0.47	0.46	0.50	0.54			0.72	0.64	0.59	0.54
	Spring Greens - Prepacked	-	£/kg	0.72	0.70	0.67	0.67	0.68	0.71	0.81	0.80	0.76	0.75	0.74	0.74
	Summer & Autumn-Pointed	1st	£/kg	0.43	0.40		0.50	0.43	0.39	0.43	0.54	0.51	0.48	0.49	0.55
	Summer & Autumn-Pointed	2nd	£/kg			0.40	0.34	0.24	0.22	0.29	0.52		0.30	0.23	0.45
	Summer & Autumn-Pointed	Ave	£/kg				0.50	0.41	0.36	0.41	0.53		0.46	0.41	0.55
	Summer & Autumn-Round	1st	£/head	0.28	0.26	0.26	0.27	0.35	0.29	0.43	0.58	0.53	0.41	0.39	0.37
	Summer & Autumn Round	2nd	£/head	0.21	0.21	0.19	0.19	0.27	0.22	0.29	0.41	0.39	0.32	0.29	0.27
	Summer & Autumn Round	Ave	£/head	0.26	0.25	0.25	0.26	0.35	0.29	0.41	0.55	0.51	0.39	0.37	0.35
	White	1st	£/kg	0.24	0.25	0.26	0.29	0.29	0.28	0.35	0.42	0.44	0.43	0.39	0.38
	White	2nd	£/kg	0.21	0.23	0.22	0.24	0.24	0.24	0.28	0.36	0.35	0.35	0.33	0.32
	White	Ave	£/kg	0.24	0.25	0.25	0.28	0.28	0.28	0.34	0.41	0.42	0.42	0.38	0.37
	Winter Other	1st	£/head	0.29	0.31	0.29	0.31	0.34						0.38	0.35
	Winter Other	2nd	£/head	0.22	0.20	0.23	0.25	0.29							
	Winter Other	Ave	£/head	0.28	0.29	0.29	0.30	0.32							
Calabrese	All Varieties	-	£/kg						1.19	2.44	1.62	1.75	1.07	1.06	1.11
Capsicums	Green	1st	£/kg					1.10	0.91	0.80				0.75	0.86
	Green	2nd	£/kg					0.71	0.53	0.51	0.74	0.67	0.63	0.71	0.67
	Green	Ave	£/kg					0.95	0.87	0.73				0.73	0.73
	Red	1st	£/kg				1.75	1.32	1.12	1.07	0.85			0.78	0.87
	Red	2nd	£/kg					0.85	0.64	0.64	0.67	0.73	0.85	0.78	0.69
	Red	Ave	£/kg					1.26	1.11	1.00	0.74			0.78	0.73
Carrots	Topped-Washed	1st	£/kg	0.31	0.32	0.33	0.36	0.42	0.41	0.39	0.38	0.36	0.35	0.32	0.33
	Topped-Washed	2nd	£/kg	0.22	0.21	0.21	0.24	0.29	0.28	0.31	0.29	0.27	0.25	0.22	0.22
	Topped-Washed	Ave	£/kg	0.30	0.29	0.30	0.34	0.41	0.41	0.39	0.37	0.35	0.33	0.30	0.32
Cauliflowers	Kent	1st	£/head	0.46	0.38	0.38	0.50	0.55	0.53	0.90	0.68	0.66	0.49	0.55	0.52
	Kent	2nd	£/head	0.32	0.26	0.23	0.29	0.35	0.41	0.58	0.49	0.42	0.35	0.37	0.40
	Kent	Ave	£/head	0.42	0.32	0.35	0.47	0.48	0.51	0.88	0.66	0.57	0.46	0.51	0.50
	All Other	1st	£/head	0.43	0.36	0.37	0.38	0.51	0.45	0.82	0.59	0.65	0.45	0.47	0.51
	All Other	2nd	£/head	0.31	0.28	0.27	0.25	0.33	0.34	0.62	0.42	0.47	0.34	0.35	0.38
	All Other	Ave	£/head	0.38	0.34	0.34	0.34	0.47	0.42	0.76	0.54	0.60	0.42	0.44	0.48
Celery	All Washed	1st	£/kg		0.65			0.68	0.64	0.58	0.52	0.50	0.49	0.47	0.47
	All Washed	2nd	£/kg		0.51				0.48	0.48	0.45	0.41	0.40	0.40	0.36
	All Washed	Ave	£/kg		0.61				0.63	0.56	0.50	0.48	0.47	0.46	0.45
Courgettes	All Varieties	1st	£/kg						0.75	1.02	0.92	1.09	0.94		
	All Varieties	2nd	£/kg						0.58	0.56	0.77	0.78	0.73		
	All Varieties	Ave	£/kg						0.69	0.91	0.88	1.00	0.87		
Cucumbers	All Varieties	1st	£/kg		0.91	0.75	0.69	0.62	0.57	0.53	0.51	0.56	0.68		
	All Varieties	2nd	£/kg			0.57	0.50	0.43	0.40	0.36	0.35	0.38	0.50		
	All Varieties	Ave	£/kg			0.74	0.66	0.58	0.53	0.49	0.47	0.51	0.63		
Dwarf, French or Kidney Beans	Dwarf, French or Kidney	1st	£/kg							1.77	1.80	1.62	1.64		
	Dwarf, French or Kidney	2nd	£/kg							1.07	1.57	1.48	1.28		
	Dwarf, French or Kidney	Ave	£/kg							1.68	1.73	1.60	1.58		
Leeks	Trimmed	1st	£/kg	0.78	0.80	0.78	0.73	0.75	1.00	1.06	0.98	0.92	0.93	0.93	0.89
	Trimmed	2nd	£/kg	0.60	0.63	0.59	0.48	0.53		0.91	0.79	0.71	0.72	0.68	0.62
	Trimmed	Ave	£/kg	0.74	0.76	0.73	0.67	0.70		1.05	0.94	0.87	0.89	0.89	0.84
Lettuce	Butterhead – Indoor	1st	£/head	0.28	0.29	0.27	0.30	0.28	0.27	0.25	0.23	0.24	0.24	0.26	0.29
	Butterhead – Indoor	2nd	£/head	0.22	0.22	0.19	0.20	0.19	0.19	0.19	0.18	0.18	0.17	0.16	0.18
	Butterhead – Indoor	Ave	£/head	0.27	0.29	0.26	0.29	0.27	0.25	0.24	0.23	0.23	0.24	0.25	0.29
	Cos	1st	£/head				0.65	0.45	0.39	0.42	0.43	0.41	0.40	0.44	
	Cos	2nd	£/head				0.50	0.33	0.29	0.33	0.32	0.31	0.32		
	Cos	Ave	£/head				0.62	0.44	0.38	0.40	0.41	0.39	0.38		
	Crisp-Iceberg Type	1st	£/head				0.47	0.29	0.29	0.33	0.37	0.30	0.28	0.47	
	Crisp-Iceberg Type	2nd	£/head				0.37	0.20	0.22	0.26	0.27	0.22	0.21		
	Crisp-Iceberg Type	Ave	£/head				0.46	0.27	0.27	0.31	0.35	0.28	0.26		
	Little Gem	1st	£/twin	0.50	0.45	0.48	0.57	0.41	0.38	0.37	0.37	0.37	0.42	0.45	0.45
	Little Gem	2nd	£/twin					0.32	0.34	0.34	0.38	0.34	0.30	0.30	
	Little Gem	Ave	£/twin					0.40	0.38	0.36	0.37	0.37	0.40	0.34	
Mushrooms	Button – Indoor	-	£/kg	1.06	1.08	1.12	0.99	0.91	1.08	1.10	1.04	1.10	1.08	1.04	1.10
	Cup – Indoor	-	£/kg	1.17	1.03	1.17	1.17	1.12	1.23	1.20	1.04	1.25	1.27	1.02	1.23
	Flat – Indoor	-	£/kg		1.38		0.47	1.05	1.21	1.40				0.87	0.92
Parsnips	All Varieties	-	£/kg	0.79	0.70	0.68	0.64	0.77	0.97	1.38	1.29	1.00	0.87	0.89	0.92
Rhubarb	Forced	-	£/kg	2.44	2.31	2.07	1.70								2.36
	Outdoor	-	£/kg			1.32	1.01	1.03	1.04	0.99	0.91	0.94			
Runner Beans	Runner-Climbing	1st	£/kg						3.60	2.37	1.36	1.79	2.09		
	Runner-Climbing	2nd	£/kg						2.56	1.57	1.06	1.19	1.40		
	Runner-Climbing	Ave	£/kg						3.55	2.25	1.30	1.65	2.00		
Salad Onions	Salad	-	£/bunch				0.20	0.20	0.19	0.20	0.21	0.20	0.20	0.20	
Shelling Peas	All Varieties	1st	£/kg					2.01	1.94	1.43	1.84	1.96	1.73		
	All Varieties	2nd	£/kg					1.51	1.68	1.30	1.55	1.14	1.01		
	All Varieties	Ave	£/kg					1.97	1.90	1.40	1.70	1.40	1.21		
Spinach	Leaf - Loose/bunches	1st	£/kg				0.79	0.92	0.69	0.65	0.58	0.60	0.59	0.62	
(new item this year)	Leaf - Loose/bunches	2nd	£/kg					0.70	0.60	0.60		0.43			
	Leaf - Loose/bunches	Ave	£/kg					0.92	0.69	0.65		0.59			
Swede	All Varieties	-	£/kg	0.28	0.27	0.27	0.26	0.28	0.35	0.46	0.41	0.36	0.34	0.35	0.35
Sweetcorn	All Varieties	-	£/cob							0.20	0.22	0.16	0.15		
Tomatoes	Round	1st	£/kg			1.65	1.22	0.73	0.76	0.79	0.74	0.93	0.96	0.78	
	Round	2nd	£/kg				0.66	0.42	0.43	0.43	0.51	0.60	0.61	0.44	
	Round	Ave	£/kg				1.18	0.67	0.68	0.70	0.69	0.86	0.91	0.73	
	Vine	1st	£/kg			1.65	1.27	0.80	0.82	0.81	0.71	0.85	0.99	0.76	
	Vine	2nd	£/kg					0.57	0.74	0.71	0.67	0.53		0.53	
	Vine	Ave	£/kg					0.79	0.82	0.80	0.71	0.83		0.65	
	Cherry	1st	£/kg			3.95	2.88	1.76	1.82	2.07	1.83	2.04	2.33	0.89	
	Cherry	2nd	£/kg				1.64	1.04	1.22	1.30	1.00	1.35	1.40	1.40	
	Cherry	Ave	£/kg				2.82	1.69	1.80	2.03	1.76	1.99	2.22	1.07	
	Plum	1st	£/kg			1.67	1.23	0.77	0.82	0.87	0.78	0.93	0.98		
	Plum	2nd	£/kg				0.83				0.43	0.50			
	Plum	Ave	£/kg				1.20				0.76	0.90			
Turnip	All Varieties	-	£/kg	0.84	0.53	0.44	0.62	0.68	0.66	0.78	0.87	0.86	0.80	0.76	0.75
Watercress	All Varieties	-	£/bunch	0.44	0.45	0.47	0.44	0.65	0.61	0.51	0.46	0.47	0.48	0.49	0.49
CUT FLOWERS															
Alstromeria	Indoor	-	£/bunch(1)	0.91	0.96	0.88	0.74	0.77	0.83	0.83	0.72	0.72	0.81	0.88	0.90
Chrysanthemums Flowers	Indoor-bloom	-	£/bloom			0.20		0.24	0.26	0.31	0.31	0.32	0.34	0.36	0.45
	Indoor-spray	-	£/spray	0.14	0.13	0.09	0.11	0.15	0.13	0.12	0.14	0.15	0.11	0.12	0.12
Gladioli	All Varieties	-	£/bunch(1)						0.90	0.53	0.41	0.50	0.53		
Irises	Indoor	-	£/bunch(1)	0.35	0.46	0.60			0.33			0.60	0.60		
Narcissus-inc.Daffodils	Indoor		£/bunch(2)	0.49	0.48	0.59	0.33					0.40	0.43	0.45	0.46
Oriental Lilies	Homegrown	-	£/stem	0.43	0.48	0.60	0.52	0.51	0.55	0.48	0.42	0.45	0.43	0.47	0.47
Pinks	All Varieties	-	£/bunch(3)				0.33	0.26	0.24	0.24	0.20	0.25	0.21	0.20	
Tulips	Indoor	-	£/bunch(4)	0.67	0.65	0.66	0.61	0.40							0.74
POT PLANTS															
Begonia-Elatior	13cm	-	£ each	0.63	1.00	0.80	0.88	0.66	0.69	0.75	0.81	0.66	0.74	0.85	0.98
Cyclamen	13cm	-	£ each	1.04	0.73						1.28	1.25	1.03	1.19	1.42
Poinsettia	13cm	-	£ each											2.55	2.24
Chrysanthemum	13cm	-	£ each	0.82	0.94	1.07	1.05	0.97	1.00	0.97	0.99	1.00	0.98	1.07	1.06
2008		Quality	Units	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
FRUIT															
Blackberries	All Varieties	-	£/kg							4.86	6.84	6.70			
Blackcurrants	All Varieties	-	£/kg							4.66	5.20	4.74	6.13		
Cherries	Sweet Black	1st	£/kg							2.82	3.31				
	Sweet Black	2nd	£/kg							2.58					
	Sweet Black	Ave	£/kg							2.82					
	Sweet White	1st	£/kg							2.08					
	Sweet White	2nd	£/kg							3.31					
	Sweet White	Ave	£/kg							2.09					
Cooking Apples	Bramley’s Seedling	1st	£/kg	0.72	0.73	0.74	0.88	1.01	1.03	1.03	0.81	0.66	0.61	0.65	0.69
	Bramley’s Seedling	2nd	£/kg	0.51	0.52	0.57	0.63	0.71	0.76	0.70	0.61	0.48	0.43	0.42	0.45
	Bramley’s Seedling	Ave	£/kg	0.68	0.68	0.69	0.80	0.91	0.92	0.93	0.78	0.64	0.58	0.58	0.63
Damsons	All Varieties	1st	£/kg								1.55				
	All Varieties	2nd	£/kg												
	All Varieties	Ave	£/kg												
Dessert Apples	Cox’s Orange-group	1st	£/kg	0.70	0.67	0.72	0.87				1.09	0.83	0.65	0.63	0.69
	Cox’s Orange-group	2nd	£/kg	0.45	0.43	0.52	0.50					0.59	0.42	0.37	0.43
	Cox’s Orange-group	Ave	£/kg	0.65	0.60	0.67	0.74					0.81	0.60	0.57	0.63
	Discovery	1st	£/kg							1.03	0.68	0.46			
	Discovery	2nd	£/kg								0.43	0.36			
	Discovery	Ave	£/kg								0.64	0.44			
	Egremont Russet	1st	£/kg	0.77	0.90	0.80	0.88					0.96	0.72	0.78	0.82
	Egremont Russet	2nd	£/kg	0.51		0.44	0.43						0.50	0.53	0.53
	Egremont Russet	Ave	£/kg	0.75		0.77	0.48						0.70	0.74	0.75
	Spartan	1st	£/kg	0.39									0.61	0.62	0.66
	Spartan	2nd	£/kg										0.34	0.37	0.36
	Spartan	Ave	£/kg										0.59	0.54	0.60
	Worcester Pearmain	1st	£/kg									0.69	0.63		
	Worcester Pearmain	2nd	£/kg									0.50	0.43		
	Worcester Pearmain	Ave	£/kg									0.67	0.52		
	Red Pippin	1st	£/kg									0.61	0.48	0.49	
	Red Pippin	2nd	£/kg										0.34		
	Red Pippin	Ave	£/kg										0.47		
	Gala	1st	£/kg	0.54	0.57	0.62	0.54					0.64	0.59	0.54	0.64
	Gala	2nd	£/kg	0.40	0.55	0.43	0.44							0.42	0.43
	Gala	Ave	£/kg	0.51	0.57	0.55	0.49							0.53	0.59
	Other Early Season	-	£/kg								0.60	0.55	0.50		
	Other Mid Season	-	£/kg	0.58	0.62	0.61						0.67	0.50	0.42	0.57
	Other Late Season	-	£/kg	0.54	0.55	0.56	0.53	0.55	0.44				0.60	0.58	0.60
	Jonogold – group	1st	£/kg	0.42	0.48	0.59	0.51						0.62	0.56	0.52
	Jonogold – group	2nd	£/kg	0.39									0.33	0.33	0.35
	Jonogold – group	Ave	£/kg	0.41									0.60	0.47	0.41
Gooseberries	All Varieties	-	£/kg						2.13	1.60					
Pears	Conference	1st	£/kg	0.48	0.49	0.53	0.71	1.01			0.73	0.65	0.63	0.57	0.62
	Conference	2nd	£/kg	0.39	0.39	0.44	0.44	0.55				0.49	0.51	0.46	0.56
	Conference	Ave	£/kg	0.44	0.46	0.49	0.56	0.86				0.63	0.58	0.52	0.59
	Doyenne Du Comice	1st	£/kg	0.60	0.61	0.67						0.74	0.66	0.69	0.72
	Doyenne Du Comice	2nd	£/kg	0.38	0.38	0.36						0.64	0.51	0.56	0.66
	Doyenne Du Comice	Ave	£/kg	0.51	0.49	0.52						0.74	0.63	0.66	0.70
	William’s Bon Chretien	1st	£/kg								0.77	0.68			
	William’s Bon Chretien	2nd	£/kg									0.50			
	William’s Bon Chretien	Ave	£/kg									0.67			
	Other	1st	£/kg		0.46							0.55			0.57
	Other	2nd	£/kg										0.43		
	Other	Ave	£/kg												
Plums and Gages	Czar	1st	£/kg												
	Czar	2nd	£/kg												
	Czar	Ave	£/kg												
	Majorie’s Seedling	1st	£/kg								1.15	1.41			
	Majorie’s Seedling	2nd	£/kg									1.10			
	Majorie’s Seedling	Ave	£/kg									1.41			
	Victoria	1st	£/kg								1.66	1.29			
	Victoria	2nd	£/kg								1.25	0.66			
	Victoria	Ave	£/kg								1.59	1.25			
	Other Varieties	-	£/kg							1.01	1.24				
Raspberries	All Varieties	-	£/kg					7.45	8.08	5.51	6.35	6.23	8.63	8.65	7.57
Redcurrants	All Varieties	-	£/kg							5.41	4.48	4.93			
Strawberries	All Varieties	1st	£/kg				4.04	2.96	2.23	2.54	1.77	2.49	2.64	2.09	
	All Varieties	2nd	£/kg				2.50	1.28	1.19	1.35	0.83	1.03	1.33	1.22	
	All Varieties	Ave	£/kg				3.92	2.23	1.72	2.05	1.48	1.83	2.16	1.38	
VEGETABLES															
Asparagus	All Varieties	1st	£/kg			6.78	7.71	5.37	5.68	8.01					
	All Varieties	2nd	£/kg				5.38	3.46	2.74						
	All Varieties	Ave	£/kg				7.46	4.62	4.25						
Beetroot	Topped	-	£/kg	0.34	0.37	0.36	0.38	0.37	0.40	0.42	0.42	0.36	0.37	0.35	0.35
Broad Beans	Broad	-	£/kg						0.87	0.66	0.71	0.82	0.84		
Brussels Sprouts	All Varieties	1st	£/kg	0.62	0.57	0.52	0.67				1.17	0.85	0.62	0.53	0.56
	All Varieties	2nd	£/kg	0.43	0.42	0.42	0.41				0.88	0.63	0.53	0.40	0.40
	All Varieties	Ave	£/kg	0.58	0.54	0.49	0.63				1.16	0.83	0.60	0.50	0.52
Bulb Onions	Yellow	1st	£/kg	0.21	0.16	0.17	0.18	0.21		0.20	0.19	0.19	0.16	0.15	0.16
(previously down as bulb only)	Yellow	2nd	£/kg	0.16	0.17	0.16	0.15	0.14	0.24	0.17	0.17	0.17	0.17	0.15	0.15
	Yellow	Ave	£/kg	0.16	0.17	0.16	0.15	0.15		0.18	0.18	0.17	0.16	0.15	0.15
Bulb Onions	Red	1st	£/kg	0.45	0.42	0.34	0.38	0.45		0.42		0.46	0.37	0.38	0.41
(new item at the start of 2007)	Red	2nd	£/kg	0.32	0.22	0.28	0.35	0.31				0.36	0.28	0.21	0.22
	Red	Ave	£/kg	0.38	0.36	0.29	0.36	0.40				0.40	0.30	0.30	0.32
Cabbage	Red	1st	£/kg	0.38	0.38	0.38	0.38	0.51	0.54	0.46	0.36	0.32	0.32	0.30	0.31
	Red	2nd	£/kg	0.30	0.32	0.31	0.31	0.34	0.42	0.37	0.28	0.25	0.24	0.22	0.25
	Red	Ave	£/kg	0.37	0.37	0.37	0.37	0.48	0.52	0.46	0.35	0.32	0.31	0.29	0.30
	Savoy	1st	£/head	0.37	0.37	0.37	0.35		0.48	0.40	0.36	0.33	0.34	0.34	0.34
	Savoy	2nd	£/head	0.36	0.32	0.29	0.28			0.32	0.30	0.27	0.28	0.28	0.29
	Savoy	Ave	£/head	0.37	0.36	0.35	0.33			0.40	0.34	0.32	0.33	0.32	0.33
	Spring Greens - Loose	-	£/kg	0.58	0.55	0.57	0.65	0.58	0.47	0.45		0.59	0.62		0.55
	Spring Greens - Prepacked	-	£/kg	0.85	0.84	0.83	0.73	0.77	0.69	0.64	0.61	0.74	0.78	0.76	0.80
	Summer & Autumn-Pointed	1st	£/kg	0.54			0.52	0.49	0.48	0.37	0.37	0.44	0.51	0.47	0.38
	Summer & Autumn-Pointed	2nd	£/kg	0.27			0.51	0.38	0.32	0.27	0.26	0.27	0.40	0.30	
	Summer & Autumn-Pointed	Ave	£/kg	0.50			0.52	0.47	0.46	0.37	0.37	0.43	0.51	0.45	
	Summer & Autumn-Round	1st	£/head	0.40	0.43	0.42		0.48	0.37	0.30	0.31	0.30	0.31	0.31	0.35
	Summer & Autumn Round	2nd	£/head	0.36	0.34	0.33		0.47	0.36	0.25	0.25	0.24	0.25	0.24	0.27
	Summer & Autumn Round	Ave	£/head	0.38	0.39	0.37		0.48	0.37	0.29	0.30	0.29	0.30	0.29	0.33
	White	1st	£/kg	0.36	0.36	0.35	0.37	0.53	0.54	0.47	0.34	0.31	0.30	0.28	0.29
	White	2nd	£/kg	0.31	0.29	0.27	0.30	0.41	0.45	0.39	0.32	0.27	0.28	0.25	0.24
	White	Ave	£/kg	0.35	0.35	0.34	0.36	0.50	0.52	0.46	0.33	0.31	0.30	0.28	0.29
	Winter Other	1st	£/head	0.35	0.36	0.34	0.33	0.37					0.37	0.30	0.32
	Winter Other	2nd	£/head	0.29	0.25	0.26	0.24	0.28						0.25	0.24
	Winter Other	Ave	£/head	0.35	0.35	0.33	0.30	0.35						0.30	0.31
Calabrese	All Varieties	-	£/kg	0.99				1.52	1.62	1.04	1.16	1.07	1.26	1.23	1.49
Capsicums	Green	1st	£/kg	1.50			1.70	1.44	1.06	0.84	0.85	1.05	0.62	0.76	0.90
	Green	2nd	£/kg	0.89						0.79	0.71	0.82	0.50	0.45	0.70
	Green	Ave	£/kg	1.13						0.82	0.83	0.96	0.57	0.63	0.86
	Red	1st	£/kg				3.64	1.47	1.06	0.89	0.77	1.12	0.84	0.82	0.95
	Red	2nd	£/kg	0.75				1.50		0.64	0.45	1.12	0.57	0.71	0.70
	Red	Ave	£/kg					1.47		0.82	0.63	1.12	0.80	0.78	0.88
Carrots	Topped-Washed	1st	£/kg	0.36	0.34	0.32	0.33	0.45	0.52	0.46	0.39	0.36	0.34	0.33	0.32
	Topped-Washed	2nd	£/kg	0.23	0.21	0.20	0.22	0.31	0.42	0.31	0.32	0.23	0.22	0.22	0.22
	Topped-Washed	Ave	£/kg	0.33	0.32	0.30	0.30	0.42	0.52	0.45	0.38	0.35	0.33	0.31	0.31
Cauliflowers	Kent	1st	£/head	0.41	0.49	0.51	0.65	0.46	0.92	0.36	0.35	0.77	0.48	0.58	0.71
	Kent	2nd	£/head	0.32	0.40	0.36	0.50	0.37	0.43	0.27	0.27	0.75	0.39	0.46	0.58
	Kent	Ave	£/head	0.39	0.46	0.44	0.60	0.42	0.87	0.34	0.33	0.77	0.47	0.56	0.69
	All Other	1st	£/head	0.38	0.44	0.46	0.57	0.44	0.75	0.40	0.46	0.61	0.48	0.54	0.59
	All Other	2nd	£/head	0.31	0.32	0.36	0.44	0.40	0.53	0.29	0.31	0.42	0.35	0.41	0.42
	All Other	Ave	£/head	0.36	0.42	0.43	0.54	0.42	0.67	0.37	0.41	0.55	0.45	0.51	0.55
Celery	All Washed	1st	£/kg					1.19	0.83	0.62	0.55	0.52	0.52	0.52	0.50
	All Washed	2nd	£/kg						0.73	0.51	0.44	0.40	0.40	0.42	
	All Washed	Ave	£/kg						0.82	0.60	0.53	0.50	0.50	0.51	
Courgettes	All Varieties	1st	£/kg						1.04	0.72	0.71	1.03	1.11		
	All Varieties	2nd	£/kg						0.73	0.48	0.45	0.86	1.08		
	All Varieties	Ave	£/kg						0.96	0.63	0.60	0.97	1.10		
