2004		Quality	Units	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
	Red	1st	£/kg				1.68	1.69	1.06	0.81	0.71	0.81	0.83	0.80	
	Red	2nd	£/kg					0.62	0.75	0.56	0.39	0.43	0.52	0.52	
	Red	Ave	£/kg					1.23	0.81	0.63	0.43	0.57	0.67	0.54	
Carrots	Topped-Washed	1st	£/kg	0.24	0.24	0.24	0.23	0.25	0.29	0.25	0.23	0.23	0.23	0.24	0.24
	Topped-Washed	2nd	£/kg	0.17	0.17	0.17	0.17	0.17	0.20	0.18	0.18	0.15	0.15	0.17	0.17
	Topped-Washed	Ave	£/kg	0.22	0.22	0.22	0.21	0.23	0.27	0.24	0.23	0.22	0.21	0.22	0.22
Cauliflowers	Cornish	1st	£/head	0.41	0.37	0.37	0.31				0.30		0.30	0.37	0.69
	Cornish	2nd	£/head	0.40	0.32	0.42	0.20							0.40	0.53
	Cornish	Ave	£/head	0.41	0.36	0.38	0.28							0.38	0.68
	Kent	1st	£/head	0.41	0.41	0.42	0.32	0.41	0.46	0.44	0.35	0.53	0.38	0.34	0.80
	Kent	2nd	£/head	0.32	0.26	0.29	0.24	0.33	0.49		0.23		0.27	0.22	0.63
	Kent	Ave	£/head	0.39	0.38	0.40	0.30	0.38	0.47		0.34		0.36	0.32	0.78
	Other	1st	£/head	0.40	0.34	0.34	0.29	0.37	0.41	0.37	0.34	0.48	0.38	0.30	0.65
	Other	2nd	£/head	0.29	0.23	0.26	0.22	0.28	0.34	0.29	0.22	0.36	0.26	0.23	0.47
	Other	Ave	£/head	0.37	0.32	0.34	0.27	0.32	0.39	0.34	0.31	0.45	0.34	0.28	0.59
Celery	All Washed	1st	£/kg			0.52		0.63	0.56	0.51	0.47	0.47	0.45	0.49	0.63
	All Washed	2nd	£/kg			0.42			0.42	0.40	0.37	0.40	0.38	0.39	0.31
	All Washed	Ave	£/kg			0.51			0.54	0.50	0.46	0.46	0.44	0.48	0.58
Chinese Leaf	All Varieties	-	£/kg	0.56			0.48	0.42	0.41	0.41	0.38	0.42			
Courgettes	All Varieties	1st	£/kg						0.87	0.79	0.60	0.80	0.64		
	All Varieties	2nd	£/kg						0.55	0.57	0.41	0.59	0.63		
	All Varieties	Ave	£/kg						0.86	0.76	0.56	0.75	0.63		
Cucumbers	All Varieties	1st	£/kg		0.82	0.51	0.60	0.64	0.44	0.49	0.48	0.51	0.61	0.54	
	All Varieties	2nd	£/kg		0.62	0.40	0.41	0.46	0.28	0.26	0.35	0.30	0.47	0.34	
	All Varieties	Ave	£/kg		0.80	0.50	0.58	0.60	0.40	0.43	0.46	0.47	0.60	0.47	
Dwarf, French or Kidney Beans	Dwarf, French or Kidney	1st	£/kg					1.83	1.46	1.26	1.02	1.09	1.07		
	Dwarf, French or Kidney	2nd	£/kg							0.90	0.80	0.85	0.80		
	Dwarf, French or Kidney	Ave	£/kg							1.23	1.00	1.07	1.03		
Leeks	Trimmed	1st	£/kg	0.72	0.66	0.68	0.63	0.66	0.68	0.90	0.82	0.71	0.70	0.69	0.68
	Trimmed	2nd	£/kg	0.52	0.49	0.47	0.41	0.50	0.50	0.63	0.71	0.58	0.54	0.53	0.53
	Trimmed	Ave	£/kg	0.67	0.62	0.63	0.57	0.61	0.67	0.89	0.79	0.67	0.64	0.65	0.64
Lettuce	Butterhead – Indoor	1st	£/head	0.25	0.22	0.19	0.18	0.20	0.19	0.19	0.18	0.19	0.21	0.21	0.23
	Butterhead – Indoor	2nd	£/head	0.18	0.17	0.15	0.14	0.16	0.13	0.13	0.12	0.12	0.14	0.15	0.18
	Butterhead – Indoor	Ave	£/head	0.24	0.22	0.19	0.18	0.20	0.19	0.18	0.18	0.19	0.21	0.21	0.22
	Cos	1st	£/head				0.25	0.39	0.37	0.35	0.36	0.39	0.42		
	Cos	2nd	£/head					0.25	0.22	0.22	0.22	0.20			
	Cos	Ave	£/head					0.38	0.35	0.33	0.34	0.39			
	Crisp-Iceberg Type	1st	£/head					0.30	0.28	0.24	0.27	0.36	0.31	0.33	
	Crisp-Iceberg Type	2nd	£/head					0.18	0.20	0.15	0.19	0.25	0.22	0.24	
	Crisp-Iceberg Type	Ave	£/head					0.28	0.26	0.22	0.25	0.34	0.28	0.26	
	Little Gem	1st	£/twin			0.45	0.41	0.40	0.37	0.33	0.34	0.38	0.40	0.41	0.53
	Little Gem	2nd	£/twin						0.31	0.23			0.33		
	Little Gem	Ave	£/twin						0.37	0.32			0.39		
Mushrooms	Button – Indoor	-	£/kg	1.48	1.42	1.37	1.46	1.25	1.22	1.34	1.39	1.61	1.48	1.36	1.52
	Cup – Indoor	-	£/kg	1.43	1.44	1.38	1.38	1.24	1.14	1.30	1.38	1.52	1.46	1.34	1.52
	Flat – Indoor	-	£/kg	1.38	1.53	1.55	1.38	1.33	1.69	1.41	1.60	1.47	1.46	2.20	1.86
Parsley	All Varieties	-	£/kg	1.69	1.30	1.39	2.16	2.29	1.80	1.51	1.59	1.44			
Parsnips	All Varieties	-	£/kg	0.45	0.44	0.44	0.42	0.54	0.66	1.02	0.91	0.66	0.53	0.56	0.61
Radish	Bunches	-	£/bunch			0.25	0.23	0.21	0.23	0.23	0.21	0.21			
Radish	Prepack	-	£/kg				0.85	0.86	0.84	0.72	0.80	0.90			
Rhubarb	Forced	-	£/kg	1.56	1.46	1.33	0.71						0.42		
	Outdoor	-	£/kg			0.97	0.64	0.55	0.65	0.54	0.54	0.58	0.51		
Runner Beans	Runner-Climbing	1st	£/kg		0.84				3.72	1.95	0.93	1.36	1.21		
	Runner-Climbing	2nd	£/kg						2.43	1.41	0.72	0.86	0.85		
	Runner-Climbing	Ave	£/kg						3.23	1.85	0.89	1.25	1.11		
Salad Onions	Salad	-	£/bunch			0.22	0.18	0.17	0.17	0.16	0.16	0.15	0.16		
Shelling Peas	All Varieties	1st	£/kg					1.98	1.37	1.24	0.93	1.16	1.30		
	All Varieties	2nd	£/kg						0.95	0.92	0.86	0.85	0.96		
	All Varieties	Ave	£/kg						1.21	1.12	0.89	0.96	1.08		
Swede	All Varieties	-	£/kg	0.23	0.23	0.22	0.21	0.22	0.30	0.36	0.29	0.26	0.25	0.23	0.23
Sweetcorn	All Varieties	-	£/cob								0.18	0.15	0.16		
Tomatoes	Round	1st	£/kg			1.30	0.90	0.71	0.63	0.55	0.48	0.64	0.65	0.59	
	Round	2nd	£/kg			0.80	0.54	0.36	0.36	0.31	0.25	0.36	0.28	0.40	
	Round	Ave	£/kg			1.26	0.85	0.61	0.53	0.47	0.42	0.58	0.57	0.53	
	Vine	1st	£/kg			1.50	0.98	0.89	0.80	0.75	0.65	0.60	0.79		
	Vine	2nd	£/kg				0.72	0.75	0.30	0.50	0.29	0.31	0.55		
	Vine	Ave	£/kg				0.98	0.88	0.80	0.68	0.63	0.58	0.78		
	Cherry	1st	£/kg			3.64	2.69	2.10	1.80	1.65	1.73	1.56	1.88		
