ALPHAIND,LEA,ESTAB,URN,SCHNAME,SCHNAME_AC,NFTYPE,TABKS2,PTPRIORLO,PTPRIORAV,PTPRIORHI,ATT8SCR,ATT8SCRENG,ATT8SCRMAT,ATT8SCREBAC,ATT8SCROPENG,PTL2BASICS_LL_PTQ_EE,PTL2BASICS_3YR_PTQ_EE,ATT8SCR_LO,ATT8SCR_AV,ATT8SCR_HI,ATT8SCR_15,PTEBACC_15_PTQ_EE,PTAC5EM_PTQ_EE
7772,330,4227,139841,Broadway Academy, ,ACC,0,32%,55%,13%,42,9.5,8.2,10.5,13.3,39%,47%,29.1,45.5,59.8,NA,8%,34%
9564,330,4801,103539,Cardinal Wiseman Catholic Technology College, ,VA,0,18%,61%,20%,47.9,10.5,8.8,12.9,13.6,54%,43%,32,47.4,60.8,NA,21%,44%
11860,330,6010,137819,City United Academy (CUA), ,IND,0,NP,NP,NP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,NP,NP,NP,NA,SUPP,SUPP
12584,330,5416,103563,Colmers School and Sixth Form College, ,FD,0,22%,63%,15%,44.9,10,9.1,12.5,12.3,59%,55%,26.5,47.8,61.8,NA,15%,45%
14280,330,4129,103494,Dame Elizabeth Cadbury Technology College,Dame Elizabeth Cadbury Technology College,FD,0,23%,59%,19%,46.2,10,9.6,12.5,11.5,54%,52%,32.4,46.1,56.2,NA,16%,40%
14464,330,6078,103586,Darul Uloom Islamic High School, ,IND,0,NP,NP,NP,49.6,10.3,11.5,15.8,11.9,92%,67%,NP,NP,NP,NA,0%,23%
16568,330,4021,141969,"Eden Boys' School, Birmingham", ,F,0, , , , , , , , , , , , , ,NA,NA, 
16634,330,6003,103567,Edgbaston High School for Girls, ,IND,0,NP,NP,NP,64.4,12.9,12.5,18.7,20.2,97%,99%,NP,NP,NP,NA,64%,96%
17090,330,6111,134908,Elmhurst School for Dance, ,IND,0,NP,NP,NP,47.7,12.8,0,16.9,17.4,0%,31%,NP,NP,NP,NA,0%,0%
17476,330,2168,143413,Erdington Academy, ,AC,0, , , , , , , , , , , , , , , , 
17824,330,5410,136908,Fairfax, ,ACC,0,11%,54%,35%,54.2,11.8,10.8,15.4,13.8,75%,68%,38.5,51.3,63.6,NA,37%,69%
18716,330,6128,135561,Flexible Learning Centre, ,IND,0,NP,NP,NP,10.5,4.3,3.6,1.4,0.7,15%,7%,NP,NP,NP,NA,0%,1%
19114,330,4005,139047,Four Dwellings Academy, ,AC,0,32%,49%,19%,48.7,10.3,9.3,10.9,7.8,56%,42%,35.7,53.2,60.3,NA,8%,46%
19614,330,6121,135422,Future First Independent School, ,IND,0,NP,NP,NP,1.8,0.1,1.4,0.4,0,0%,1%,NP,NP,NP,NA,0%,0%
19946,330,5412,138695,George Dixon Academy, ,ACC,0,30%,56%,13%,45.6,9.1,8.9,13.4,13.5,38%,40%,33.3,49.2,64.4,41.6,28%,32%
21014,330,5403,103550,Great Barr School,Great Barr School,FD,0,21%,59%,20%,43.8,9.5,8.1,12.3,10.1,45%,44%,29.2,44.7,59.6,NA,8%,40%
21264,330,6205,135688,Green Heath School, ,IND,0,NP,NP,NP,15.3,4.9,3.4,3.7,3.3,14%,5%,NP,NP,NP,NA,0%,3%
21552,330,4006,139048,Greenwood Academy, ,AC,0,34%,55%,11%,42.5,10.2,8.4,9.9,8.6,39%,47%,31.6,44.4,60.7,NA,3%,32%
22114,330,5409,137858,Hall Green School, ,ACC,0,18%,51%,30%,51.6,10.6,9.8,15.2,14.8,61%,64%,34.6,49.5,63.8,NA,37%,57%
22348,330,4240,139746,Hamstead Hall Academy, ,ACC,0,19%,60%,21%,49.4,10,10.3,14.1,10.8,65%,58%,28.1,50.9,63.3,NA,10%,53%
22388,330,5402,103549,Handsworth Grammar School, ,VA,0,0%,12%,88%,65.5,12.6,13.5,19.5,19.8,98%,95%,NE,62.3,66,65.7,48%,91%
22394,330,4207,138937,Handsworth Wood Girls' Academy, ,ACC,0,27%,54%,19%,43.1,9.1,9,11.4,13,56%,56%,24.4,47.7,60.5,NA,18%,44%
22450,330,6910,136213,Harborne Academy, ,AC,0,32%,41%,27%,41.4,8.2,8.9,9.5,8.8,40%,40%,30.6,44.6,58.9,39.7,13%,31%
23444,330,6170,136123,Hazrat Khadijatul Kubra Girls School, ,IND,0,NP,NP,NP,46.2,11.1,9.2,14.4,11.5,53%,53%,NP,NP,NP,NA,0%,42%
23512,330,6905,135907,Heartlands Academy, ,AC,0,13%,65%,23%,52.3,11,10.6,13.6,13.2,72%,61%,39.7,51.5,63.2,NA,12%,63%
24410,330,6060,103576,Highclare School, ,IND,0,NP,NP,NP,59.5,12,11.5,17.9,15.7,84%,86%,NP,NP,NP,NA,71%,79%
24750,330,4012,137346,Hillcrest School A Specialist Maths and Computing College and Sixth Form Centre, ,ACC,0,13%,58%,29%,50.4,10.6,9.6,14.7,12.6,59%,48%,28.8,51.6,60.6,NA,36%,54%
25014,330,4201,103503,Hodge Hill College, ,CY,0,16%,48%,36%,47.9,10.3,9.6,11.8,14.8,57%,54%,33.5,46.1,57.1,NA,26%,52%
25016,330,4015,103483,Hodge Hill Girls' School, ,CY,0,12%,60%,28%,50.8,10.7,9.9,13.4,14.9,69%,69%,30.4,50.1,61.2,NA,33%,62%
25342,330,4223,103509,Holte School, ,CY,0,20%,53%,27%,50.5,10.6,9.2,14.1,11.9,61%,55%,31,51.3,63.3,NA,32%,57%
25560,330,4664,103538,Holy Trinity Catholic Media Arts College, ,VA,0,19%,68%,13%,47.5,9.9,9.6,13,13.4,52%,48%,36.3,48.6,60.2,NA,14%,45%
25702,330,4241,137034,Holyhead School, ,ACC,0,23%,58%,19%,50.6,11.1,10,14.3,12.2,67%,61%,38.6,50.6,64.8,NA,7%,62%
26914,330,4244,103518,The International School, ,CY,0,41%,51%,8%,40.8,8.1,8.3,11.8,9,35%,33%,26.4,42.6,60.7,NA,10%,23%
27238,330,6106,134571,Jamia Islamia Birmingham, ,IND,0,NP,NP,NP,47.1,11.4,9.4,11.8,14.5,63%,57%,NP,NP,NP,NA,0%,37%
40438,330,4016,141003,Perry Beeches IV - The Free School, ,F,0, , , , , , , , , , , , , ,NA,NA, 
40442,330,4109,138141,Perry Beeches the Academy, ,ACC,0,17%,57%,26%,53.9,10.9,9.9,14.9,12.3,77%,73%,43.6,53.6,61.4,NA,32%,76%
40444,330,4019,141752,Perry Beeches V - The All Through Family School, ,F,1, , , , , , , , , , , , , ,NA,NA, 
40878,330,4331,137053,Plantsbrook School, ,ACC,0,12%,44%,44%,51.6,10.5,10.1,14.6,13.2,69%,69%,26.7,48.8,60.8,NA,36%,59%
41618,330,6002,103566,The Priory School, ,IND,0,NP,NP,NP,55.6,11.4,11,16.4,16.7,82%,75%,NP,NP,NP,NA,49%,80%
42034,330,4173,103497,Queensbridge School, ,FD,0,21%,50%,29%,51.6,11.2,10.1,14.3,13.8,69%,65%,36.5,51.7,62.6,NA,19%,62%
42862,330,6009,137560,Redstone Educational Academy, ,IND,0,NP,NP,NP,5.9,0,0.3,4,1.6,0%,0%,NP,NP,NP,NA,0%,0%
43486,330,6019,142338,Riverside Education, ,IND,0,NP,NP,NP,0.8,0.5,0,0.3,0,0%,0%,NP,NP,NP,NA,NA,0%
43744,330,4323,138059,Rockwood Academy, ,ACC,0,44%,44%,12%,42.2,9.2,8.7,13.4,10.7,49%,58%,30.4,48.7,64.8,NA,29%,43%
46488,330,4663,103537,St Edmund Campion Catholic School & Sixth Form Centre, ,VA,0,25%,56%,18%,46.3,10.2,9,12.6,11.7,52%,54%,36.3,46.9,56.5,NA,11%,42%
47000,330,6000,103564,St George's School Edgbaston, ,IND,0,NP,NP,NP,49.7,9.4,9.8,14.8,15.7,58%,65%,NP,NP,NP,NA,21%,56%
47660,330,4625,103534,St John Wall Catholic School, ,VA,0,33%,56%,10%,45.4,8.4,8.4,13.1,9.2,41%,33%,27.8,50.2,62.3,NA,17%,34%
50756,330,4606,103531,St Paul's School for Girls, ,VA,0,6%,52%,43%,60.6,12.6,12.6,17.1,16.2,86%,83%,37.8,55.8,69.9,NA,39%,85%
51496,330,4616,141835,St Thomas Aquinas Catholic School, ,ACC,0,15%,53%,32%,46.9,10.4,9.5,11.6,13.6,57%,65%,29.6,42.9,61.6,NA,30%,54%
52008,330,4018,141668,Saltley Academy, ,AC,0,20%,55%,25%,52.4,10,9.9,15.5,13.8,60%,60%,40.1,52.1,63.1,NA,NA,60%
52680,330,4177,103498,Selly Park Technology College for Girls, ,CY,0,20%,50%,30%,54.7,11.8,10,15.6,12.5,72%,74%,38.3,54,66.6,NA,28%,69%
53064,330,6907,135911,Shenley Academy, ,AC,0,17%,63%,19%,45.4,10.4,8.7,10.8,6.4,56%,49%,30.1,45.2,58.7,NA,7%,51%
53970,330,5401,103548,Small Heath School, ,FD,0,19%,57%,24%,46.5,9.7,9.2,13.6,13.6,46%,50%,29.5,45.4,62.5,NA,21%,41%
54820,330,6109,134403,Sporting Edge Independent School, ,IND,0,NP,NP,NP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,NP,NP,NP,NA,NA,SUPP
55406,330,2179,103258,Starbank School, ,CY,1, , , , , , , , , , , , , ,NA,NA, 
55636,330,4206,138137,Stockland Green School, ,ACC,0,32%,55%,13%,45,9.8,9,12.2,13,48%,49%,31.4,48.2,63.5,NA,8%,43%
56402,330,4300,136778,Sutton Coldfield Grammar School for Girls, ,ACC,0,0%,1%,99%,72.2,14.3,14.6,21.3,22,100%,99%,NE,SUPP,72.2,71.1,73%,99%
56564,330,4237,103514,Swanshurst School, ,CY,0,22%,49%,29%,52.7,10.7,9.9,15.7,15.2,63%,59%,38,52,65,50.8,27%,54%
57906,330,6015,139962,TLG - South East Birmingham, ,IND,0,NP,NP,NP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NE,NP,NP,NP,NA,NA,SUPP
58640,330,4188,103500,Turves Green Boys' School, ,CY,0,26%,57%,16%,46,10,9,12,12.1,41%,47%,34,47.8,62.5,NA,15%,39%
58642,330,4187,103499,Turves Green Girls' School, ,FD,0,25%,59%,16%,51.1,10.9,9.2,14,10.1,65%,58%,37,53.8,64.4,NA,14%,62%
58914,330,4014,140863,The University of Birmingham School, ,F,0, , , , , , , , , , , , , ,NA,NA, 
60064,330,4084,139888,Washwood Heath Academy, ,ACC,0,24%,51%,24%,48.2,10.2,9.2,13.3,10.1,53%,52%,38.5,49.2,61.3,NA,10%,48%
60240,330,4009,142219,Waverley School, ,ACC,1,23%,50%,26%,47.3,10.2,9.2,13.1,13.3,61%,59%,31.5,48.1,58.7,46.8,21%,51%
60242,330,4010,139788,Waverley Studio College, ,FSS,0,33%,58%,8%,39.7,8.5,8,8.7,8.3,27%,15%,27.9,37.4,SUPP,NA,0%,23%
61528,330,4193,103501,Wheelers Lane Technology College, ,CY,0,21%,57%,22%,52.6,10.8,10,14.9,13.5,71%,67%,40.1,52.8,63.1,NA,24%,59%
63616,330,6094,131164,Woodstock Girls' School, ,IND,0,NP,NP,NP,44.3,9.8,8.3,13.3,12.9,48%,39%,NP,NP,NP,NA,17%,35%
64144,330,4246,139994,Yardleys School, ,ACC,0,25%,56%,19%,46.4,9.4,9.5,12.2,12.9,51%,52%,32,47.3,62.8,NA,9%,47%
3226,331,6017,103751,Bablake School, ,IND,0,NP,NP,NP,37.5,0,14.3,12.3,10.9,0%,34%,NP,NP,NP,NA,0%,0%
3804,331,4000,103727,Barr's Hill School and Community College,Barr's Hill School and Community College,FD,0,26%,56%,18%,43.7,10.4,9.1,10.8,10.7,52%,41%,26.9,47.3,62.1,NA,4%,47%
5602,331,4701,103742,Bishop Ullathorne Catholic School, ,VA,0,18%,57%,25%,53.6,10.7,10.4,15.8,14.3,70%,64%,39.5,53.1,65,52.3,44%,66%
6072,331,4800,137272,Blue Coat Church of England School and Music College, ,ACC,0,12%,43%,45%,57.1,11.9,10.9,16.4,17.3,82%,77%,32.6,53.8,67.6,NA,34%,77%
9130,331,4028,139292,Caludon Castle School, ,ACC,0,11%,52%,37%,53.4,10.8,10.2,14.3,10.7,66%,61%,36.8,49.4,63.8,NA,22%,62%
9546,331,4707,103743,Cardinal Newman Catholic School A Specialist Arts and Community College, ,VA,0,14%,59%,27%,50.2,11.7,8.7,13.9,13.3,52%,42%,32.9,48.9,61.2,NA,4%,49%
9562,331,4007,141992,Cardinal Wiseman Catholic School and Language College, ,AC,0,16%,56%,28%,48.2,10.7,9.4,12.4,13.8,62%,62%,29.6,46.5,61.7,NA,NA,55%
13314,331,4026,138023,Coundon Court, ,ACC,0,18%,61%,21%,50.3,11.4,9.7,14,14.3,73%,72%,36.6,51,59.7,NA,3%,61%
16572,331,4002,140958,Eden Girls' School Coventry, ,F,0, , , , , , , , , , , , , ,NA,NA, 
17508,331,4001,140366,Ernesford Grange Community Academy, ,AC,0,17%,63%,20%,43.1,9.6,8.8,11.8,8.5,49%,52%,22.1,41.5,61.3,NA,14%,43%
18478,331,4006,141939,Finham Park 2, ,F,0, , , , , , , , , , , , , ,NA,NA, 
18480,331,4037,136963,Finham Park School, ,ACC,0,12%,43%,45%,55.8,11.4,11,16.1,14.8,75%,75%,36.4,50.4,66.1,NA,32%,72%
19198,331,4029,103732,Foxford School and Community Arts College, ,FD,0,35%,50%,15%,41.8,9,8.1,11.9,8.1,40%,41%,29.6,48,56.9,NA,13%,33%
20662,331,6905,135335,Grace Academy Coventry, ,AC,0,20%,53%,27%,42.6,10,8.5,10.8,12.8,53%,48%,27.7,42.5,55,NA,3%,36%
28336,331,6016,103750,King Henry VIII School, ,IND,0,NP,NP,NP,26.9,0,0,15.2,10.6,0%,0%,NP,NP,NP,NA,0%,0%
32118,331,4030,103733,Lyng Hall School,Lyng Hall School,FD,0,39%,50%,11%,38.9,8.4,7.2,8,6,38%,40%,28.6,44.8,60.6,NA,6%,30%
40032,331,6011,103747,Pattison College, ,IND,0,NP,NP,NP,55.8,12,11.1,16.8,11.8,92%,87%,NP,NP,NP,NA,73%,92%
41298,331,4034,140248,President Kennedy School Academy, ,ACC,0,31%,54%,15%,51.5,12.1,10.1,14.3,12.3,66%,65%,39.3,53.8,66.4,NA,21%,62%
52748,331,4004,141104,Seva School, ,F,1, , , , , , , , , , , , , ,NA,NA, 
53506,331,6906,136126,Sidney Stringer Academy, ,AC,0,23%,58%,19%,51.7,11,10.3,14.5,13.7,70%,66%,38.6,54.2,67.3,46.8,29%,59%
55754,331,4005,103728,Stoke Park School and Community Technology College, ,FD,0,22%,53%,25%,47.3,9.9,9.1,13.2,8.8,56%,52%,33.9,48.1,59.8,NA,13%,51%
57810,331,4033,137209,Tile Hill Wood School and Language College, ,ACC,0,20%,56%,25%,49.5,11.2,9,13.6,13.1,57%,58%,32.7,48.5,64.2,NA,28%,54%
61364,331,4043,137225,The Westwood Academy, ,ACC,0,31%,52%,17%,44.3,9.4,8.3,12.7,6.7,55%,53%,30.5,48,58.8,NA,7%,47%
61876,331,4044,136840,Whitley Academy, ,ACC,0,16%,53%,32%,52.8,10.8,10.5,14.8,10.2,77%,64%,35.6,51.4,63.5,NA,22%,71%
62994,331,4003,140961,WMG Academy for Young Engineers, ,FUTC,0,11%,56%,33%,45.3,10.1,9.6,13.5,7.2,61%,61%,30.7,43.5,53.5,NA,NA,50%
63372,331,4027,137165,Woodlands Academy, ,ACC,0,18%,62%,20%,43.1,9.7,9.1,10.3,9.5,56%,45%,26.5,44.7,55.9,NA,1%,44%
5558,332,4800,140126,Bishop Milner Catholic College, ,ACC,0,17%,49%,34%,53.3,11.3,10.3,14.7,12.3,69%,68%,37.7,51.2,63.7,NA,14%,68%
5746,332,6007,137571,Black Country Wheels School, ,IND,0,NP,NP,NP,1.7,0.2,0.4,0,0.6,0%,0%,NP,NP,NP,NA,0%,0%
9814,332,4612,103867,Castle High School and Visual Arts College, ,VA,0,31%,55%,14%,40.6,9.2,7.6,10.5,12.3,39%,40%,27.8,43.6,59.8,NA,5%,30%
13190,332,4027,103857,The Coseley School, ,FD,0,18%,49%,33%,44,9.6,8.6,10.7,10.9,51%,44%,22.7,43.1,56.8,NA,11%,42%
13684,332,4000,141325,The Crestwood School, ,AC,0,27%,60%,13%,45.2,9.4,8.7,12.1,10,49%,49%,30.5,47.8,63.8,NA,NA,39%
15364,332,4023,103855,The Dormston School, ,CY,0,12%,49%,40%,52.7,11.4,10,14.5,16.8,63%,57%,36,51.2,59.5,NA,16%,60%
16078,332,4106,137812,The Earls High School, ,ACC,0,12%,59%,30%,50.7,10.4,9.8,14.2,12.2,67%,61%,31.8,49.5,61.3,NA,17%,59%
17010,332,5401,141570,Ellowes Hall Sports College, ,ACC,0,21%,52%,27%,49.4,10.7,9.2,13.4,12.6,60%,68%,31.7,49,63.1,NA,25%,52%
17064,332,6000,103876,Elmfield Rudolf Steiner School Limited, ,IND,0,NP,NP,NP,20.3,3.7,10.6,3.4,2.6,42%,13%,NP,NP,NP,NA,0%,0%
24248,332,5403,137705,The High Arcal School, ,ACC,0,21%,56%,22%,44.2,9.9,8.5,11.3,12.1,51%,53%,23.3,46.2,60.1,NA,8%,45%
24752,332,4117,103863,The Hillcrest School and Community College, ,CY,0,24%,56%,20%,43.5,9.6,7.8,12.7,9.6,39%,46%,29.4,43.8,59.7,NA,23%,33%
25160,332,5405,137390,The Holly Hall Academy, ,ACC,0,22%,54%,24%,44,9.3,8.1,12.5,11.7,39%,39%,26.1,45.7,55.6,NA,21%,38%
28924,332,5402,137773,The Kingswinford School & Science College, ,ACC,0,15%,56%,29%,51.9,10.8,9.4,14.4,11.1,54%,57%,36.4,49.9,64.1,NA,9%,51%
30242,332,4110,103861,Leasowes High School, ,FD,0,21%,56%,24%,47.6,10.2,9.1,14.1,14.2,56%,51%,30.7,48.4,60.3,NA,29%,52%
36252,332,6004,134458,Newhall Theatre Project, ,IND,0,NP,NP,NP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NE,NP,NP,NP,NA,0%,SUPP
38236,332,5400,103870,Old Swinford Hospital, ,VA,0,9%,24%,67%,63.1,12.5,12.7,19,12.8,89%,82%,SUPP,50.7,68.5,NA,SUPP,85%
40138,332,4105,103859,Pedmore Technology College and Community School, ,FD,0,21%,56%,22%,44.2,10,9.1,11.5,13.6,48%,51%,28.8,45.1,58.2,NA,9%,41%
42808,332,4119,139872,Redhill School and Specialist Language College, ,ACC,0,9%,58%,32%,53.8,11.5,10.4,15.9,15.5,68%,69%,31.9,50.2,66.6,53.5,26%,62%
43278,332,4121,141712,Ridgewood High School, ,ACC,0,16%,64%,20%,47.5,10.3,9.2,12.7,15.3,58%,58%,29.5,47.4,61.7,NA,7%,52%
56228,332,4020,103854,Summerhill School, ,CY,0,13%,51%,35%,49,10.4,10.3,13.5,13.7,65%,69%,26.5,45.9,62.2,NA,25%,54%
57498,332,4018,103853,Thorns Community College, ,FD,0,14%,62%,24%,43.6,9.7,9,11.7,12.2,47%,46%,21.3,42.9,58.1,NA,24%,39%
62700,332,5404,136618,Windsor High School and Sixth Form, ,ACC,0,17%,55%,28%,51.6,10.9,10,13.9,13,66%,71%,33,51.1,63.5,NA,22%,62%
63766,332,4030,103858,The Wordsley School Business & Enterprise & Music College, ,CY,0,15%,58%,27%,48.6,10.4,9.4,14.2,14.4,56%,51%,29.6,46.5,63.5,NA,3%,47%
348,333,4001,139328,The ACE Academy, ,AC,0,22%,53%,26%,39.7,8.5,7.5,10.7,7.5,39%,38%,21.9,39.7,55.8,NA,6%,32%
7494,333,4129,139043,Bristnall Hall Academy, ,ACC,0,26%,58%,16%,45.6,9.4,9.1,12.7,11.8,56%,51%,24.8,49.1,64.9,NA,27%,51%
19984,333,6907,135234,George Salter Academy, ,AC,0,22%,50%,28%,49.3,10.7,9.6,11.9,12.4,59%,63%,31.2,48,65.5,NA,23%,51%
23494,333,4005,141813,Health Futures UTC, ,FUTC,0, , , , , , , , , , , , , ,NA,NA, 
25174,333,4138,104018,Holly Lodge High School College of Science, ,FD,0,28%,58%,14%,42.7,8.9,8.1,12.6,8.3,43%,42%,28.5,49,60.1,NA,9%,40%
27182,333,6005,135792,Jalaliah Educational Institution, ,IND,0,NP,NP,NP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,NP,NP,NP,NA,NA,SUPP
38256,333,4110,137701,Oldbury Academy, ,ACC,0,20%,62%,18%,42.6,9.7,9.2,9.6,11,56%,54%,25.2,43.5,60.9,NA,9%,46%
38590,333,4000,137673,Ormiston Forge Academy, ,AC,0,16%,67%,17%,48.4,9.8,9.3,13,13.5,49%,51%,29.4,48.8,63,NA,16%,47%
38608,333,6910,135979,Ormiston Sandwell Community Academy, ,AC,0,19%,58%,23%,48.5,10.4,9.3,11.6,9.7,55%,50%,32.5,48.6,62.4,NA,6%,52%
40462,333,4111,104012,Perryfields High School Specialist Maths and Computing College, ,CY,0,16%,61%,23%,46.4,9.4,9.7,13,12,50%,58%,29.6,46,59.2,NA,24%,39%
40596,333,4028,136091,The Phoenix Collegiate, ,FD,0,21%,57%,22%,46.3,9.5,8.3,13.3,10.8,49%,51%,32.8,47.6,60.1,NA,10%,47%
41812,333,6908,135449,Q3 Academy, ,AC,0,15%,55%,29%,49.5,10.5,9.9,12.7,12.3,59%,66%,29,49,61,NA,14%,56%
41814,333,4003,141698,Q3 Academy Langley, ,AC,0, , , , , , , , , , , , , , , , 
44406,333,6909,135599,RSA Academy, ,AC,0,13%,62%,26%,42.2,9.3,8.4,8.6,10.3,36%,49%,25.1,40.6,54.8,NA,12%,30%
50030,333,4500,104019,St Michael's CE High School, ,VA,0,21%,52%,27%,48.1,10.2,8.4,12.2,9.7,53%,56%,31.1,48.3,60.5,NA,14%,53%
52184,333,6905,134993,Sandwell Academy, ,AC,0,11%,52%,37%,50.5,9.8,9.5,13.8,12.8,60%,57%,28.2,48.1,60.5,NA,34%,50%
53298,333,6906,135170,Shireland Collegiate Academy, ,AC,0,32%,55%,13%,46,9.2,8.5,12.3,10.8,44%,50%,32.4,51.1,61.2,NA,6%,44%
56088,333,4600,104020,Stuart Bathurst Catholic High School College of Performing Arts, ,VA,0,14%,51%,35%,46.9,10.4,9.9,11.5,13.6,64%,64%,28.7,44.8,57,NA,8%,58%
63006,333,4002,139918,Wodensborough Ormiston Academy, ,AC,0,29%,48%,23%,37.2,8.2,7.2,8.6,8,34%,33%,18.2,39.5,55.9,NA,6%,31%
63134,333,4024,136616,Wood Green Academy, ,ACC,0,15%,58%,27%,50.3,9.5,9.9,14.1,12.1,49%,54%,34.1,49.1,61.3,NA,31%,48%
796,334,4015,136994,Alderbrook School, ,ACC,0,12%,50%,38%,56,11.2,12,15.6,16.3,81%,81%,32.8,53.9,67,NA,34%,75%
2236,334,4017,136333,Arden, ,ACC,0,6%,41%,53%,59.5,11.8,11.4,17.4,16.5,80%,82%,39.1,54.4,65.6,58.1,43%,77%
14028,334,6924,135684,CTC Kingshurst Academy, ,AC,0,8%,53%,39%,48,11,9.3,13,12.3,61%,53%,22.3,45.1,57.3,NA,7%,52%
20666,334,6905,129342,Grace Academy Solihull, ,AC,0,18%,54%,28%,49.5,10.4,8.9,12.7,8.1,70%,53%,36.1,48.7,59.8,NA,20%,63%
23506,334,4030,136909,Heart of England School, ,ACC,0,6%,51%,44%,54.4,11.5,10.2,15.5,16.9,71%,68%,31.5,47.5,65,NA,34%,68%
27422,334,4661,136347,John Henry Newman Catholic College, ,AC,0,15%,55%,29%,50,10.7,9.4,14.1,12.4,67%,58%,33.8,49.5,59.3,NA,22%,63%
29824,334,4012,137007,Langley School, ,ACC,0,18%,45%,37%,51.9,10.7,10.2,14.7,13.5,66%,67%,31.9,51.5,62.9,NA,39%,63%
30664,334,4018,137231,Light Hall School, ,ACC,0,10%,57%,32%,50.4,10.3,10.4,13.3,14.1,66%,68%,29.5,48.5,60.2,NA,21%,54%
31308,334,4019,137008,Lode Heath School, ,ACC,0,13%,56%,31%,49.3,10.6,9.4,14.5,13.8,59%,61%,27.7,48.2,61.7,NA,35%,55%
32104,334,4000,142075,Lyndon School, ,AC,0,17%,56%,28%,47.1,9.7,9.2,13.2,12.6,48%,48%,28.3,45.9,60.9,NA,NA,43%
39562,334,6906,135971,Park Hall Academy, ,AC,0,21%,54%,25%,49.4,9.6,8.9,12.2,9,47%,44%,34.5,50.5,59.8,NA,16%,44%
49054,334,6002,104123,Saint Martin's School, ,IND,0,NP,NP,NP,69.1,14,13.8,20.6,20.4,100%,95%,NP,NP,NP,NA,33%,100%
50888,334,4650,104119,St Peter's Catholic School and Specialist Science College, ,VA,0,8%,50%,42%,56.2,11.6,11.1,16.5,16.8,75%,78%,31.8,52.6,64.7,NA,49%,68%
54010,334,4034,104118,Smith's Wood Sports College, ,CY,0,19%,61%,20%,45.1,9.2,8.7,11.7,6.7,47%,43%,31,45.1,57,NA,19%,39%
54084,334,6003,104124,Solihull School, ,IND,0,NP,NP,NP,69.6,14.6,13.7,20.7,19.3,98%,98%,NP,NP,NP,NA,0%,98%
58542,334,4014,136310,"Tudor Grange Academy, Solihull", ,ACC,0,8%,44%,48%,61.3,12.6,12.2,17.3,19.1,90%,91%,43.9,56.9,68,NA,54%,88%
62996,334,4001,142900,WMG Academy for Young Engineers (Solihull), ,FUTC,0, , , , , , , , , , , , , , , , 
288,335,6013,135483,Abu Bakr Boys School, ,IND,0,NP,NP,NP,53,11,10.8,15.6,15.4,83%,75%,NP,NP,NP,NA,0%,75%
290,335,6010,132750,Abu Bakr Girls School, ,IND,0,NP,NP,NP,50.3,10.3,9.6,12.1,18.2,50%,57%,NP,NP,NP,NA,11%,40%
880,335,5405,137974,Aldridge School - A Science College, ,ACC,0,12%,60%,27%,50.8,10.4,9.8,14.3,11.5,66%,60%,26.2,51.2,61,NA,25%,60%
3750,335,5406,136885,Barr Beacon School, ,ACC,0,12%,54%,34%,53.7,11.8,11.1,14.7,14,79%,69%,34.6,52.2,62.8,NA,29%,73%
6054,335,4001,137274,Bloxwich Academy, ,AC,1,36%,56%,8%,29.6,7.7,6.2,4.8,5.9,28%,21%,16.9,34.1,51.3,NA,0%,24%
6064,335,4004,138606,Blue Coat Church of England Academy, ,AC,0,43%,47%,10%,41.3,8.9,7.9,11.1,11,43%,44%,27.5,50.5,59,NA,12%,36%
8262,335,4057,104248,Brownhills School, ,FD,0,13%,57%,30%,48.3,10.6,9.8,12.8,11.3,65%,51%,25.3,47.4,59.5,NA,10%,44%
17266,335,6009,130323,Emmanuel School, ,IND,0,NP,NP,NP,52.3,11.3,10,15,16,50%,60%,NP,NP,NP,NA,44%,50%
20664,335,6907,135956,Grace Academy Darlaston, ,AC,0,28%,54%,18%,45.9,9.6,9.2,11.6,8.6,50%,45%,33.5,47.1,61.6,NA,2%,45%
26548,335,6007,104266,Hydesville Tower School, ,IND,0,NP,NP,NP,59.8,11.7,11.9,17.8,18.4,92%,87%,NP,NP,NP,NA,10%,72%
27580,335,4007,137830,Joseph Leckie Academy, ,ACC,0,28%,53%,19%,44.9,9.4,9,11.3,8.9,50%,51%,30.4,48.3,60.4,NA,13%,41%
38610,335,6906,135769,Ormiston Shelfield Community Academy, ,AC,0,22%,58%,20%,41.8,9.2,8.1,10.5,9.3,40%,42%,27.8,41.5,58.2,NA,3%,33%
39450,335,6008,104267,Palfrey Girls School, ,IND,0,NP,NP,NP,45.4,8.5,7.8,13.2,16,37%,48%,NP,NP,NP,NA,27%,27%
41046,335,4106,104251,Pool Hayes Arts and Community School,Pool Hayes Academy,FD,0,11%,54%,35%,51.9,10.4,9.3,12.7,4.5,57%,48%,40.1,48.1,61.8,NA,9%,55%
41952,335,5404,136773,Queen Mary's Grammar School, ,ACC,0,0%,3%,97%,72.8,14.5,14.8,22.1,21.2,99%,99%,NE,SUPP,73.1,73.7,89%,99%
