ALPHAIND,LEA,ESTAB,URN,SCHNAME,SCHNAME_AC,NFTYPE,TABKS2,PTPRIORLO,PTPRIORAV,PTPRIORHI,ATT8SCR,ATT8SCRENG,ATT8SCRMAT,ATT8SCREBAC,ATT8SCROPENG,PTL2BASICS_LL_PTQ_EE,PTL2BASICS_3YR_PTQ_EE,ATT8SCR_LO,ATT8SCR_AV,ATT8SCR_HI,ATT8SCR_15,PTEBACC_15_PTQ_EE,PTAC5EM_PTQ_EE
59642,391,4450,108525,Walker Technology College, ,FD,0,33%,54%,13%,43.4,10.1,8.8,9.8,9.2,52%,60%,30.9,46.8,62,NA,7%,41%
61144,391,6012,108542,Westfield School, ,IND,0,NP,NP,NP,54.6,5.8,12.4,18.7,12.4,78%,86%,NP,NP,NP,NA,57%,6%
8686,392,4032,108640,Burnside Business and Enterprise College, ,CY,0,20%,53%,27%,45.6,9.7,9.2,12.2,10,56%,56%,29.9,45.8,57.6,NA,15%,50%
11724,392,4033,108641,Churchill Community College, ,FD,0,17%,58%,25%,54.7,11.4,9.7,14.8,10.8,72%,70%,43,52.9,66.8,NA,8%,70%
19992,392,4030,108639,George Stephenson High School, ,FD,0,15%,47%,39%,50,11.1,9.5,14.7,10.5,65%,61%,27.7,46.4,62.6,NA,19%,55%
27522,392,4038,108644,John Spence Community High School, ,FD,0,15%,50%,35%,52.3,10.8,10.1,15.8,13.6,70%,73%,36.8,49.1,63.2,NA,24%,68%
28580,392,4000,139658,Kings Priory School, ,AC,1,3%,29%,68%,61.3,12.4,12.8,18.4,17.8,92%,56%,SUPP,53.4,66.2,NA,SUPP,88%
31468,392,4039,108645,Longbenton High School, ,FD,0,20%,52%,28%,46.7,10.4,9.6,12.3,11.7,61%,57%,27.9,46.3,61.2,NA,11%,51%
32870,392,4006,108627,"Marden High School - A Specialist Maths, Science and Media Arts College", ,FD,0,11%,50%,38%,56.2,11.8,10.8,16.4,16,78%,76%,33.7,54.2,65.8,55.3,46%,74%
34670,392,4034,108642,Monkseaton High School, ,FD,0,22%,61%,17%,47.3,10.2,8.6,13.3,13.2,50%,55%,34.1,47.6,62.1,NA,11%,42%
36648,392,4008,108628,Norham High School, ,FD,0,23%,58%,19%,46.8,10.1,8.5,11.9,9.8,55%,44%,37,46.1,65.2,NA,0%,50%
51620,392,4605,137734,St Thomas More Roman Catholic Academy, ,ACC,0,9%,53%,39%,54.8,11.6,10.7,15.5,15.8,73%,70%,35.4,50,65.1,NA,46%,68%
52550,392,4041,108647,"Seaton Burn College, A Specialist Business and Enterprise School", ,FD,0,16%,49%,36%,46.2,9.8,9.7,13.1,11.7,59%,48%,32.2,43.9,55.6,NA,28%,50%
61880,392,4029,108638,Whitley Bay High School, ,FD,0,8%,45%,47%,57.6,12.4,11.3,16.1,17.5,83%,77%,34.7,53.2,66.2,NA,31%,79%
6200,393,4019,108730,Boldon School, ,CY,0,9%,57%,34%,48,11.1,9.5,10.9,12.6,61%,55%,28.9,44.4,59.2,NA,5%,58%
22920,393,4004,108726,Harton Technology College, ,CY,0,11%,61%,27%,51.3,11,10.2,13.4,11.9,67%,65%,30.2,49.7,64.1,NA,20%,62%
23680,393,4026,108731,Hebburn Comprehensive School, ,CY,0,21%,52%,27%,50.6,10.3,10.2,12.7,12.9,65%,64%,32.2,51.4,62.8,NA,29%,64%
27260,393,4033,133725,Jarrow School, ,FD,0,25%,49%,25%,43.6,9.7,8.4,12,9.5,52%,47%,23.8,46,58.8,NA,13%,47%
35096,393,4006,108727,Mortimer Community College, ,CY,0,16%,51%,33%,49.9,10.8,9.5,13.4,12.7,65%,56%,37.5,46.2,61.5,NA,17%,57%
48026,393,4603,139878,St Joseph's Catholic Academy, ,ACC,0,10%,54%,36%,51.3,10.7,9.6,14.8,15.2,62%,57%,31.6,47.5,62.3,NA,26%,56%
51816,393,4604,108736,St Wilfrid's RC College,St Wilfrid's RC College,VA,0,11%,52%,37%,54.9,11.1,10.5,13.3,10.2,75%,74%,33.2,50.6,68.6,51.7,41%,69%
54356,393,4606,131756,South Shields Community School, ,CY,0,17%,69%,13%,42.3,9.1,8.1,10.6,12,38%,43%,23.5,43.5,59.6,NA,3%,34%
61600,393,4605,136386,Whitburn Church of England Academy, ,ACC,0,8%,49%,43%,58.8,12.1,11.4,16.9,18.3,86%,83%,39.1,53.8,68.3,58.5,31%,82%
298,394,6905,135622,Academy 360, ,AC,1,18%,68%,14%,39.7,8.2,8.1,9.8,11.2,36%,29%,24.1,40.9,53.4,32.7,0%,31%
2278,394,6003,108873,Argyle House School, ,IND,0,NP,NP,NP,57.3,11.2,11.3,17.3,17.6,83%,79%,NP,NP,NP,NA,14%,75%
5186,394,4067,139839,Biddick Academy, ,ACC,0,22%,56%,23%,47,9.4,9.2,13.3,11.2,47%,47%,27.7,48.1,63.9,NA,19%,43%
9892,394,6906,135818,Castle View Enterprise Academy, ,AC,0,11%,58%,31%,53.1,11,9.9,14.4,11,64%,58%,34.8,50.5,64.2,NA,6%,62%
18146,394,4037,139852,Farringdon Community Academy, ,ACC,0,13%,52%,35%,49.1,10.3,9.9,12.8,9.7,66%,54%,31.4,48.4,57.3,NA,20%,59%
21680,394,6010,138567,Grindon Hall Christian School, ,F,1,14%,55%,32%,53.4,11.3,10.9,14.9,16.4,74%,71%,SUPP,44.9,65.9,NA,18%,64%
