LAESTAB,URN,COHORT,OVERALL_DEST,APPREN,EMPLOYMENT,EDUCATION,FE,6TH_COL,SCH_6TH,OTHER_EDU,NOT_SUSTAINED,UNKNOWN,OVERALL_DESTPER,APPRENPER,EMPLOYMENTPER,EDUCATIONPER,FEPER,6TH_COLPER,SCH_6THPER,OTHER_EDUPER,NOT_SUSTAINEDPER,UNKNOWNPER
9194029,117512,116,102,6,9,93,48,SUPP,43,SUPP,SUPP,SUPP,88%,5%,8%,80%,41%,SUPP,37%,SUPP,SUPP,SUPP
9194043,138286,177,175,SUPP,SUPP,SUPP,40,SUPP,132,SUPP,SUPP,SUPP,99%,SUPP,SUPP,SUPP,23%,SUPP,75%,SUPP,SUPP,SUPP
9194047,117515,188,183,12,7,176,76,0,100,0,SUPP,SUPP,97%,6%,4%,94%,40%,0%,53%,0%,SUPP,SUPP
9194066,117518,233,215,8,10,205,93,0,108,4,18,0,92%,3%,4%,88%,40%,0%,46%,2%,8%,0%
9194067,140294,160,159,5,5,154,55,SUPP,97,SUPP,SUPP,SUPP,99%,3%,3%,96%,34%,SUPP,61%,SUPP,SUPP,SUPP
9194070,136973,180,175,SUPP,SUPP,SUPP,35,SUPP,139,SUPP,5,0,97%,SUPP,SUPP,SUPP,19%,SUPP,77%,SUPP,3%,0%
9194080,137110,209,193,9,4,189,89,0,100,0,12,4,92%,4%,2%,90%,43%,0%,48%,0%,6%,2%
9194083,137339,175,174,3,3,171,25,SUPP,144,SUPP,SUPP,SUPP,99%,2%,2%,98%,14%,SUPP,82%,SUPP,SUPP,SUPP
9194087,117525,121,115,6,5,110,66,0,44,0,6,0,95%,5%,4%,91%,55%,0%,36%,0%,5%,0%
9194096,139036,180,173,8,4,169,67,SUPP,100,SUPP,SUPP,SUPP,96%,4%,2%,94%,37%,SUPP,56%,SUPP,SUPP,SUPP
9194099,137757,119,116,4,5,111,29,0,82,0,0,3,97%,3%,4%,93%,24%,0%,69%,0%,0%,3%
9194100,117528,205,196,10,17,179,115,SUPP,63,SUPP,SUPP,SUPP,96%,5%,8%,87%,56%,SUPP,31%,SUPP,SUPP,SUPP
9194101,136396,204,204,11,6,198,70,SUPP,127,SUPP,0,0,100%,5%,3%,97%,34%,SUPP,62%,SUPP,0%,0%
9194104,117530,206,198,6,6,192,67,SUPP,124,SUPP,8,0,96%,3%,3%,93%,33%,SUPP,60%,SUPP,4%,0%
9194111,140049,228,212,7,5,207,105,SUPP,100,SUPP,SUPP,SUPP,93%,3%,2%,91%,46%,SUPP,44%,SUPP,SUPP,SUPP
9194116,117534,155,143,14,7,136,65,0,71,0,12,0,92%,9%,5%,88%,42%,0%,46%,0%,8%,0%
9194117,138484,77,75,SUPP,SUPP,SUPP,49,0,SUPP,0,SUPP,SUPP,97%,SUPP,SUPP,SUPP,64%,0%,SUPP,0%,SUPP,SUPP
9194118,138632,205,201,6,8,193,66,0,127,0,4,0,98%,3%,4%,94%,32%,0%,62%,0%,2%,0%
9194122,117537,177,171,4,3,168,73,SUPP,90,SUPP,SUPP,SUPP,97%,2%,2%,95%,41%,SUPP,51%,SUPP,SUPP,SUPP
9194137,117538,112,108,11,5,103,44,SUPP,58,SUPP,4,0,96%,10%,4%,92%,39%,SUPP,52%,SUPP,4%,0%
9194140,137656,118,114,6,4,110,39,20,46,5,4,0,97%,5%,3%,93%,33%,17%,39%,4%,3%,0%
9194141,137002,213,208,10,SUPP,SUPP,78,SUPP,119,SUPP,5,0,98%,5%,SUPP,SUPP,37%,SUPP,56%,SUPP,2%,0%
9194154,137792,93,90,7,4,86,37,SUPP,48,SUPP,3,0,97%,8%,4%,92%,40%,SUPP,52%,SUPP,3%,0%
9194197,136609,186,182,SUPP,3,179,40,SUPP,137,SUPP,4,0,98%,SUPP,2%,96%,22%,SUPP,74%,SUPP,2%,0%
9194200,137637,239,233,16,6,227,93,SUPP,130,SUPP,6,0,97%,7%,3%,95%,39%,SUPP,54%,SUPP,3%,0%
9194498,137090,160,152,11,11,141,47,SUPP,92,SUPP,8,0,95%,7%,7%,88%,29%,SUPP,58%,SUPP,5%,0%
9194499,117552,73,67,6,6,61,26,SUPP,33,SUPP,6,0,92%,8%,8%,84%,36%,SUPP,45%,SUPP,8%,0%
9194504,138352,241,234,15,13,221,84,0,134,3,SUPP,SUPP,97%,6%,5%,92%,35%,0%,56%,1%,SUPP,SUPP
