LAESTAB,URN,COHORT,OVERALL_DEST,APPREN,EMPLOYMENT,EDUCATION,FE,6TH_COL,SCH_6TH,OTHER_EDU,NOT_SUSTAINED,UNKNOWN,OVERALL_DESTPER,APPRENPER,EMPLOYMENTPER,EDUCATIONPER,FEPER,6TH_COLPER,SCH_6THPER,OTHER_EDUPER,NOT_SUSTAINEDPER,UNKNOWNPER
3307016,103606,14,13,0,SUPP,SUPP,SUPP,0,SUPP,12,SUPP,SUPP,93%,0%,SUPP,SUPP,SUPP,0%,SUPP,86%,SUPP,SUPP
3307026,103609,23,15,SUPP,SUPP,SUPP,SUPP,0,0,0,8,0,65%,SUPP,SUPP,SUPP,SUPP,0%,0%,0%,35%,0%
3307027,103610,29,26,0,SUPP,SUPP,SUPP,0,SUPP,24,3,0,90%,0%,SUPP,SUPP,SUPP,0%,SUPP,83%,10%,0%
3307030,103611,14,14,0,0,14,9,0,0,5,0,0,100%,0%,0%,100%,64%,0%,0%,36%,0%,0%
3307031,138281,15,14,0,SUPP,SUPP,SUPP,0,SUPP,13,SUPP,SUPP,93%,0%,SUPP,SUPP,SUPP,0%,SUPP,87%,SUPP,SUPP
3307033,103613,58,57,0,SUPP,SUPP,18,SUPP,SUPP,38,SUPP,SUPP,98%,0%,SUPP,SUPP,31%,SUPP,SUPP,66%,SUPP,SUPP
3307034,103614,10,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
3307036,103616,52,50,SUPP,SUPP,SUPP,SUPP,0,SUPP,39,SUPP,SUPP,96%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,75%,SUPP,SUPP
3307040,103619,14,14,0,0,14,0,0,0,14,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%
3307050,103625,9,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
3307053,103628,6,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
3307062,103632,41,18,0,3,15,10,SUPP,SUPP,4,SUPP,SUPP,44%,0%,7%,37%,24%,SUPP,SUPP,10%,SUPP,SUPP
LA,330,12135,11260,445,255,11005,4435,1705,4545,320,730,145,93%,4%,2%,91%,37%,14%,37%,3%,6%,1%
3314000,103727,120,99,6,3,96,37,SUPP,58,SUPP,21,0,83%,5%,3%,80%,31%,SUPP,48%,SUPP,18%,0%
3314005,103728,171,158,8,7,151,69,SUPP,81,SUPP,13,0,92%,5%,4%,88%,40%,SUPP,47%,SUPP,8%,0%
3314026,138023,270,256,16,SUPP,SUPP,118,SUPP,133,SUPP,14,0,95%,6%,SUPP,SUPP,44%,SUPP,49%,SUPP,5%,0%
3314027,137165,150,142,19,3,139,71,0,68,0,8,0,95%,13%,2%,93%,47%,0%,45%,0%,5%,0%
3314028,139292,242,229,20,9,220,75,SUPP,143,SUPP,13,0,95%,8%,4%,91%,31%,SUPP,59%,SUPP,5%,0%
3314029,103732,172,163,10,3,160,82,0,78,0,6,3,95%,6%,2%,93%,48%,0%,45%,0%,3%,2%
3314030,103733,108,97,6,4,93,33,SUPP,59,SUPP,SUPP,SUPP,90%,6%,4%,86%,31%,SUPP,55%,SUPP,SUPP,SUPP
3314033,137209,201,182,10,6,176,67,SUPP,107,SUPP,15,4,91%,5%,3%,88%,33%,SUPP,53%,SUPP,7%,2%
3314034,140248,213,192,7,6,186,82,SUPP,100,SUPP,SUPP,SUPP,90%,3%,3%,87%,38%,SUPP,47%,SUPP,SUPP,SUPP
3314037,136963,239,238,10,3,235,78,SUPP,155,SUPP,SUPP,SUPP,100%,4%,1%,98%,33%,SUPP,65%,SUPP,SUPP,SUPP
3314043,137225,96,85,7,5,80,45,SUPP,33,SUPP,11,0,89%,7%,5%,83%,47%,SUPP,34%,SUPP,11%,0%
3314044,136840,134,123,13,10,113,68,0,45,0,SUPP,SUPP,92%,10%,7%,84%,51%,0%,34%,0%,SUPP,SUPP
3314701,103742,138,127,7,6,121,55,SUPP,65,SUPP,11,0,92%,5%,4%,88%,40%,SUPP,47%,SUPP,8%,0%
3314707,103743,206,192,18,8,184,64,5,111,4,SUPP,SUPP,93%,9%,4%,89%,31%,2%,54%,2%,SUPP,SUPP
3314800,137272,213,209,7,4,205,44,4,152,5,4,0,98%,3%,2%,96%,21%,2%,71%,2%,2%,0%
3316905,135335,144,126,6,5,121,66,0,52,3,15,3,88%,4%,3%,84%,46%,0%,36%,2%,10%,2%
3316906,136126,207,188,3,3,185,39,3,143,0,13,6,91%,1%,1%,89%,19%,1%,69%,0%,6%,3%
3317009,103760,12,12,0,0,12,0,0,0,12,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%
3317019,103765,13,13,0,0,13,0,0,0,13,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%
3317021,131574,22,5,0,SUPP,SUPP,3,0,SUPP,SUPP,17,0,23%,0%,SUPP,SUPP,14%,0%,SUPP,SUPP,77%,0%
3317022,134533,18,18,0,0,18,13,0,0,5,0,0,100%,0%,0%,100%,72%,0%,0%,28%,0%,0%
LA,331,3435,3155,205,105,3050,1245,25,1710,70,250,30,92%,6%,3%,89%,36%,1%,50%,2%,7%,1%
3324018,103853,258,241,25,11,230,185,29,16,0,SUPP,SUPP,93%,10%,4%,89%,72%,11%,6%,0%,SUPP,SUPP
3324020,103854,201,193,11,3,190,115,55,20,0,8,0,96%,5%,1%,95%,57%,27%,10%,0%,4%,0%
3324023,103855,222,199,17,4,195,168,19,5,3,20,3,90%,8%,2%,88%,76%,9%,2%,1%,9%,1%
3324027,103857,181,160,13,14,146,131,8,SUPP,SUPP,17,4,88%,7%,8%,81%,72%,4%,SUPP,SUPP,9%,2%
3324030,103858,145,134,10,SUPP,SUPP,118,12,SUPP,0,SUPP,SUPP,92%,7%,SUPP,SUPP,81%,8%,SUPP,0%,SUPP,SUPP
3324105,103859,116,106,10,3,103,68,SUPP,19,SUPP,SUPP,SUPP,91%,9%,3%,89%,59%,SUPP,16%,SUPP,SUPP,SUPP
3324106,137812,236,228,22,8,220,170,37,SUPP,SUPP,8,0,97%,9%,3%,93%,72%,16%,SUPP,SUPP,3%,0%
3324110,103861,207,190,10,5,185,147,25,10,3,SUPP,SUPP,92%,5%,2%,89%,71%,12%,5%,1%,SUPP,SUPP
3324117,103863,179,164,14,7,157,133,18,6,0,SUPP,SUPP,92%,8%,4%,88%,74%,10%,3%,0%,SUPP,SUPP
3324119,139872,230,223,11,5,218,114,81,SUPP,SUPP,SUPP,SUPP,97%,5%,2%,95%,50%,35%,SUPP,SUPP,SUPP,SUPP
3324121,141712,173,159,13,3,156,99,30,SUPP,SUPP,10,4,92%,8%,2%,90%,57%,17%,SUPP,SUPP,6%,2%
3324612,103867,140,120,7,4,116,96,13,7,0,SUPP,SUPP,86%,5%,3%,83%,69%,9%,5%,0%,SUPP,SUPP
3324800,140126,119,113,7,SUPP,SUPP,33,SUPP,65,SUPP,6,0,95%,6%,SUPP,SUPP,28%,SUPP,55%,SUPP,5%,0%
3325400,103870,87,85,SUPP,SUPP,SUPP,11,SUPP,65,SUPP,SUPP,SUPP,98%,SUPP,SUPP,SUPP,13%,SUPP,75%,SUPP,SUPP,SUPP
3325401,141570,197,188,25,9,179,100,31,48,0,9,0,95%,13%,5%,91%,51%,16%,24%,0%,5%,0%
3325402,137773,179,173,16,3,170,111,48,11,0,SUPP,SUPP,97%,9%,2%,95%,62%,27%,6%,0%,SUPP,SUPP
3325403,137705,240,220,28,8,212,166,29,SUPP,SUPP,SUPP,SUPP,92%,12%,3%,88%,69%,12%,SUPP,SUPP,SUPP,SUPP
3325404,136618,273,261,19,7,254,110,SUPP,121,SUPP,SUPP,SUPP,96%,7%,3%,93%,40%,SUPP,44%,SUPP,SUPP,SUPP
3325405,137390,146,130,7,SUPP,SUPP,115,7,SUPP,SUPP,SUPP,SUPP,89%,5%,SUPP,SUPP,79%,5%,SUPP,SUPP,SUPP,SUPP
3327001,103877,37,35,0,SUPP,SUPP,34,0,SUPP,SUPP,SUPP,SUPP,95%,0%,SUPP,SUPP,92%,0%,SUPP,SUPP,SUPP,SUPP
3327002,103878,12,10,0,SUPP,SUPP,7,0,SUPP,SUPP,SUPP,SUPP,83%,0%,SUPP,SUPP,58%,0%,SUPP,SUPP,SUPP,SUPP
3327004,103880,7,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
3327005,103881,7,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
3327008,103882,15,10,0,4,6,6,0,0,0,SUPP,SUPP,67%,0%,27%,40%,40%,0%,0%,0%,SUPP,SUPP
3327009,103883,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
LA,332,3735,3475,275,105,3370,2345,510,485,30,230,30,93%,7%,3%,90%,63%,14%,13%,1%,6%,1%
3334000,137673,278,263,18,11,252,106,10,131,5,12,3,95%,6%,4%,91%,38%,4%,47%,2%,4%,1%
3334001,139328,228,209,17,11,198,120,SUPP,68,SUPP,SUPP,SUPP,92%,7%,5%,87%,53%,SUPP,30%,SUPP,SUPP,SUPP
3334024,136616,245,237,21,11,226,135,SUPP,90,SUPP,SUPP,SUPP,97%,9%,4%,92%,55%,SUPP,37%,SUPP,SUPP,SUPP
3334028,136091,287,265,15,24,241,90,SUPP,142,SUPP,19,3,92%,5%,8%,84%,31%,SUPP,49%,SUPP,7%,1%
3334110,137701,295,270,24,14,256,143,25,85,3,21,4,92%,8%,5%,87%,48%,8%,29%,1%,7%,1%
3334111,104012,200,192,18,6,186,94,SUPP,55,SUPP,SUPP,SUPP,96%,9%,3%,93%,47%,SUPP,28%,SUPP,SUPP,SUPP
3334129,139043,189,160,8,3,157,114,6,33,4,25,4,85%,4%,2%,83%,60%,3%,17%,2%,13%,2%
3334138,104018,237,219,4,9,210,113,10,80,7,15,3,92%,2%,4%,89%,48%,4%,34%,3%,6%,1%
3334500,104019,192,170,22,15,155,147,4,SUPP,SUPP,SUPP,SUPP,89%,11%,8%,81%,77%,2%,SUPP,SUPP,SUPP,SUPP
3334600,104020,133,121,4,5,116,45,SUPP,69,SUPP,SUPP,SUPP,91%,3%,4%,87%,34%,SUPP,52%,SUPP,SUPP,SUPP
3336905,134993,185,176,23,4,172,64,SUPP,102,SUPP,9,0,95%,12%,2%,93%,35%,SUPP,55%,SUPP,5%,0%
3336906,135170,180,170,3,3,167,38,5,119,5,SUPP,SUPP,94%,2%,2%,93%,21%,3%,66%,3%,SUPP,SUPP
3336907,135234,180,172,9,SUPP,SUPP,SUPP,0,131,0,8,0,96%,5%,SUPP,SUPP,SUPP,0%,73%,0%,4%,0%
3336908,135449,179,168,7,3,165,75,SUPP,89,SUPP,SUPP,SUPP,94%,4%,2%,92%,42%,SUPP,50%,SUPP,SUPP,SUPP
3336909,135599,173,156,22,15,141,86,4,51,0,17,0,90%,13%,9%,82%,50%,2%,29%,0%,10%,0%
3336910,135979,150,134,7,8,126,85,SUPP,32,SUPP,SUPP,SUPP,89%,5%,5%,84%,57%,SUPP,21%,SUPP,SUPP,SUPP
3337001,104024,8,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
3337017,132231,16,16,0,0,16,0,0,0,16,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%
3337019,132233,18,16,0,SUPP,SUPP,SUPP,0,SUPP,8,SUPP,SUPP,89%,0%,SUPP,SUPP,SUPP,0%,SUPP,44%,SUPP,SUPP
LA,333,3570,3305,245,165,3140,1650,120,1300,75,240,25,93%,7%,5%,88%,46%,3%,36%,2%,7%,1%
3344012,137007,200,192,7,3,189,84,72,22,11,5,3,96%,4%,2%,95%,42%,36%,11%,6%,3%,2%
3344014,136310,248,241,10,SUPP,SUPP,35,48,153,SUPP,SUPP,SUPP,97%,4%,SUPP,SUPP,14%,19%,62%,SUPP,SUPP,SUPP
3344015,136994,251,242,16,9,233,102,91,SUPP,SUPP,SUPP,SUPP,96%,6%,4%,93%,41%,36%,SUPP,SUPP,SUPP,SUPP
3344017,136333,243,241,8,SUPP,SUPP,70,18,139,SUPP,SUPP,SUPP,99%,3%,SUPP,SUPP,29%,7%,57%,SUPP,SUPP,SUPP
3344018,137231,231,223,30,11,212,106,95,8,3,SUPP,SUPP,97%,13%,5%,92%,46%,41%,3%,1%,SUPP,SUPP
3344019,137008,204,198,20,9,189,100,75,SUPP,SUPP,SUPP,SUPP,97%,10%,4%,93%,49%,37%,SUPP,SUPP,SUPP,SUPP
3344030,136909,206,199,8,4,195,61,8,123,3,SUPP,SUPP,97%,4%,2%,95%,30%,4%,60%,1%,SUPP,SUPP
3344034,104118,203,179,14,10,169,64,8,94,3,20,4,88%,7%,5%,83%,32%,4%,46%,1%,10%,2%
3344650,104119,198,191,17,SUPP,SUPP,45,SUPP,132,SUPP,4,3,96%,9%,SUPP,SUPP,23%,SUPP,67%,SUPP,2%,2%
3344661,136347,135,123,6,4,119,54,4,61,0,SUPP,SUPP,91%,4%,3%,88%,40%,3%,45%,0%,SUPP,SUPP
3346905,129342,182,152,10,9,143,75,15,49,4,26,4,84%,5%,5%,79%,41%,8%,27%,2%,14%,2%
3346906,135971,152,144,7,3,141,69,0,72,0,8,0,95%,5%,2%,93%,45%,0%,47%,0%,5%,0%
3346924,135684,224,219,13,7,212,51,17,140,4,5,0,98%,6%,3%,95%,23%,8%,63%,2%,2%,0%
3347001,104130,14,13,SUPP,SUPP,SUPP,SUPP,0,SUPP,10,SUPP,SUPP,93%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,71%,SUPP,SUPP
3347002,104131,7,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
3347005,104132,14,13,0,SUPP,SUPP,9,0,SUPP,SUPP,SUPP,SUPP,93%,0%,SUPP,SUPP,64%,0%,SUPP,SUPP,SUPP,SUPP
3347007,104133,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
LA,334,2985,2830,180,85,2745,1090,530,1050,75,135,25,95%,6%,3%,92%,36%,18%,35%,3%,4%,1%
3354001,137274,166,137,12,9,128,101,0,24,3,SUPP,SUPP,83%,7%,5%,77%,61%,0%,14%,2%,SUPP,SUPP
3354002,137706,252,234,14,6,228,100,SUPP,126,SUPP,18,0,93%,6%,2%,90%,40%,SUPP,50%,SUPP,7%,0%
3354003,138374,148,139,7,5,134,81,SUPP,50,SUPP,SUPP,SUPP,94%,5%,3%,91%,55%,SUPP,34%,SUPP,SUPP,SUPP
3354004,138606,116,108,SUPP,SUPP,SUPP,34,SUPP,69,SUPP,5,3,93%,SUPP,SUPP,SUPP,29%,SUPP,59%,SUPP,4%,3%
3354007,137830,192,178,SUPP,4,174,36,SUPP,136,SUPP,11,3,93%,SUPP,2%,91%,19%,SUPP,71%,SUPP,6%,2%
3354057,104248,129,116,14,13,103,55,0,45,3,13,0,90%,11%,10%,80%,43%,0%,35%,2%,10%,0%
3354106,104251,208,193,12,6,187,103,0,81,3,SUPP,SUPP,93%,6%,3%,90%,50%,0%,39%,1%,SUPP,SUPP
3354606,104255,183,171,9,SUPP,SUPP,56,SUPP,112,SUPP,SUPP,SUPP,93%,5%,SUPP,SUPP,31%,SUPP,61%,SUPP,SUPP,SUPP
3355400,137707,235,214,20,7,207,99,SUPP,106,SUPP,18,3,91%,9%,3%,88%,42%,SUPP,45%,SUPP,8%,1%
3355401,104259,234,217,18,12,205,63,0,139,3,SUPP,SUPP,93%,8%,5%,88%,27%,0%,59%,1%,SUPP,SUPP
3355402,136620,242,225,11,6,219,77,0,137,5,SUPP,SUPP,93%,5%,2%,90%,32%,0%,57%,2%,SUPP,SUPP
3355403,136777,95,95,SUPP,SUPP,SUPP,9,SUPP,80,SUPP,0,0,100%,SUPP,SUPP,SUPP,9%,SUPP,84%,SUPP,0%,0%
3355404,136773,94,94,0,0,94,3,0,91,0,0,0,100%,0%,0%,100%,3%,0%,97%,0%,0%,0%
3355405,137974,258,237,20,7,230,108,SUPP,119,SUPP,17,4,92%,8%,3%,89%,42%,SUPP,46%,SUPP,7%,2%
3355406,136885,257,243,16,9,234,117,SUPP,112,SUPP,14,0,95%,6%,4%,91%,46%,SUPP,44%,SUPP,5%,0%
3356905,133697,165,159,12,SUPP,SUPP,SUPP,0,122,0,SUPP,SUPP,96%,7%,SUPP,SUPP,SUPP,0%,74%,0%,SUPP,SUPP
3356906,135769,225,202,22,17,185,103,SUPP,80,SUPP,SUPP,SUPP,90%,10%,8%,82%,46%,SUPP,36%,SUPP,SUPP,SUPP
3356907,135956,117,100,SUPP,6,94,60,SUPP,33,SUPP,SUPP,SUPP,85%,SUPP,5%,80%,51%,SUPP,28%,SUPP,SUPP,SUPP
3357002,104269,18,18,0,0,18,7,0,0,11,0,0,100%,0%,0%,100%,39%,0%,0%,61%,0%,0%
3357004,104271,14,14,0,0,14,SUPP,0,SUPP,12,0,0,100%,0%,0%,100%,SUPP,0%,SUPP,86%,0%,0%
3357005,104272,20,20,0,0,20,0,0,0,20,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%
3357014,135461,9,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
LA,335,3395,3140,195,120,3020,1255,10,1675,80,230,25,92%,6%,3%,89%,37%,SP,49%,2%,7%,1%
3364000,138098,142,130,7,SUPP,SUPP,75,SUPP,52,SUPP,9,3,92%,5%,SUPP,SUPP,53%,SUPP,37%,SUPP,6%,2%
3364113,104386,247,234,12,5,229,85,SUPP,141,SUPP,SUPP,SUPP,95%,5%,2%,93%,34%,SUPP,57%,SUPP,SUPP,SUPP
3364115,104387,139,122,12,5,117,93,SUPP,18,SUPP,SUPP,SUPP,88%,9%,4%,84%,67%,SUPP,13%,SUPP,SUPP,SUPP
3364117,140586,165,155,8,SUPP,SUPP,50,SUPP,98,SUPP,10,0,94%,5%,SUPP,SUPP,30%,SUPP,59%,SUPP,6%,0%
3364128,104390,155,141,13,SUPP,SUPP,SUPP,0,70,0,SUPP,SUPP,91%,8%,SUPP,SUPP,SUPP,0%,45%,0%,SUPP,SUPP
3364133,104395,146,132,4,7,125,35,SUPP,84,SUPP,14,0,90%,3%,5%,86%,24%,SUPP,58%,SUPP,10%,0%
3364134,137730,200,183,11,4,179,64,SUPP,111,SUPP,17,0,92%,6%,2%,90%,32%,SUPP,56%,SUPP,9%,0%
3364139,104397,115,106,SUPP,SUPP,SUPP,41,SUPP,60,SUPP,9,0,92%,SUPP,SUPP,SUPP,36%,SUPP,52%,SUPP,8%,0%
3364601,138852,163,160,3,SUPP,SUPP,45,12,99,SUPP,3,0,98%,2%,SUPP,SUPP,28%,7%,61%,SUPP,2%,0%
3364605,139891,138,132,6,SUPP,SUPP,59,SUPP,65,SUPP,SUPP,SUPP,96%,4%,SUPP,SUPP,43%,SUPP,47%,SUPP,SUPP,SUPP
3364606,141802,132,119,4,4,115,47,SUPP,67,SUPP,SUPP,SUPP,90%,3%,3%,87%,36%,SUPP,51%,SUPP,SUPP,SUPP
3364731,131547,126,120,5,SUPP,SUPP,55,SUPP,59,SUPP,6,0,95%,4%,SUPP,SUPP,44%,SUPP,47%,SUPP,5%,0%
3365400,140798,108,108,SUPP,0,108,SUPP,4,102,SUPP,0,0,100%,SUPP,0%,100%,SUPP,4%,94%,SUPP,0%,0%
3365402,139138,110,98,8,4,94,37,SUPP,56,SUPP,SUPP,SUPP,89%,7%,4%,85%,34%,SUPP,51%,SUPP,SUPP,SUPP
3366905,135983,103,92,3,SUPP,SUPP,34,SUPP,52,SUPP,SUPP,SUPP,89%,3%,SUPP,SUPP,33%,SUPP,50%,SUPP,SUPP,SUPP
3366906,136182,182,159,8,9,150,42,0,99,9,SUPP,SUPP,87%,4%,5%,82%,23%,0%,54%,5%,SUPP,SUPP
3367004,104412,23,23,0,0,23,18,0,0,5,0,0,100%,0%,0%,100%,78%,0%,0%,22%,0%,0%
3367005,104413,24,23,0,SUPP,SUPP,SUPP,0,SUPP,19,SUPP,SUPP,96%,0%,SUPP,SUPP,SUPP,0%,SUPP,79%,SUPP,SUPP
3367007,104414,8,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
3367008,104415,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
3367012,104417,7,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
3367015,134261,20,14,0,SUPP,SUPP,10,0,SUPP,SUPP,6,0,70%,0%,SUPP,SUPP,50%,0%,SUPP,SUPP,30%,0%
LA,336,2600,2405,120,65,2340,905,35,1310,90,180,20,92%,5%,2%,90%,35%,1%,50%,3%,7%,1%
3404000,140001,185,166,13,9,157,130,16,SUPP,SUPP,16,3,90%,7%,5%,85%,70%,9%,SUPP,SUPP,9%,2%
3404611,139614,199,180,23,13,167,121,0,46,0,15,4,90%,12%,7%,84%,61%,0%,23%,0%,8%,2%
3404613,135477,238,213,18,9,204,154,44,SUPP,SUPP,SUPP,SUPP,89%,8%,4%,86%,65%,18%,SUPP,SUPP,SUPP,SUPP
3404615,135479,208,188,21,12,176,96,21,59,0,SUPP,SUPP,90%,10%,6%,85%,46%,10%,28%,0%,SUPP,SUPP
3404616,135481,198,179,18,11,168,109,56,3,0,16,3,90%,9%,6%,85%,55%,28%,2%,0%,8%,2%
3407005,104495,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
3407013,104498,22,16,0,SUPP,SUPP,SUPP,0,0,0,SUPP,SUPP,73%,0%,SUPP,SUPP,SUPP,0%,0%,0%,SUPP,SUPP
LA,340,1260,1105,100,60,1045,760,150,125,15,135,15,88%,8%,5%,83%,61%,12%,10%,1%,11%,1%
3414000,137675,92,82,7,5,77,39,SUPP,35,SUPP,SUPP,SUPP,89%,8%,5%,84%,42%,SUPP,38%,SUPP,SUPP,SUPP
3414001,138787,174,148,15,5,143,60,SUPP,78,SUPP,SUPP,SUPP,85%,9%,3%,82%,34%,SUPP,45%,SUPP,SUPP,SUPP
3414004,139686,60,60,0,0,60,11,6,43,0,0,0,100%,0%,0%,100%,18%,10%,72%,0%,0%,0%
3414306,138696,137,133,5,8,125,57,SUPP,66,SUPP,SUPP,SUPP,97%,4%,6%,91%,42%,SUPP,48%,SUPP,SUPP,SUPP
3414404,104688,152,143,11,3,140,79,SUPP,55,SUPP,9,0,94%,7%,2%,92%,52%,SUPP,36%,SUPP,6%,0%
3414420,104692,149,136,12,3,133,52,SUPP,79,SUPP,13,0,91%,8%,2%,89%,35%,SUPP,53%,SUPP,9%,0%
3414421,104693,277,246,25,6,240,65,SUPP,170,SUPP,28,3,89%,9%,2%,87%,23%,SUPP,61%,SUPP,10%,1%
3414425,104696,201,189,11,7,182,92,SUPP,81,SUPP,12,0,94%,5%,3%,91%,46%,SUPP,40%,SUPP,6%,0%
3414427,104698,246,234,16,6,228,89,SUPP,135,SUPP,SUPP,SUPP,95%,7%,2%,93%,36%,SUPP,55%,SUPP,SUPP,SUPP
3414429,104700,182,162,17,4,158,63,7,84,4,SUPP,SUPP,89%,9%,2%,87%,35%,4%,46%,2%,SUPP,SUPP
3414690,104703,93,91,SUPP,SUPP,SUPP,15,SUPP,70,0,SUPP,SUPP,98%,SUPP,SUPP,SUPP,16%,SUPP,75%,0%,SUPP,SUPP
3414781,104705,143,139,9,5,134,25,13,92,4,4,0,97%,6%,3%,94%,17%,9%,64%,3%,3%,0%
3414782,104706,110,99,6,SUPP,SUPP,22,SUPP,73,SUPP,SUPP,SUPP,90%,5%,SUPP,SUPP,20%,SUPP,66%,SUPP,SUPP,SUPP
3414787,138183,153,151,7,SUPP,SUPP,28,SUPP,106,SUPP,SUPP,SUPP,99%,5%,SUPP,SUPP,18%,SUPP,69%,SUPP,SUPP,SUPP
3414790,104712,175,168,14,SUPP,SUPP,46,13,102,SUPP,7,0,96%,8%,SUPP,SUPP,26%,7%,58%,SUPP,4%,0%
3414792,104713,197,184,12,6,178,38,17,118,5,SUPP,SUPP,93%,6%,3%,90%,19%,9%,60%,3%,SUPP,SUPP
3414793,104714,226,211,41,13,198,101,13,84,0,SUPP,SUPP,93%,18%,6%,88%,45%,6%,37%,0%,SUPP,SUPP
3414794,104715,154,135,10,SUPP,SUPP,52,SUPP,78,SUPP,19,0,88%,6%,SUPP,SUPP,34%,SUPP,51%,SUPP,12%,0%
3414796,104717,162,137,14,5,132,36,SUPP,96,SUPP,25,0,85%,9%,3%,81%,22%,SUPP,59%,SUPP,15%,0%
3414797,136409,64,61,4,4,57,27,SUPP,28,SUPP,3,0,95%,6%,6%,89%,42%,SUPP,44%,SUPP,5%,0%
3415400,138463,210,203,17,6,197,83,SUPP,110,SUPP,SUPP,SUPP,97%,8%,3%,94%,40%,SUPP,52%,SUPP,SUPP,SUPP
3415402,138850,158,153,5,SUPP,SUPP,27,SUPP,117,SUPP,5,0,97%,3%,SUPP,SUPP,17%,SUPP,74%,SUPP,3%,0%
3415403,104721,133,131,4,SUPP,SUPP,29,SUPP,93,SUPP,SUPP,SUPP,98%,3%,SUPP,SUPP,22%,SUPP,70%,SUPP,SUPP,SUPP
3415404,137916,122,122,0,SUPP,SUPP,0,SUPP,118,SUPP,0,0,100%,0%,SUPP,SUPP,0%,SUPP,97%,SUPP,0%,0%
3415900,136735,182,175,3,SUPP,SUPP,20,SUPP,140,SUPP,SUPP,SUPP,96%,2%,SUPP,SUPP,11%,SUPP,77%,SUPP,SUPP,SUPP
3416905,101857,164,142,5,5,137,41,4,87,5,SUPP,SUPP,87%,3%,3%,84%,25%,2%,53%,3%,SUPP,SUPP
3416906,131065,200,179,16,6,173,58,0,104,11,21,0,90%,8%,3%,87%,29%,0%,52%,6%,11%,0%
3416907,135174,129,121,3,4,117,21,SUPP,94,SUPP,8,0,94%,2%,3%,91%,16%,SUPP,73%,SUPP,6%,0%
3416908,136119,135,120,14,5,115,45,0,67,3,SUPP,SUPP,89%,10%,4%,85%,33%,0%,50%,2%,SUPP,SUPP
