LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Exclud",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Exclu1",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers
330,2096,139003,24,27,10,22.6,21.4,7.3,20.6,33555
330,2097,103213,17,13,19,15.9,9.8,16.5,17,39182
330,2098,139011,12,9,2,11.3,7.4,1.6,19.2,32135
330,2099,103214,19,19,8,16.5,14.8,5.7,13.9,36836
330,2100,139014,12,10,4,11.2,8.7,4,18.7,NA
330,2101,103215,27,38,6,25.6,28.8,5.7,32.2,38159
330,2102,139120,10,18,2,9.1,14.5,1.7,34.7,34674
330,2103,139125,24,17,5,23.6,14.3,4.2,18.8,35274
330,2104,139126,13,12,6,12.4,10.3,4.2,19.4,33308
330,2105,139128,14,11,1,13.5,10.8,1,23.8,NA
330,2107,139129,13,12,4,12,10.8,3.3,29.7,31377
330,2108,103217,40,31,12,38.1,27.2,11,21.4,36316
330,2109,139131,25,18,4,22.3,15.5,3.4,19.8,36234
330,2110,139214,18,20,13,16.7,16.4,5.7,28.9,NA
330,2111,142353,11,8,5,10.8,6.6,4,20.4,39767
330,2115,103221,20,19,4,18,12.8,3.1,17.9,34471
330,2117,139242,6,6,2,6,4.6,2,39.3,41684
330,2118,103222,21,14,6,18.8,11.4,5.3,22.4,37891
330,2119,103223,29,20,4,25.2,15.2,3.3,17.7,36692
330,2120,139267,12,8,5,11.6,6.9,4.6,17.8,35802
330,2121,139269,13,15,6,12.2,10.8,5.2,19.3,37056
330,2122,139378,46,31,8,45.6,27.2,5.7,15,NA
330,2126,139439,13,11,3,12.3,9.7,2.4,18.2,36017
330,2127,103227,34,21,4,31,16.6,4,15.2,34167
330,2128,103228,20,16,2,19.3,11.7,1.9,19.3,38010
330,2129,103229,15,16,4,14,13.5,3.4,20.3,37121
330,2132,103232,17,21,7,15.4,15.4,3,19.2,35414
330,2133,103233,23,14,7,21.1,12,5.6,20,37322
330,2134,139571,24,27,6,21,21.3,6,21,NA
330,2136,139637,22,21,10,19.7,18.9,6.4,23.5,37886
