LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Exclud",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Exclu1",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers
856,2346,120071,23,20,7,19.2,16.7,5.5,21.5,34484
856,2347,120072,22,39,7,18.8,24.1,5.1,24,34344
856,2348,120073,28,52,8,23.6,26.6,6.3,23.5,37471
856,2352,120077,22,25,6,18.6,19.6,4.8,20.1,34662
856,2356,120081,24,24,7,22,15.6,5.3,21.6,33802
856,2359,120084,33,30,9,28.4,17.2,7.2,23.5,37244
856,2361,120086,27,25,6,23.7,18.6,5.6,17.8,33540
856,2363,120087,13,12,4,10.8,7.7,3.8,20.6,36742
856,2364,120088,26,27,5,22.5,22,4.3,19.2,35207
856,2365,120089,24,23,5,19.6,18,3.3,18.8,35409
856,2366,120090,26,33,5,24.1,22.8,3.9,20.6,36422
856,2370,120094,26,22,6,21.2,15.7,4.8,21.6,36956
856,2371,120095,38,27,9,31.9,18.9,6.9,20.9,37971
856,2377,120100,18,19,6,18,13.1,3.8,22.1,34979
856,2378,120101,12,10,2,10.9,6.9,1.4,14.7,37238
856,2379,131513,15,20,5,11.8,10.1,2.9,24.7,36482
856,2381,120103,24,29,7,19.8,21.2,3.7,22.8,32921
856,2385,120107,38,42,11,32.4,27.2,7.8,23.2,NA
856,2386,120108,23,26,6,20.5,18.7,4.8,21.8,34090
856,2387,130927,33,24,5,28,16,3.9,19.6,35768
856,2388,134305,21,26,5,18.8,19.1,4.4,23.2,36787
856,3201,120186,13,14,4,11.6,11,3.2,18.8,32274
856,3208,120187,20,18,5,15.8,12.7,3.5,21,32914
856,3420,120221,20,25,6,17.3,15.8,6,23.8,35286
856,3422,138081,21,33,6,20.8,25.4,5.7,21.1,36637
856,3423,120223,14,10,1,11.4,8.1,1,20.4,38538
856,3424,138115,12,14,1,11.4,11.2,1,24.1,37846
856,3425,120225,15,17,4,11.4,11.3,2.5,18.6,33333
856,3426,138185,14,17,5,12.4,12.2,3.9,22.6,34642
856,3431,120230,23,24,9,19.6,15.2,4.7,22.7,37814
856,3432,133962,19,17,4,17.8,12.4,3.5,21,36211
856,3434,128085,25,44,6,22.6,34.6,4.7,19,32517
856,3435,131002,31,44,6,24.2,24.1,4.9,22.6,34961
856,4000,138869,20,11,15,18.5,8.2,7.8,16.3,37565
856,4005,131945,61,20,39,60.4,16.2,30.1,14.4,38904
856,4205,120277,86,30,41,79.5,22.9,30.9,15.2,39757
856,4232,120279,73,25,38,68.7,18.6,29.1,17.3,39451
856,4242,120281,70,37,37,68,22.3,26.8,15.1,36238
856,4244,141916,98,34,54,87.3,27.4,46.5,16.7,40650
856,4246,120283,61,25,42,58,16.9,35.6,15.5,39054
856,4249,120285,76,26,30,73.1,16.4,22.8,16.2,37458
856,4250,120286,86,35,36,79.5,23.9,20.6,16.3,40004
856,4251,120287,81,30,36,73.7,16.1,27.3,16.7,38724
856,4267,120292,80,37,26,75.4,31,21.4,14.1,39257
856,4270,120294,63,40,35,59.4,31.2,30,17.1,38640
856,4273,120297,100,33,30,95.5,26,25.8,15.7,38110
856,4274,120298,62,19,27,60,16.6,26,15,41069
856,4721,120306,63,22,28,61.2,14.9,24.1,17.4,39694
856,4723,120307,74,21,21,68.3,14.7,18.1,15.7,38672
856,4724,129645,23,8,17,20.1,6.8,9.3,15.1,37274
856,6905,128364,53,52,27,51.4,50.9,25.2,15.7,37912
857,2000,141234,7,8,4,6,4.7,2,23,36322
857,2311,120041,11,10,3,10.7,6.6,1.2,NA,36277
857,2312,120042,5,12,4,5,6.5,2.9,23,31909
857,2313,138113,11,6,1,10.2,5,0.9,21.6,NA
857,2316,137358,19,27,5,15.9,10.2,3.3,20.3,33020
857,3111,120177,6,6,2,4.3,4.2,1,17.2,34643
857,3112,120178,6,5,5,3.3,2.1,2.8,13,35069
857,3113,141453,11,9,3,9,5.8,2,22.6,35252
857,3114,139858,12,15,4,9.7,8.3,3.1,22.3,34103
857,3115,120181,17,27,6,15.5,21.8,4.9,19.2,35649
857,3117,141454,11,11,3,10,7,2.5,19.4,NA
857,3119,120184,10,8,3,9,4.3,2.4,18.1,36697
857,3120,120185,9,12,4,6.2,5.1,1.6,15,33103
857,3428,141452,7,7,4,6.8,4,1.8,20,32116
857,3429,139611,7,5,4,6.2,2.6,2.1,18.7,34368
857,3430,120229,11,8,5,9.8,5.8,3.8,19.8,33709
857,4000,141965,8,NA,2,7,NA,1.4,7.6,33956
857,5200,139481,11,7,4,8.6,3.3,3.3,23.3,39874
857,5404,136629,62,19,30,52.8,12.5,22,16.8,38086
857,5405,137340,66,19,43,60.7,17.1,35,14.9,38172
857,5406,136530,57,18,43,50.5,16.5,39.5,17.6,35141
860,2000,132043,10,11,5,8.9,5.3,2.9,18.9,36566
860,2001,138982,29,51,8,23.2,30.2,7,25.9,35591
860,2002,139602,15,6,3,15,4.6,3,14.9,32486
860,2003,139719,22,18,5,16.5,12.8,3.1,22.7,38349
860,2004,139949,11,18,2,9.8,7.6,1.1,17.8,35104
860,2005,140195,14,12,4,12.6,11.6,4,24.7,35117
860,2006,140381,14,10,3,13.8,6.4,2.6,15.4,NA
860,2007,140400,12,10,3,10.8,6,2.5,14.5,35915
860,2008,140402,10,11,3,9,8.6,3,19.9,34689
860,2009,140489,14,13,3,13.4,7.7,2.4,17.4,35787
860,2010,140490,8,6,6,8,4,3.4,19.8,30742
860,2011,140858,10,7,1,9.3,3.4,1,19.4,35197
860,2012,140995,10,8,5,10,6.7,4,23.9,37637
860,2013,140996,13,10,3,11.3,9.8,2.8,15.6,32434
860,2014,141186,21,16,4,19.2,10.6,3.4,22.9,36731
860,2015,141188,11,6,5,10.6,5.5,3,18.8,34383
860,2016,141203,4,NA,2,4,NA,1.4,7.3,35678
860,2017,141344,17,19,5,17,14.2,3.3,23.9,33036
860,2018,142014,8,11,10,8,9.6,8.4,21.3,34497
860,2123,124034,15,20,4,13.5,14,2,21.7,34733
860,2124,124035,11,11,6,9.8,9.7,4.1,20.2,37513
860,2125,124036,7,14,6,6.1,9,3.6,34.2,37819
860,2126,124037,11,12,2,10.1,7.5,2,24.7,35946
860,2128,124039,11,26,7,9,12.5,3.7,21.9,40083
860,2132,124040,17,45,5,15.8,23.6,3.8,18.7,37775
860,2138,124045,20,20,5,16,10.4,3.1,21.2,35625
860,2140,124046,17,21,5,16.4,15.2,3.7,19.6,35730
860,2141,136762,10,11,5,9.8,9.5,4.3,26.5,37831
860,2145,124051,13,14,4,11.8,11.4,3.2,18.2,37935
860,2150,124052,7,9,3,6.2,3.4,1.8,18.1,32982
860,2152,138899,6,5,1,5.6,2.3,0.9,23.2,34303
860,2153,124054,9,10,7,9,6,3.1,21.8,40051
860,2157,124056,16,36,5,13.9,14.7,3.2,27.2,39082
860,2158,124057,7,11,3,5.2,6,1.2,19.4,38612
860,2160,124058,8,13,5,7,6.9,1.7,26,40722
860,2161,124059,12,10,3,12,7.9,2.2,20.9,31059
860,2163,124060,13,20,5,12.6,12.9,4.1,25.6,38729
860,2164,124061,6,9,5,5.1,3.1,2.6,22.7,34220
860,2166,124062,6,11,4,5.5,7.4,3,24.4,37045
860,2167,124063,25,39,6,23.1,16.6,2.9,21.4,36907
860,2177,124067,9,14,4,8.7,6.3,2.6,18.3,35959
860,2178,124068,10,18,3,8.8,8.6,2.5,21.7,40231
860,2179,124069,7,7,1,5.8,5.7,1,21,37549
860,2180,124070,33,22,10,28.9,18.7,6.6,22.3,36646
860,2184,124072,17,11,9,15.7,7.2,3.8,20.4,35794
860,2185,124073,11,14,3,9.1,10.2,2.4,19.1,33025
860,2189,124074,19,20,4,17.6,14.9,2.5,22,37090
860,2190,124075,21,18,4,17.3,8.7,2.8,23.4,33979
860,2191,124076,27,23,9,22.2,14.1,5.5,18.9,36204
860,2195,124077,9,7,10,8.8,3.8,5.6,19.1,33420
860,2198,124079,7,8,2,6,3.7,1.4,17.1,34511
860,2200,142095,9,2,2,4.5,0.9,1.3,11.2,NA
860,2203,124081,18,24,3,16.6,11.8,2.1,24.9,36014
860,2204,141278,12,26,3,11.7,12.7,2.9,19.2,34831
860,2207,124084,16,8,3,15,5.5,1.9,19.1,35496
860,2208,124085,8,6,2,6.2,4.5,1,16.2,34912
860,2214,124086,11,16,2,11,12.4,1.8,27.4,36546
860,2216,124087,5,6,2,4.8,2.9,1.1,21.7,38938
860,2217,124088,21,22,12,19.1,17.2,8.4,17.5,33980
860,2218,124089,9,9,6,9,7.1,3.5,19.5,37305
860,2219,124090,14,13,4,12.2,9.5,3.2,17.7,36525
860,2220,141732,7,7,4,4.8,5.5,1.9,19,32714
860,2222,124093,5,4,1,3.6,1.2,0.7,11.9,32603
860,2223,124094,14,6,4,11,5.4,2.1,20.3,36747
860,2224,124095,9,7,3,6.8,5.7,2,23.6,36032
860,2226,124097,10,9,5,8.4,7,3.5,22.4,38578
860,2228,124098,8,8,2,7.4,6.3,1.3,19.3,40421
860,2229,124099,14,17,4,12.6,12.2,2.5,23,35938
860,2230,137268,15,22,7,14.4,8.7,4.4,26.1,35681
860,2234,124101,11,8,1,9,5.2,1,23.8,35628
860,2236,124102,5,10,5,4.8,3.7,1.4,19.4,37149
860,2238,124103,7,6,5,6,3.2,2.2,14.6,35769
860,2239,124104,9,8,2,8.6,5.8,1.6,16.6,32769
860,2240,124105,3,3,2,2.5,1.1,0.8,14.4,SUPP
860,2241,142194,8,25,3,8,11.1,1.7,25.4,35010
860,2242,138043,13,10,3,12.5,8.1,3,26.4,37289
860,2247,124108,11,13,3,11,8.5,1.8,17.5,34023
860,2250,124109,12,14,10,9.9,7,4,20.2,33416
860,2251,124110,15,18,5,13.4,10.2,3.1,22.5,37222
860,2252,124111,18,28,8,15.5,20.8,6.1,19,35837
860,2256,124115,8,12,7,7,5.9,3.9,25.7,37752
860,2263,124119,8,10,2,8,5.3,1.3,24.8,37930
860,2264,141848,2,2,2,2,1.3,1.4,17,SUPP
860,2266,124121,6,5,1,5.2,3.6,0.7,16.9,33733
860,2273,124125,4,8,15,4,4.1,5.9,28,47728
860,2276,124126,11,13,3,9.6,6.4,2.1,22.2,38064
860,2277,124127,13,10,13,10.6,5.9,6.1,21.1,37087
860,2293,124130,12,10,22,10.7,5.9,7.3,22.1,38487
860,2294,124131,5,4,7,5,2,3.8,16.8,31746
860,2296,124132,32,43,12,26.3,21.4,8.8,24.9,38582
860,2297,124133,15,13,5,14.1,6.4,2.3,22,35549
860,2298,140522,4,7,2,4,3.9,1.9,20.4,34708
860,2299,140523,14,7,4,13.2,4.4,3.1,18.7,36857
860,2305,124138,6,4,2,4.8,1.6,0.9,18.1,35168
860,2306,124139,8,5,3,8,4.5,2.1,22,37225
860,2309,124140,17,8,4,15.3,5,2.2,20.7,37082
860,2315,124141,8,21,3,7,6.1,2,22.7,38161
860,2316,124142,16,14,6,12.8,11.5,4,22.1,36575
860,2320,124145,20,21,3,17.2,9.9,2.8,21.5,37364
860,2321,124146,10,16,3,9,8.2,2.5,24.1,32821
860,2322,124147,7,8,7,6.6,4.3,2.6,21.2,38064
860,2323,124148,7,7,9,6,4.2,6.5,21,37835
860,2325,124149,13,16,4,11.8,7.6,2.1,20.4,35136
860,2326,124150,13,6,4,11.6,4.3,2.3,20.9,35882
860,2327,124151,12,5,3,10.1,2.9,1.5,20,36350
860,2328,124152,10,10,2,9.8,6.7,1.2,21.6,36094
860,2331,124154,30,18,10,26.9,15.2,8,24.4,37031
860,2332,124155,14,16,2,12.6,10,1.1,20.2,36989
860,2333,124156,20,20,10,18.3,11.6,5,18.4,32783
860,2334,124157,13,12,5,11.2,7.2,4.2,23.5,33112
860,2335,124158,13,17,4,11.6,8.1,2,18.4,31231
860,2336,124159,14,18,7,13.6,9.8,3.9,21.5,34687
860,2337,124160,11,2,8,8.8,1.8,4.9,15.5,37369
860,2340,124161,26,15,8,21.4,10.6,6.5,17.9,33385
860,2342,124162,9,6,4,9,5.4,2.4,23.6,31050
860,2344,124163,11,10,5,8.8,5.9,2.5,23.6,35652
860,2345,124164,11,17,3,9.6,9.3,2,30.7,34237
860,2346,124165,12,13,4,10.4,11.8,3.1,18.3,38656
860,2348,124166,12,12,4,9.6,9,3.3,15.4,33814
860,2352,124167,19,19,3,17.7,12.6,2.1,25.6,36002
860,2355,124168,11,10,14,10,6.3,6.1,22.6,33725
860,2358,124169,13,14,4,12.5,10.9,3.8,14.1,31601
860,2359,124170,14,20,10,12.6,9.5,6.3,24,35346
860,2360,124171,18,11,4,17.5,7.7,3.3,17.7,34124
860,2361,124172,13,12,2,12.3,9.6,2,17.9,36077
860,2362,124173,11,9,6,9.2,5.6,3.3,22.8,36638
860,2368,124174,8,9,4,7.6,5.5,2.2,21.4,35081
860,2369,124175,9,14,5,8.2,9.7,2.9,27,34458
860,2370,124176,10,11,3,8.4,6.7,1.7,14.6,37122
860,2372,124177,15,16,11,12.5,9.4,6.5,23.2,35524
860,2373,141450,16,14,2,14.6,11.9,1.9,16.3,32915
860,2374,124179,18,11,9,16.4,9.5,7.3,15.2,36379
860,2386,124183,28,29,5,26.2,19.8,4.2,21.8,34917
860,2387,124184,11,7,6,10.7,4,3.9,21.2,29433
860,2388,124185,13,16,3,9.7,7.9,1.9,18.7,32922
860,2392,124188,19,18,8,16.2,10.9,4.2,21.4,34274
860,2393,124189,16,20,13,16,13.8,8.7,27.8,34249
860,2394,124190,16,14,5,15,6.2,2.6,19.3,35380
860,2395,124191,15,10,8,13.6,7.7,5.8,27.7,39337
860,2396,124192,15,14,5,12,9.1,3.1,20.8,35889
860,2397,124193,22,15,9,20.6,10.8,6.4,19.6,32927
860,2399,124195,10,12,3,8.8,6.3,2,24.3,32368
860,2400,124196,13,22,6,12.9,8.3,4,21.6,36856
860,2401,124197,9,12,9,9,10.5,6.8,26.8,36622
860,2403,124199,11,14,5,9,6.8,3.6,22.6,34894
860,2404,124200,15,13,5,13.2,10.2,3.3,14.8,33952
860,2406,124202,15,19,12,13.5,9.8,6.6,20.2,36471
860,2407,124203,18,14,7,17.8,8.8,4.8,19.8,36235
860,2409,124205,22,17,14,19.8,14.8,11.3,16.8,33746
860,2410,124206,7,7,4,7,4.8,2.6,24.1,36311
860,2411,124207,17,11,2,13.9,8.8,2,20.2,37449
860,2413,124209,19,19,9,18.2,9.7,7.5,21.8,36699
860,2414,124210,6,6,3,6,2.9,1.3,23.3,33976
860,2415,124211,10,10,3,8.8,4.7,1.6,22.5,37952
860,2416,124212,17,7,9,14,5.8,6.4,23.3,37550
860,2418,124214,23,23,8,21.4,15.6,4.6,19,33943
860,2421,141493,21,16,6,19.6,9.1,4.8,21.6,36080
860,2422,124218,21,21,6,17.5,10.7,3.8,22.9,36299
860,2423,124219,15,7,6,13.3,5.3,3.6,15.6,30180
860,2424,124220,24,23,6,21.4,19.2,5.5,18.3,35285
860,3000,132260,10,11,9,9.6,9.3,5.9,22.1,36429
860,3025,124231,19,27,2,13.4,8.3,1,21.5,39069
860,3026,124232,13,12,7,10.6,6.9,4.5,21.9,37409
860,3027,124233,7,4,4,6.1,3.4,1.6,19.5,34959
860,3028,124234,13,7,8,10.6,4.8,4.6,20.8,33715
860,3029,124235,4,8,1,4,5.3,1,24.4,30779
860,3030,124236,5,3,1,4.1,1.9,1,16.5,38613
860,3034,124237,9,11,8,6.5,5.4,4.3,22.9,34351
860,3035,124238,12,10,4,9.1,5.9,2.3,24,38151
860,3040,124240,11,11,2,9.4,8.5,1.4,24.5,34962
860,3042,124241,11,15,4,11,8.1,1.9,21.6,37909
860,3043,124242,4,4,NA,3.2,1.8,NA,18.4,51431
860,3044,124243,15,25,5,12.9,10.6,3.5,25.7,35448
860,3045,124244,12,9,4,9.1,4.5,1.7,20.2,33120
860,3046,124245,7,6,3,5.9,3.9,1.9,25.8,32548
860,3048,124246,7,3,1,4.7,2.5,0.8,17.9,33114
860,3049,124247,5,1,1,4.5,1,0.9,10.1,37607
860,3050,124248,5,2,1,5,1.4,1,13.4,34087
860,3051,124249,7,3,2,4.8,1.7,2,11.7,37429
860,3053,124250,9,12,8,8,7.7,5.8,27.4,37161
860,3063,124252,24,20,7,19.9,12.9,6.2,21.7,32775
860,3067,124253,6,6,2,4.1,4.4,0.8,17.9,39102
860,3069,124254,10,14,6,8.2,8.8,3.9,24.1,35587
860,3072,124255,8,14,5,8,10.1,2.9,19.7,33620
860,3075,124256,4,5,1,3.2,2.6,0.5,15.9,41815
860,3076,124257,21,14,7,17.8,9.8,4.5,23.7,36414
860,3079,124258,24,20,6,19,10.2,2.4,23.4,37994
860,3080,124259,10,12,5,9,4.3,2.1,22.3,37879
860,3081,124260,6,7,2,5.1,3.1,1,19.2,31041
860,3082,124261,1,1,1,1,0.4,0.4,10,SUPP
860,3084,124262,7,5,1,3.9,2.2,0.7,16.7,40297
860,3086,124263,3,3,2,3,0.8,1.2,13.5,SUPP
860,3091,124265,17,13,9,14.3,6.9,4,20.4,37381
860,3092,141486,14,15,7,13.8,9,4.4,20,32836
860,3093,124267,12,26,5,9.9,15.1,3.1,17.6,33496
860,3094,124268,9,8,4,9,6.2,3.2,27.9,40502
860,3098,124269,9,9,4,7,5.4,2.4,19.9,34475
860,3100,124270,6,8,2,5.4,3,1.4,19.5,36943
860,3102,124271,10,12,4,8.7,7.9,3.2,19.7,35460
860,3103,124272,4,2,2,2.7,1.1,0.9,12.1,39830
860,3110,124274,4,7,5,3.8,1.9,1.9,14.5,37490
860,3112,124275,15,26,4,14,15.4,3.2,23.9,36326
860,3113,124276,5,3,5,3.3,1.4,2.2,22.6,35320
860,3114,124277,8,6,2,7.4,4.2,1.6,24.2,36831
860,3116,124278,7,6,4,5.3,3.3,1.7,15.4,32451
860,3117,124279,4,5,7,4,1.9,1.9,16,36333
860,3118,124280,6,9,3,6,4,1.5,19.5,31724
860,3119,124281,11,11,2,10.6,6.2,2,18.4,32352
860,3120,124282,8,9,5,8,3.6,2.9,20.4,39074
860,3128,124283,12,7,2,9.3,4.2,1,21.3,38846
860,3130,124284,5,4,6,4.5,2.7,3,20,29118
860,3132,124286,9,9,1,7.3,5.3,1,20.8,37315
860,3134,124287,6,6,1,3.6,2.6,0.7,15.8,36520
860,3136,124289,6,7,2,5.4,3.1,1.1,25.8,38223
860,3137,124290,8,7,7,6.5,3.8,2.8,17.4,34308
860,3139,124291,10,7,5,9.7,5.2,3.7,23.2,34881
860,3141,124292,21,20,7,19,11.3,4.8,19.6,34798
860,3142,124293,7,6,3,6.5,3.6,1.9,20.7,32382
860,3144,124294,8,18,3,6.7,9.8,2,23.8,36857
860,3145,141822,25,13,8,23,9.6,6.2,21.3,35481
860,3146,124296,10,12,4,9,7.3,2.6,21.4,35242
860,3147,124297,17,17,5,15,13.8,3,27,39484
860,3148,124298,11,11,5,9.6,3,2,18.7,33651
860,3149,124299,5,4,1,5,2.3,1,22,39969
860,3150,141856,6,8,1,6,3.1,1,16.5,36168
860,3151,141783,8,6,3,7.6,3.8,2.3,21.5,33105
860,3152,124302,3,3,1,2.6,1.4,0.3,11.3,SUPP
860,3153,141779,11,12,NA,10.1,8.6,NA,22.5,32116
860,3154,124304,7,7,7,6.1,3.5,2.6,19.1,40085
860,3155,142275,4,4,1,3.6,2.2,0.8,12.2,34818
860,3156,124306,5,4,8,4.8,2.8,3.5,18.5,34485
860,3300,138722,5,4,3,5,2.6,1.3,14.6,35253
860,3420,124326,14,13,8,12.8,8,5.1,24.2,30912
860,3422,124327,12,17,10,9.7,8.8,3.7,26.7,31925
860,3426,124328,4,2,4,3,1.5,2.1,16,34102
860,3427,124329,5,5,2,4.9,3,1.1,16.5,37890
860,3430,124331,9,10,4,7.2,7.3,2.6,26.9,39681
860,3431,124332,8,8,4,7.2,4.5,2.6,23.2,36255
860,3432,124333,7,2,1,5.7,1.5,1,14.6,32869
860,3433,124334,4,2,NA,3.6,0.9,NA,15.4,37708
860,3434,142097,3,NA,2,1.3,NA,1.3,SUPP,SUPP
860,3436,141770,2,2,1,2,1.9,1,21,SUPP
860,3438,124337,6,5,1,3.9,1.3,0.5,16.4,35180
860,3440,142096,12,3,3,8.8,2.9,2.4,14.3,NA
860,3441,141837,11,9,3,10.1,6.1,2.2,15.9,35197
860,3442,124340,8,17,1,7.8,6.7,1,20.3,37896
860,3443,124341,12,6,9,9.6,4.4,6.4,23.3,38841
860,3446,124342,4,6,2,3.6,2.4,1,16.7,31869
860,3447,124343,9,14,8,7.2,5.2,4.5,19.7,34581
860,3449,124344,11,6,2,8.7,4.8,1.3,18.2,36810
860,3450,124345,7,4,3,6.1,2.5,1.5,20.1,37507
860,3455,124348,8,4,9,5.4,2.2,5.2,20,37668
860,3456,124349,10,10,4,8.7,7.5,3.6,25.4,36530
860,3457,138723,13,5,3,10.1,4.2,2.7,20.6,38264
860,3458,124351,8,18,2,7.7,11.5,1.4,26.6,35541
860,3459,138724,9,10,2,8.7,5.1,1.7,23.8,37593
860,3460,124353,5,3,5,5,1.6,2.7,17.6,36061
860,3461,124354,11,9,3,9.6,6.5,2.3,23,33412
860,3462,140146,9,11,8,8,7.4,5.1,23,39615
860,3463,138725,12,16,2,9.9,8,1.7,19.6,33238
860,3464,124357,9,9,3,8.2,4.5,2.5,25.9,38239
860,3465,140803,19,30,12,16.8,19.2,6.4,24,35801
860,3466,124359,25,27,10,20.1,12.8,6.8,21.4,32014
860,3467,124360,10,13,1,9.6,11,1,18.5,31304
860,3468,124361,11,8,3,8.8,4.7,2.5,23,37402
860,3469,124362,10,11,3,10,9.1,2.1,20.2,34933
860,3470,124363,12,10,10,9.2,5.3,3.6,22.3,34441
860,3473,138726,12,9,3,9.7,5.3,1.6,22.5,37039
860,3474,138727,11,8,2,9.6,5.4,1.7,20.5,37514
860,3476,124367,12,13,3,10.4,6.4,2.6,21.3,34878
860,3477,140129,6,5,NA,5.2,4,NA,20.2,37733
860,3478,124369,10,9,4,8.8,4.4,2,23.1,36307
860,3479,124370,10,13,4,9,7.7,2,14.2,34008
860,3480,124371,11,14,2,9.3,7.2,1.5,25.2,36880
860,3481,124372,8,6,1,6.3,3.3,0.9,14.6,28581
860,3482,124373,20,18,5,17,9.7,3.4,23.1,36220
860,3483,124374,9,13,4,7.6,7.3,2.2,28.3,37175
860,3484,124375,8,7,6,6.7,3.9,3.2,17.2,36119
860,3485,124376,8,8,3,7.6,4.5,2,23,36559
860,3486,124377,4,7,2,3.1,3.3,0.8,23.2,36954
860,3488,124379,5,8,1,5,3.4,1,18.2,35754
860,3489,124380,10,19,7,9,9.3,2.5,23,37529
860,3490,124381,4,3,1,2.6,1.1,0.7,13.7,34509
860,3491,133993,12,15,3,10.1,8.5,2.5,24.8,36897
860,3492,134353,18,28,5,16.8,12.4,3.5,25.5,35303
860,3493,134665,11,10,2,10.2,8,1.8,19.5,36556
860,3494,134666,12,13,4,9.3,8.2,2.7,20.7,37321
860,3495,134777,14,16,4,10.6,9.1,2.6,20.1,37188
860,3496,134898,23,30,13,20.4,14.4,7.3,21.5,36404
860,3497,131073,12,16,2,8.9,6.1,2,19.1,33680
860,3498,131568,21,22,4,17.7,9.6,3.1,24.9,36717
860,3499,135204,17,24,4,17,15.2,2,23.6,35987
860,3500,135281,26,13,7,23.3,10.7,6.3,15.3,30878
860,3501,135282,24,31,8,20.5,17.3,6.9,24.2,37210
860,4002,137100,49,7,17,43.8,6,14.4,14.3,36109
860,4003,137103,37,9,25,34.8,7.8,23.9,18.7,35836
860,4004,137146,37,5,14,36.2,5,13,17.8,40177
860,4005,137164,45,9,27,44.8,8,25.5,13.3,36577
860,4006,138435,61,17,31,57.1,14,19.5,13.7,36999
860,4007,138351,14,6,2,12.7,4.6,1.4,10.9,37105
860,4009,141342,41,13,15,36.5,9.9,12.3,15.6,38502
860,4010,141343,63,13,26,59.8,10.1,20.2,14.7,38668
860,4011,141491,37,2,12,31.9,1.9,12,17.4,37728
860,4012,141700,34,6,16,33.6,5.8,12.7,11.1,34807
860,4013,142015,40,6,24,38.1,6,19.9,21.7,37720
860,4051,124391,61,13,21,52.4,10.9,18.3,15.2,37861
860,4055,124392,62,30,15,55.1,26.4,13,17.2,38515
860,4060,124393,54,15,17,49.8,13.9,15.2,14.1,39124
860,4061,136323,100,22,40,91.6,13.4,30.7,16.6,38625
860,4066,124395,31,7,13,29.9,5.6,9.5,13.6,39736
860,4067,124396,74,9,24,68.3,8.5,20.8,14.1,37375
860,4070,142313,72,23,27,70.1,18.9,24.7,16.9,38924
860,4072,124399,44,16,23,42.2,13,16.8,18.5,37520
860,4075,124400,61,12,27,57.4,10,23.8,17.1,40774
860,4077,124401,49,7,26,45.2,5.5,17.4,15.3,39949
860,4079,124402,59,15,29,53.4,11.3,26.9,16.2,40796
860,4084,139708,45,13,16,41.6,11.2,12.9,12.4,36957
860,4085,124406,31,10,17,28.1,5.5,10.9,14.8,37895
860,4086,124407,52,13,16,49.5,8.3,14.6,16.9,43630
860,4087,124408,97,19,37,83,11.1,28.5,16.6,37937
860,4089,124409,45,13,23,39.3,8.9,15.6,15.3,39160
860,4090,140154,38,13,12,36.6,9.2,11.1,17.3,37835
860,4093,140470,41,15,18,41,14.1,16.2,15.5,39013
860,4094,142278,62,11,22,55,9.8,18.1,17.9,35832
860,4096,142277,26,9,23,25,8.8,18.3,14.7,34386
860,4100,124415,46,6,28,44.1,6,20.2,14.8,39701
860,4111,124416,82,11,29,72.3,7.5,23.4,17.5,40054
860,4112,140123,50,8,21,48.4,6.2,16.3,16.5,38424
860,4123,138936,60,15,21,55.2,14.4,16.3,14.5,39935
860,4126,124422,74,19,31,67.9,11.8,25.7,17.5,38544
860,4128,124423,26,9,10,22.6,4.8,7.6,17.3,38294
860,4133,124424,30,10,7,26.1,7.2,6.3,18.9,38187
860,4140,124425,80,11,38,74.2,7.7,28.8,17.4,38948
860,4142,124426,20,7,11,18.4,3.7,6.9,20,37297
860,4143,137356,56,19,24,56,15.4,19,13.6,39284
860,4144,124428,25,15,10,22.6,11.1,7.2,14.9,37295
860,4145,124429,30,18,18,28.7,7.5,10.6,18.3,37311
860,4146,124430,80,7,39,64.7,4.6,29.3,16.3,39939
860,4153,136959,36,5,12,35.4,4.7,12,16.2,32107
860,4154,141074,27,11,9,23.8,10,5.3,18.9,38127
860,4158,138728,58,9,26,54,7.1,22.8,17.2,39821
860,4160,124436,35,10,15,30.7,6.7,11.1,14.9,32791
860,4170,124437,19,6,7,18,5.2,5.3,18.3,37680
860,4176,136414,119,10,66,112.5,8.3,59.2,18.2,40156
860,4178,124443,87,11,31,79.2,9.6,24.1,16.5,40240
860,4180,124444,58,18,25,54.5,13.6,18.3,16.5,38861
860,4181,124445,50,13,22,45.6,11.8,17.1,15.8,41561
860,4183,137553,53,6,19,47.8,4.3,15.5,18.1,41103
860,4500,124449,46,11,24,40.9,10,22.5,16.2,40561
860,4511,124450,13,6,4,11.8,5.6,2.3,17.6,35395
860,4512,124451,27,9,9,22.8,7.9,7.1,15.6,36135
860,4516,124452,23,11,7,20.5,6.2,4.7,19,39770
860,4517,124453,7,3,4,6.6,3,3.2,19.5,34547
860,4607,124455,50,10,20,46.4,7.7,18.2,17.4,39738
860,4610,138729,77,13,30,71.7,11.7,26.5,16.7,37814
860,4612,136961,28,9,12,26.9,6.9,8.3,20.2,40818
860,4613,139171,44,13,16,36.7,8.9,11.3,19.9,40882
860,4710,124459,49,7,22,46,6.7,18.6,15.8,37892
860,4713,140802,64,27,31,59,15.8,26.7,15.8,40105
860,5200,142276,4,2,1,3,1.8,1,14,32837
860,5202,124464,7,4,1,5.8,3.6,1,17.2,32318
