ALPHAIND	LEA	ESTAB	URN	SCHNAME	SCHNAME_AC	NFTYPE	TABKS2	PTPRIORLO	PTPRIORAV	PTPRIORHI	PTL2BASICS_LL_PTQ_EE	PTEBACC_15_PTQ_EE	PTL2BASICS_3YR_PTQ_EE	PTAC5EM_PTQ_EE	ATT8SCR	ATT8SCRENG	ATT8SCRMAT	ATT8SCREBAC	ATT8SCROPENG	ATT8SCR_LO	ATT8SCR_AV	ATT8SCR_HI	ATT8SCR_15
2332	330	4001	137578	Ark Kings Academy	 	AC	0	0.48	0.48	0.03	0.49	0.16	0.51	0.46	43.9	9.6	8.3	12.9	12.8	35.5	49.1	SUPP	NA
2344	330	6908	135970	Ark St Alban's Academy	 	AC	0	0.23	0.65	0.12	0.78	0.46	0.76	0.64	53.6	11.1	10.8	15.8	16	42.7	55.6	66	50.5
2456	330	4307	138136	The Arthur Terry School	 	ACC	0	0.07	0.53	0.41	0.87	0.38	0.82	0.85	56.3	11.6	11.1	16.1	12.8	38.5	52.4	64	NA
2896	330	4220	136882	Aston Manor Academy	 	ACC	0	0.33	0.53	0.14	0.52	0.15	0.52	0.47	51.2	10.7	9.5	13.6	11.7	41.4	55.1	65.6	NA
2904	330	4003	138222	Aston University Engineering Academy	 	FUTC	0	0.2	0.66	0.14	0.41	0.01	0.43	0.28	42.2	9	8.4	12.3	4.5	30.5	43.5	55	NA
3038	330	6016	140382	Avecinna Academy	 	IND	0	NP	NP	NP	0.07	0.0	0.05	0.04	17.6	2.9	3.8	7	3.9	NP	NP	NP	NA
3334	330	4333	103529	Balaam Wood School	 	CY	0	0.46	0.41	0.12	0.44	0.09	0.43	0.37	43.2	9.3	8.1	11.5	10.9	36.9	46.5	SUPP	NA
3816	330	4108	136589	Bartley Green School	 	ACC	0	0.22	0.6	0.19	0.55	0.19	0.6	0.49	45.3	10.2	9.1	11.6	13.3	28.2	45.5	64.5	NA
3966	330	5400	139738	The Baverstock Academy	 	ACC	0	0.29	0.56	0.15	0.21	0.01	0.33	0.21	33.6	7.7	5.7	7.1	6.2	26.6	36.3	57.7	NA
5344	330	6083	103591	Birchfield Independent Girls' School	 	IND	0	NP	NP	NP	0.58	0.13	0.48	0.5	49.3	10.5	9	14.2	15.6	NP	NP	NP	NA
5446	330	4000	136944	Birmingham Ormiston Academy	 	AC	0	0.09	0.53	0.39	0.76	0.08	0.73	0.71	54.1	11.3	10.4	14.6	10.5	40	52.2	59.6	NA
5492	330	5413	103560	Bishop Challoner Catholic College	 	VA	0	0.08	0.5	0.42	0.8	0.34	0.8	0.76	58	12.3	11.3	16.5	17.2	33.1	54	67.8	54.3
5604	330	4660	137988	Bishop Vesey's Grammar School	 	ACC	0	0.0	0.03	0.97	0.99	0.87	0.98	0.95	68.5	13.2	14.3	21.3	19.6	NE	SUPP	68.7	NA
5606	330	4661	140524	Bishop Walsh Catholic School	 	ACC	0	0.05	0.55	0.41	0.75	0.42	0.76	0.65	56.8	10.9	11.6	16.6	16	31.3	52.3	66.1	58.9
6326	330	4115	103493	Bordesley Green Girls' School & Sixth Form	 	CY	0	0.26	0.51	0.22	0.63	0.28	0.56	0.5	47.4	9.8	9.1	13.8	12.7	31.1	50.1	63.8	48.8
6520	330	4017	141318	Bournville School and Sixth Form Centre	 	AC	0	0.17	0.58	0.25	0.54	NA	0.54	0.47	48.9	10.3	9.5	13.4	12.1	30.2	47.4	65.3	NA
7772	330	4227	139841	Broadway Academy	 	ACC	0	0.32	0.55	0.13	0.39	0.08	0.47	0.34	42	9.5	8.2	10.5	13.3	29.1	45.5	59.8	NA
9564	330	4801	103539	Cardinal Wiseman Catholic Technology College	 	VA	0	0.18	0.61	0.2	0.54	0.21	0.43	0.44	47.9	10.5	8.8	12.9	13.6	32	47.4	60.8	NA
11860	330	6010	137819	City United Academy (CUA)	 	IND	0	NP	NP	NP	SUPP	SUPP	0.0	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	NP	NP	NP	NA
12584	330	5416	103563	Colmers School and Sixth Form College	 	FD	0	0.22	0.63	0.15	0.59	0.15	0.55	0.45	44.9	10	9.1	12.5	12.3	26.5	47.8	61.8	NA
14280	330	4129	103494	Dame Elizabeth Cadbury Technology College	Dame Elizabeth Cadbury Technology College	FD	0	0.23	0.59	0.19	0.54	0.16	0.52	0.4	46.2	10	9.6	12.5	11.5	32.4	46.1	56.2	NA
14464	330	6078	103586	Darul Uloom Islamic High School	 	IND	0	NP	NP	NP	0.92	0.0	0.67	0.23	49.6	10.3	11.5	15.8	11.9	NP	NP	NP	NA
16568	330	4021	141969	Eden Boys' School, Birmingham	 	F	0					NA			 	 	 	 	 	 	 	 	NA
16634	330	6003	103567	Edgbaston High School for Girls	 	IND	0	NP	NP	NP	0.97	0.64	0.99	0.96	64.4	12.9	12.5	18.7	20.2	NP	NP	NP	NA
17090	330	6111	134908	Elmhurst School for Dance	 	IND	0	NP	NP	NP	0.0	0.0	0.31	0.0	47.7	12.8	0	16.9	17.4	NP	NP	NP	NA
17476	330	2168	143413	Erdington Academy	 	AC	0								 	 	 	 	 	 	 	 	 
17824	330	5410	136908	Fairfax	 	ACC	0	0.11	0.54	0.35	0.75	0.37	0.68	0.69	54.2	11.8	10.8	15.4	13.8	38.5	51.3	63.6	NA
18716	330	6128	135561	Flexible Learning Centre	 	IND	0	NP	NP	NP	0.15	0.0	0.07	0.01	10.5	4.3	3.6	1.4	0.7	NP	NP	NP	NA
19114	330	4005	139047	Four Dwellings Academy	 	AC	0	0.32	0.49	0.19	0.56	0.08	0.42	0.46	48.7	10.3	9.3	10.9	7.8	35.7	53.2	60.3	NA
19614	330	6121	135422	Future First Independent School	 	IND	0	NP	NP	NP	0.0	0.0	0.01	0.0	1.8	0.1	1.4	0.4	0	NP	NP	NP	NA
19946	330	5412	138695	George Dixon Academy	 	ACC	0	0.3	0.56	0.13	0.38	0.28	0.4	0.32	45.6	9.1	8.9	13.4	13.5	33.3	49.2	64.4	41.6
21014	330	5403	103550	Great Barr School	Great Barr School	FD	0	0.21	0.59	0.2	0.45	0.08	0.44	0.4	43.8	9.5	8.1	12.3	10.1	29.2	44.7	59.6	NA
21264	330	6205	135688	Green Heath School	 	IND	0	NP	NP	NP	0.14	0.0	0.05	0.03	15.3	4.9	3.4	3.7	3.3	NP	NP	NP	NA
21552	330	4006	139048	Greenwood Academy	 	AC	0	0.34	0.55	0.11	0.39	0.03	0.47	0.32	42.5	10.2	8.4	9.9	8.6	31.6	44.4	60.7	NA
22114	330	5409	137858	Hall Green School	 	ACC	0	0.18	0.51	0.3	0.61	0.37	0.64	0.57	51.6	10.6	9.8	15.2	14.8	34.6	49.5	63.8	NA
22348	330	4240	139746	Hamstead Hall Academy	 	ACC	0	0.19	0.6	0.21	0.65	0.1	0.58	0.53	49.4	10	10.3	14.1	10.8	28.1	50.9	63.3	NA
22388	330	5402	103549	Handsworth Grammar School	 	VA	0	0.0	0.12	0.88	0.98	0.48	0.95	0.91	65.5	12.6	13.5	19.5	19.8	NE	62.3	66	65.7
22394	330	4207	138937	Handsworth Wood Girls' Academy	 	ACC	0	0.27	0.54	0.19	0.56	0.18	0.56	0.44	43.1	9.1	9	11.4	13	24.4	47.7	60.5	NA
22450	330	6910	136213	Harborne Academy	 	AC	0	0.32	0.41	0.27	0.4	0.13	0.4	0.31	41.4	8.2	8.9	9.5	8.8	30.6	44.6	58.9	39.7
23444	330	6170	136123	Hazrat Khadijatul Kubra Girls School	 	IND	0	NP	NP	NP	0.53	0.0	0.53	0.42	46.2	11.1	9.2	14.4	11.5	NP	NP	NP	NA
23512	330	6905	135907	Heartlands Academy	 	AC	0	0.13	0.65	0.23	0.72	0.12	0.61	0.63	52.3	11	10.6	13.6	13.2	39.7	51.5	63.2	NA
24410	330	6060	103576	Highclare School	 	IND	0	NP	NP	NP	0.84	0.71	0.86	0.79	59.5	12	11.5	17.9	15.7	NP	NP	NP	NA
24750	330	4012	137346	Hillcrest School A Specialist Maths and Computing College and Sixth Form Centre	 	ACC	0	0.13	0.58	0.29	0.59	0.36	0.48	0.54	50.4	10.6	9.6	14.7	12.6	28.8	51.6	60.6	NA
25014	330	4201	103503	Hodge Hill College	 	CY	0	0.16	0.48	0.36	0.57	0.26	0.54	0.52	47.9	10.3	9.6	11.8	14.8	33.5	46.1	57.1	NA
25016	330	4015	103483	Hodge Hill Girls' School	 	CY	0	0.12	0.6	0.28	0.69	0.33	0.69	0.62	50.8	10.7	9.9	13.4	14.9	30.4	50.1	61.2	NA
25342	330	4223	103509	Holte School	 	CY	0	0.2	0.53	0.27	0.61	0.32	0.55	0.57	50.5	10.6	9.2	14.1	11.9	31	51.3	63.3	NA
25560	330	4664	103538	Holy Trinity Catholic Media Arts College	 	VA	0	0.19	0.68	0.13	0.52	0.14	0.48	0.45	47.5	9.9	9.6	13	13.4	36.3	48.6	60.2	NA
25702	330	4241	137034	Holyhead School	 	ACC	0	0.23	0.58	0.19	0.67	0.07	0.61	0.62	50.6	11.1	10	14.3	12.2	38.6	50.6	64.8	NA
26914	330	4244	103518	The International School	 	CY	0	0.41	0.51	0.08	0.35	0.1	0.33	0.23	40.8	8.1	8.3	11.8	9	26.4	42.6	60.7	NA
27238	330	6106	134571	Jamia Islamia Birmingham	 	IND	0	NP	NP	NP	0.63	0.0	0.57	0.37	47.1	11.4	9.4	11.8	14.5	NP	NP	NP	NA
40438	330	4016	141003	Perry Beeches IV - The Free School	 	F	0					NA			 	 	 	 	 	 	 	 	NA
40442	330	4109	138141	Perry Beeches the Academy	 	ACC	0	0.17	0.57	0.26	0.77	0.32	0.73	0.76	53.9	10.9	9.9	14.9	12.3	43.6	53.6	61.4	NA
40444	330	4019	141752	Perry Beeches V - The All Through Family School	 	F	1					NA			 	 	 	 	 	 	 	 	NA
40878	330	4331	137053	Plantsbrook School	 	ACC	0	0.12	0.44	0.44	0.69	0.36	0.69	0.59	51.6	10.5	10.1	14.6	13.2	26.7	48.8	60.8	NA
41618	330	6002	103566	The Priory School	 	IND	0	NP	NP	NP	0.82	0.49	0.75	0.8	55.6	11.4	11	16.4	16.7	NP	NP	NP	NA
42034	330	4173	103497	Queensbridge School	 	FD	0	0.21	0.5	0.29	0.69	0.19	0.65	0.62	51.6	11.2	10.1	14.3	13.8	36.5	51.7	62.6	NA
42862	330	6009	137560	Redstone Educational Academy	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	5.9	0	0.3	4	1.6	NP	NP	NP	NA
43486	330	6019	142338	Riverside Education	 	IND	0	NP	NP	NP	0.0	NA	0.0	0.0	0.8	0.5	0	0.3	0	NP	NP	NP	NA
43744	330	4323	138059	Rockwood Academy	 	ACC	0	0.44	0.44	0.12	0.49	0.29	0.58	0.43	42.2	9.2	8.7	13.4	10.7	30.4	48.7	64.8	NA
46488	330	4663	103537	St Edmund Campion Catholic School & Sixth Form Centre	 	VA	0	0.25	0.56	0.18	0.52	0.11	0.54	0.42	46.3	10.2	9	12.6	11.7	36.3	46.9	56.5	NA
47000	330	6000	103564	St George's School Edgbaston	 	IND	0	NP	NP	NP	0.58	0.21	0.65	0.56	49.7	9.4	9.8	14.8	15.7	NP	NP	NP	NA
47660	330	4625	103534	St John Wall Catholic School	 	VA	0	0.33	0.56	0.1	0.41	0.17	0.33	0.34	45.4	8.4	8.4	13.1	9.2	27.8	50.2	62.3	NA
50756	330	4606	103531	St Paul's School for Girls	 	VA	0	0.06	0.52	0.43	0.86	0.39	0.83	0.85	60.6	12.6	12.6	17.1	16.2	37.8	55.8	69.9	NA
51496	330	4616	141835	St Thomas Aquinas Catholic School	 	ACC	0	0.15	0.53	0.32	0.57	0.3	0.65	0.54	46.9	10.4	9.5	11.6	13.6	29.6	42.9	61.6	NA
52008	330	4018	141668	Saltley Academy	 	AC	0	0.2	0.55	0.25	0.6	NA	0.6	0.6	52.4	10	9.9	15.5	13.8	40.1	52.1	63.1	NA
52680	330	4177	103498	Selly Park Technology College for Girls	 	CY	0	0.2	0.5	0.3	0.72	0.28	0.74	0.69	54.7	11.8	10	15.6	12.5	38.3	54	66.6	NA
53064	330	6907	135911	Shenley Academy	 	AC	0	0.17	0.63	0.19	0.56	0.07	0.49	0.51	45.4	10.4	8.7	10.8	6.4	30.1	45.2	58.7	NA
53970	330	5401	103548	Small Heath School	 	FD	0	0.19	0.57	0.24	0.46	0.21	0.5	0.41	46.5	9.7	9.2	13.6	13.6	29.5	45.4	62.5	NA
54820	330	6109	134403	Sporting Edge Independent School	 	IND	0	NP	NP	NP	SUPP	NA	0.0	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	NP	NP	NP	NA
55406	330	2179	103258	Starbank School	 	CY	1					NA			 	 	 	 	 	 	 	 	NA
55636	330	4206	138137	Stockland Green School	 	ACC	0	0.32	0.55	0.13	0.48	0.08	0.49	0.43	45	9.8	9	12.2	13	31.4	48.2	63.5	NA
56402	330	4300	136778	Sutton Coldfield Grammar School for Girls	 	ACC	0	0.0	0.01	0.99	1.0	0.73	0.99	0.99	72.2	14.3	14.6	21.3	22	NE	SUPP	72.2	71.1
56564	330	4237	103514	Swanshurst School	 	CY	0	0.22	0.49	0.29	0.63	0.27	0.59	0.54	52.7	10.7	9.9	15.7	15.2	38	52	65	50.8
57906	330	6015	139962	TLG - South East Birmingham	 	IND	0	NP	NP	NP	SUPP	NA	NE	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	NP	NP	NP	NA
58640	330	4188	103500	Turves Green Boys' School	 	CY	0	0.26	0.57	0.16	0.41	0.15	0.47	0.39	46	10	9	12	12.1	34	47.8	62.5	NA
58642	330	4187	103499	Turves Green Girls' School	 	FD	0	0.25	0.59	0.16	0.65	0.14	0.58	0.62	51.1	10.9	9.2	14	10.1	37	53.8	64.4	NA
58914	330	4014	140863	The University of Birmingham School	 	F	0					NA			 	 	 	 	 	 	 	 	NA
60064	330	4084	139888	Washwood Heath Academy	 	ACC	0	0.24	0.51	0.24	0.53	0.1	0.52	0.48	48.2	10.2	9.2	13.3	10.1	38.5	49.2	61.3	NA
60240	330	4009	142219	Waverley School	 	ACC	1	0.23	0.5	0.26	0.61	0.21	0.59	0.51	47.3	10.2	9.2	13.1	13.3	31.5	48.1	58.7	46.8
60242	330	4010	139788	Waverley Studio College	 	FSS	0	0.33	0.58	0.08	0.27	0.0	0.15	0.23	39.7	8.5	8	8.7	8.3	27.9	37.4	SUPP	NA
61528	330	4193	103501	Wheelers Lane Technology College	 	CY	0	0.21	0.57	0.22	0.71	0.24	0.67	0.59	52.6	10.8	10	14.9	13.5	40.1	52.8	63.1	NA
63616	330	6094	131164	Woodstock Girls' School	 	IND	0	NP	NP	NP	0.48	0.17	0.39	0.35	44.3	9.8	8.3	13.3	12.9	NP	NP	NP	NA
64144	330	4246	139994	Yardleys School	 	ACC	0	0.25	0.56	0.19	0.51	0.09	0.52	0.47	46.4	9.4	9.5	12.2	12.9	32	47.3	62.8	NA
3226	331	6017	103751	Bablake School	 	IND	0	NP	NP	NP	0.0	0.0	0.34	0.0	37.5	0	14.3	12.3	10.9	NP	NP	NP	NA
3804	331	4000	103727	Barr's Hill School and Community College	Barr's Hill School and Community College	FD	0	0.26	0.56	0.18	0.52	0.04	0.41	0.47	43.7	10.4	9.1	10.8	10.7	26.9	47.3	62.1	NA
5602	331	4701	103742	Bishop Ullathorne Catholic School	 	VA	0	0.18	0.57	0.25	0.7	0.44	0.64	0.66	53.6	10.7	10.4	15.8	14.3	39.5	53.1	65	52.3
6072	331	4800	137272	Blue Coat Church of England School and Music College	 	ACC	0	0.12	0.43	0.45	0.82	0.34	0.77	0.77	57.1	11.9	10.9	16.4	17.3	32.6	53.8	67.6	NA
9130	331	4028	139292	Caludon Castle School	 	ACC	0	0.11	0.52	0.37	0.66	0.22	0.61	0.62	53.4	10.8	10.2	14.3	10.7	36.8	49.4	63.8	NA
9546	331	4707	103743	Cardinal Newman Catholic School A Specialist Arts and Community College	 	VA	0	0.14	0.59	0.27	0.52	0.04	0.42	0.49	50.2	11.7	8.7	13.9	13.3	32.9	48.9	61.2	NA
9562	331	4007	141992	Cardinal Wiseman Catholic School and Language College	 	AC	0	0.16	0.56	0.28	0.62	NA	0.62	0.55	48.2	10.7	9.4	12.4	13.8	29.6	46.5	61.7	NA
13314	331	4026	138023	Coundon Court	 	ACC	0	0.18	0.61	0.21	0.73	0.03	0.72	0.61	50.3	11.4	9.7	14	14.3	36.6	51	59.7	NA
16572	331	4002	140958	Eden Girls' School Coventry	 	F	0					NA			 	 	 	 	 	 	 	 	NA
17508	331	4001	140366	Ernesford Grange Community Academy	 	AC	0	0.17	0.63	0.2	0.49	0.14	0.52	0.43	43.1	9.6	8.8	11.8	8.5	22.1	41.5	61.3	NA
18478	331	4006	141939	Finham Park 2	 	F	0					NA			 	 	 	 	 	 	 	 	NA
18480	331	4037	136963	Finham Park School	 	ACC	0	0.12	0.43	0.45	0.75	0.32	0.75	0.72	55.8	11.4	11	16.1	14.8	36.4	50.4	66.1	NA
19198	331	4029	103732	Foxford School and Community Arts College	 	FD	0	0.35	0.5	0.15	0.4	0.13	0.41	0.33	41.8	9	8.1	11.9	8.1	29.6	48	56.9	NA
20662	331	6905	135335	Grace Academy Coventry	 	AC	0	0.2	0.53	0.27	0.53	0.03	0.48	0.36	42.6	10	8.5	10.8	12.8	27.7	42.5	55	NA
28336	331	6016	103750	King Henry VIII School	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	26.9	0	0	15.2	10.6	NP	NP	NP	NA
32118	331	4030	103733	Lyng Hall School	Lyng Hall School	FD	0	0.39	0.5	0.11	0.38	0.06	0.4	0.3	38.9	8.4	7.2	8	6	28.6	44.8	60.6	NA
40032	331	6011	103747	Pattison College	 	IND	0	NP	NP	NP	0.92	0.73	0.87	0.92	55.8	12	11.1	16.8	11.8	NP	NP	NP	NA
41298	331	4034	140248	President Kennedy School Academy	 	ACC	0	0.31	0.54	0.15	0.66	0.21	0.65	0.62	51.5	12.1	10.1	14.3	12.3	39.3	53.8	66.4	NA
52748	331	4004	141104	Seva School	 	F	1					NA			 	 	 	 	 	 	 	 	NA
53506	331	6906	136126	Sidney Stringer Academy	 	AC	0	0.23	0.58	0.19	0.7	0.29	0.66	0.59	51.7	11	10.3	14.5	13.7	38.6	54.2	67.3	46.8
55754	331	4005	103728	Stoke Park School and Community Technology College	 	FD	0	0.22	0.53	0.25	0.56	0.13	0.52	0.51	47.3	9.9	9.1	13.2	8.8	33.9	48.1	59.8	NA
57810	331	4033	137209	Tile Hill Wood School and Language College	 	ACC	0	0.2	0.56	0.25	0.57	0.28	0.58	0.54	49.5	11.2	9	13.6	13.1	32.7	48.5	64.2	NA
61364	331	4043	137225	The Westwood Academy	 	ACC	0	0.31	0.52	0.17	0.55	0.07	0.53	0.47	44.3	9.4	8.3	12.7	6.7	30.5	48	58.8	NA
61876	331	4044	136840	Whitley Academy	 	ACC	0	0.16	0.53	0.32	0.77	0.22	0.64	0.71	52.8	10.8	10.5	14.8	10.2	35.6	51.4	63.5	NA
62994	331	4003	140961	WMG Academy for Young Engineers	 	FUTC	0	0.11	0.56	0.33	0.61	NA	0.61	0.5	45.3	10.1	9.6	13.5	7.2	30.7	43.5	53.5	NA
63372	331	4027	137165	Woodlands Academy	 	ACC	0	0.18	0.62	0.2	0.56	0.01	0.45	0.44	43.1	9.7	9.1	10.3	9.5	26.5	44.7	55.9	NA
5558	332	4800	140126	Bishop Milner Catholic College	 	ACC	0	0.17	0.49	0.34	0.69	0.14	0.68	0.68	53.3	11.3	10.3	14.7	12.3	37.7	51.2	63.7	NA
5746	332	6007	137571	Black Country Wheels School	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	1.7	0.2	0.4	0	0.6	NP	NP	NP	NA
9814	332	4612	103867	Castle High School and Visual Arts College	 	VA	0	0.31	0.55	0.14	0.39	0.05	0.4	0.3	40.6	9.2	7.6	10.5	12.3	27.8	43.6	59.8	NA
13190	332	4027	103857	The Coseley School	 	FD	0	0.18	0.49	0.33	0.51	0.11	0.44	0.42	44	9.6	8.6	10.7	10.9	22.7	43.1	56.8	NA
13684	332	4000	141325	The Crestwood School	 	AC	0	0.27	0.6	0.13	0.49	NA	0.49	0.39	45.2	9.4	8.7	12.1	10	30.5	47.8	63.8	NA
15364	332	4023	103855	The Dormston School	 	CY	0	0.12	0.49	0.4	0.63	0.16	0.57	0.6	52.7	11.4	10	14.5	16.8	36	51.2	59.5	NA
16078	332	4106	137812	The Earls High School	 	ACC	0	0.12	0.59	0.3	0.67	0.17	0.61	0.59	50.7	10.4	9.8	14.2	12.2	31.8	49.5	61.3	NA
17010	332	5401	141570	Ellowes Hall Sports College	 	ACC	0	0.21	0.52	0.27	0.6	0.25	0.68	0.52	49.4	10.7	9.2	13.4	12.6	31.7	49	63.1	NA
17064	332	6000	103876	Elmfield Rudolf Steiner School Limited	 	IND	0	NP	NP	NP	0.42	0.0	0.13	0.0	20.3	3.7	10.6	3.4	2.6	NP	NP	NP	NA
24248	332	5403	137705	The High Arcal School	 	ACC	0	0.21	0.56	0.22	0.51	0.08	0.53	0.45	44.2	9.9	8.5	11.3	12.1	23.3	46.2	60.1	NA
24752	332	4117	103863	The Hillcrest School and Community College	 	CY	0	0.24	0.56	0.2	0.39	0.23	0.46	0.33	43.5	9.6	7.8	12.7	9.6	29.4	43.8	59.7	NA
25160	332	5405	137390	The Holly Hall Academy	 	ACC	0	0.22	0.54	0.24	0.39	0.21	0.39	0.38	44	9.3	8.1	12.5	11.7	26.1	45.7	55.6	NA
28924	332	5402	137773	The Kingswinford School & Science College	 	ACC	0	0.15	0.56	0.29	0.54	0.09	0.57	0.51	51.9	10.8	9.4	14.4	11.1	36.4	49.9	64.1	NA
30242	332	4110	103861	Leasowes High School	 	FD	0	0.21	0.56	0.24	0.56	0.29	0.51	0.52	47.6	10.2	9.1	14.1	14.2	30.7	48.4	60.3	NA
36252	332	6004	134458	Newhall Theatre Project	 	IND	0	NP	NP	NP	SUPP	0.0	NE	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	NP	NP	NP	NA
38236	332	5400	103870	Old Swinford Hospital	 	VA	0	0.09	0.24	0.67	0.89	SUPP	0.82	0.85	63.1	12.5	12.7	19	12.8	SUPP	50.7	68.5	NA
40138	332	4105	103859	Pedmore Technology College and Community School	 	FD	0	0.21	0.56	0.22	0.48	0.09	0.51	0.41	44.2	10	9.1	11.5	13.6	28.8	45.1	58.2	NA
42808	332	4119	139872	Redhill School and Specialist Language College	 	ACC	0	0.09	0.58	0.32	0.68	0.26	0.69	0.62	53.8	11.5	10.4	15.9	15.5	31.9	50.2	66.6	53.5
43278	332	4121	141712	Ridgewood High School	 	ACC	0	0.16	0.64	0.2	0.58	0.07	0.58	0.52	47.5	10.3	9.2	12.7	15.3	29.5	47.4	61.7	NA
56228	332	4020	103854	Summerhill School	 	CY	0	0.13	0.51	0.35	0.65	0.25	0.69	0.54	49	10.4	10.3	13.5	13.7	26.5	45.9	62.2	NA
57498	332	4018	103853	Thorns Community College	 	FD	0	0.14	0.62	0.24	0.47	0.24	0.46	0.39	43.6	9.7	9	11.7	12.2	21.3	42.9	58.1	NA
62700	332	5404	136618	Windsor High School and Sixth Form	 	ACC	0	0.17	0.55	0.28	0.66	0.22	0.71	0.62	51.6	10.9	10	13.9	13	33	51.1	63.5	NA
63766	332	4030	103858	The Wordsley School Business & Enterprise & Music College	 	CY	0	0.15	0.58	0.27	0.56	0.03	0.51	0.47	48.6	10.4	9.4	14.2	14.4	29.6	46.5	63.5	NA
348	333	4001	139328	The ACE Academy	 	AC	0	0.22	0.53	0.26	0.39	0.06	0.38	0.32	39.7	8.5	7.5	10.7	7.5	21.9	39.7	55.8	NA
7494	333	4129	139043	Bristnall Hall Academy	 	ACC	0	0.26	0.58	0.16	0.56	0.27	0.51	0.51	45.6	9.4	9.1	12.7	11.8	24.8	49.1	64.9	NA
19984	333	6907	135234	George Salter Academy	 	AC	0	0.22	0.5	0.28	0.59	0.23	0.63	0.51	49.3	10.7	9.6	11.9	12.4	31.2	48	65.5	NA
23494	333	4005	141813	Health Futures UTC	 	FUTC	0					NA			 	 	 	 	 	 	 	 	NA
25174	333	4138	104018	Holly Lodge High School College of Science	 	FD	0	0.28	0.58	0.14	0.43	0.09	0.42	0.4	42.7	8.9	8.1	12.6	8.3	28.5	49	60.1	NA
27182	333	6005	135792	Jalaliah Educational Institution	 	IND	0	NP	NP	NP	SUPP	NA	0.0	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	NP	NP	NP	NA
38256	333	4110	137701	Oldbury Academy	 	ACC	0	0.2	0.62	0.18	0.56	0.09	0.54	0.46	42.6	9.7	9.2	9.6	11	25.2	43.5	60.9	NA
38590	333	4000	137673	Ormiston Forge Academy	 	AC	0	0.16	0.67	0.17	0.49	0.16	0.51	0.47	48.4	9.8	9.3	13	13.5	29.4	48.8	63	NA
38608	333	6910	135979	Ormiston Sandwell Community Academy	 	AC	0	0.19	0.58	0.23	0.55	0.06	0.5	0.52	48.5	10.4	9.3	11.6	9.7	32.5	48.6	62.4	NA
40462	333	4111	104012	Perryfields High School Specialist Maths and Computing College	 	CY	0	0.16	0.61	0.23	0.5	0.24	0.58	0.39	46.4	9.4	9.7	13	12	29.6	46	59.2	NA
40596	333	4028	136091	The Phoenix Collegiate	 	FD	0	0.21	0.57	0.22	0.49	0.1	0.51	0.47	46.3	9.5	8.3	13.3	10.8	32.8	47.6	60.1	NA
41812	333	6908	135449	Q3 Academy	 	AC	0	0.15	0.55	0.29	0.59	0.14	0.66	0.56	49.5	10.5	9.9	12.7	12.3	29	49	61	NA
41814	333	4003	141698	Q3 Academy Langley	 	AC	0								 	 	 	 	 	 	 	 	 
44406	333	6909	135599	RSA Academy	 	AC	0	0.13	0.62	0.26	0.36	0.12	0.49	0.3	42.2	9.3	8.4	8.6	10.3	25.1	40.6	54.8	NA
50030	333	4500	104019	St Michael's CE High School	 	VA	0	0.21	0.52	0.27	0.53	0.14	0.56	0.53	48.1	10.2	8.4	12.2	9.7	31.1	48.3	60.5	NA
52184	333	6905	134993	Sandwell Academy	 	AC	0	0.11	0.52	0.37	0.6	0.34	0.57	0.5	50.5	9.8	9.5	13.8	12.8	28.2	48.1	60.5	NA
53298	333	6906	135170	Shireland Collegiate Academy	 	AC	0	0.32	0.55	0.13	0.44	0.06	0.5	0.44	46	9.2	8.5	12.3	10.8	32.4	51.1	61.2	NA
56088	333	4600	104020	Stuart Bathurst Catholic High School College of Performing Arts	 	VA	0	0.14	0.51	0.35	0.64	0.08	0.64	0.58	46.9	10.4	9.9	11.5	13.6	28.7	44.8	57	NA
63006	333	4002	139918	Wodensborough Ormiston Academy	 	AC	0	0.29	0.48	0.23	0.34	0.06	0.33	0.31	37.2	8.2	7.2	8.6	8	18.2	39.5	55.9	NA
63134	333	4024	136616	Wood Green Academy	 	ACC	0	0.15	0.58	0.27	0.49	0.31	0.54	0.48	50.3	9.5	9.9	14.1	12.1	34.1	49.1	61.3	NA
796	334	4015	136994	Alderbrook School	 	ACC	0	0.12	0.5	0.38	0.81	0.34	0.81	0.75	56	11.2	12	15.6	16.3	32.8	53.9	67	NA
2236	334	4017	136333	Arden	 	ACC	0	0.06	0.41	0.53	0.8	0.43	0.82	0.77	59.5	11.8	11.4	17.4	16.5	39.1	54.4	65.6	58.1
14028	334	6924	135684	CTC Kingshurst Academy	 	AC	0	0.08	0.53	0.39	0.61	0.07	0.53	0.52	48	11	9.3	13	12.3	22.3	45.1	57.3	NA
20666	334	6905	129342	Grace Academy Solihull	 	AC	0	0.18	0.54	0.28	0.7	0.2	0.53	0.63	49.5	10.4	8.9	12.7	8.1	36.1	48.7	59.8	NA
