ALPHAIND	LEA	ESTAB	URN	SCHNAME	SCHNAME_AC	NFTYPE	TABKS2	PTPRIORLO	PTPRIORAV	PTPRIORHI	PTL2BASICS_LL_PTQ_EE	PTEBACC_15_PTQ_EE	PTL2BASICS_3YR_PTQ_EE	PTAC5EM_PTQ_EE	ATT8SCR	ATT8SCRENG	ATT8SCRMAT	ATT8SCREBAC	ATT8SCROPENG	ATT8SCR_LO	ATT8SCR_AV	ATT8SCR_HI	ATT8SCR_15
33656	891	4010	138411	Meden School	 	AC	0	0.17	0.58	0.26	0.5	0.15	0.52	0.48	50.7	10.3	9.6	13.4	9.6	36.3	49.7	62.4	NA
34524	891	4669	122898	Minster School	 	VA	1	0.1	0.4	0.5	0.84	0.47	0.76	0.78	58.2	12.1	11.5	16.9	17.1	31.6	53.8	67	NA
35610	891	4635	137159	The National CofE Academy	 	ACC	0	0.23	0.54	0.24	0.63	0.12	0.63	0.57	49.1	10.2	9.8	14.3	13.2	30.4	50.6	63.4	NA
36090	891	4013	138872	The Newark Academy	 	AC	0	0.19	0.49	0.33	0.53	0.08	0.49	0.43	42	9.5	8.7	10.3	9.1	24.4	41	53.9	NA
6108	892	4615	137798	Bluecoat Academy	 	ACC	1	0.18	0.47	0.34	0.6	0.19	0.61	0.55	50.8	10.4	10.1	14.6	13.4	31.4	49.3	64.5	NA
6110	892	4003	140369	The Bluecoat Beechdale Academy	 	AC	0	0.31	0.56	0.13	0.26	0.04	0.26	0.24	41.4	8.2	7.7	10.9	4.9	29.5	42.2	61.3	NA
8486	892	6919	135685	The Bulwell Academy	 	AC	0	0.3	0.58	0.12	0.2	0.01	0.23	0.17	33.5	7.7	6	8.9	8.6	18.4	37.7	51.2	NA
15208	892	6905	134253	Djanogly City Academy	 	AC	0	0.29	0.51	0.2	0.42	0.01	0.4	0.39	40.4	8.1	7.5	8.7	6.7	31.1	42.1	53.8	NA
16992	892	4026	122828	Ellis Guilford School	 	CY	0	0.24	0.61	0.15	0.33	0.16	0.42	0.28	38.1	8.6	7.4	9.9	10.9	22.8	40.3	55.4	NA
18080	892	4005	141335	Farnborough Academy	 	AC	0	0.17	0.61	0.23	0.35	NA	0.35	0.31	40.5	8.3	8.4	11.8	10.7	23.1	40.7	53.2	NA
18356	892	4064	136724	Fernwood School	 	ACC	0	0.11	0.43	0.46	0.78	0.42	0.75	0.72	55.8	11.8	11.1	16.5	15.5	33.9	50.5	66.4	NA
25218	892	6001	122912	Hollygirt School	 	IND	0	NP	NP	NP	0.04	0.68	0.53	0.04	51.4	12.9	0.7	19.3	18.6	NP	NP	NP	NA
27234	892	6012	131119	Jamia Al-Hudaa Residential College	 	IND	0	NP	NP	NP	0.55	0.0	0.45	0.15	42.9	9.6	9.8	13.6	9.9	NP	NP	NP	NA
36548	892	6017	140487	Nisai Learning Hub (Nottingham)	 	IND	0	NP	NP	NP	SUPP	NA	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	NP	NP	NP	NA
37422	892	6907	135881	Nottingham Academy	 	AC	1	0.26	0.49	0.26	0.52	0.18	0.49	0.43	42.9	9.3	8.5	12.2	10.3	29.1	44.2	56.9	NA
37424	892	4462	139765	The Nottingham Emmanuel School	 	ACC	0	0.14	0.57	0.29	0.52	0.12	0.56	0.46	47.9	10.5	9	12.3	14	36.1	44.7	61.4	NA
37426	892	4020	141010	Nottingham Free School	 	F	0					NA			 	 	 	 	 	 	 	 	NA
37428	892	4000	137184	Nottingham Girls' Academy	 	AC	0	0.26	0.42	0.32	0.62	0.34	0.53	0.61	51	10.3	10	13.7	8.2	38	49.5	63.1	45.2
37430	892	6009	122936	Nottingham Girls' High School GDST	 	IND	0	NP	NP	NP	0.0	0.0	0.33	0.0	47.8	14	0	15.2	18.6	NP	NP	NP	NA
37432	892	6004	122915	Nottingham High School	 	IND	0	NP	NP	NP	0.0	0.0	0.36	0.0	48.8	6.5	0	22.2	8.8	NP	NP	NP	NA
37434	892	4004	140984	Nottingham University Academy of Science and Technology	 	F	0	0.25	0.42	0.33	0.58	NA	0.58	0.42	48.3	10.1	9.2	13.8	5.6	36.3	44.8	58.8	NA
37436	892	6906	135761	Nottingham University Samworth Academy	 	AC	0	0.35	0.53	0.12	0.51	0.06	0.43	0.4	41.5	9.8	7.9	8.8	8.7	27.6	47.2	59.3	NA
