DFE_NUMBER,URN,COHORT,OVERALL,EDUCATION,HE,TOP_3RD,OXBRIDGE,RUSSELL,OTHERHE,FE,OTHER_EDU,EMPLOYMENT,NOT_SUSTAINED,NOT_CAPTURED,APPREN,GAP,OVERALLPER,EDUCATIONPER,HEPER,TOP_3RDPER,OXBRIDGEPER,RUSSELLPER,OTHERHEPER,FEPER,OTHER_EDUPER,EMPLOYMENTPER,NOT_SUSTAINEDPER,NOT_CAPTUREDPER,APPRENPER,GAPPER
3528603,135524,1256,1043,847,SUPP,SUPP,0,17,270,551,SUPP,196,141,72,57,13,83%,67%,SUPP,SUPP,0%,1%,21%,44%,SUPP,16%,11%,6%,5%,1%
LA,352,3675,3175,2655,1815,585,25,505,1225,695,150,520,320,180,160,105,86%,72%,49%,16%,1%,14%,33%,19%,4%,14%,9%,5%,4%,3%
3534027,141248,76,72,63,56,11,0,9,45,SUPP,SUPP,9,SUPP,SUPP,6,SUPP,95%,83%,74%,14%,0%,12%,59%,SUPP,SUPP,12%,SUPP,SUPP,8%,SUPP
3534600,137133,155,149,132,112,60,5,51,52,14,6,17,SUPP,SUPP,8,SUPP,96%,85%,72%,39%,3%,33%,34%,9%,4%,11%,SUPP,SUPP,5%,SUPP
3534605,137294,141,136,125,115,52,SUPP,39,63,7,3,11,5,0,7,SUPP,96%,89%,82%,37%,SUPP,28%,45%,5%,2%,8%,4%,0%,5%,SUPP
3538001,130505,729,645,503,111,6,0,5,105,392,0,142,67,17,42,3,88%,69%,15%,1%,0%,1%,14%,54%,0%,19%,9%,2%,6%,SP
3538600,130506,949,858,731,652,154,5,141,498,69,10,127,65,26,58,18,90%,77%,69%,16%,1%,15%,52%,7%,1%,13%,7%,3%,6%,2%
LA,353,2065,1875,1560,1050,285,10,245,765,490,20,315,145,45,125,25,91%,75%,51%,14%,1%,12%,37%,24%,1%,15%,7%,2%,6%,1%
3544611,105844,56,53,46,35,6,0,4,29,SUPP,SUPP,7,3,0,8,SUPP,95%,82%,63%,11%,0%,7%,52%,SUPP,SUPP,13%,5%,0%,14%,SUPP
3546905,135313,31,17,13,9,0,0,0,9,SUPP,SUPP,4,SUPP,SUPP,3,SUPP,55%,42%,29%,0%,0%,0%,29%,SUPP,SUPP,13%,SUPP,SUPP,10%,SUPP
3548003,130507,566,452,243,SUPP,SUPP,0,SUPP,115,124,SUPP,209,87,27,66,4,80%,43%,SUPP,SUPP,0%,SUPP,20%,22%,SUPP,37%,15%,5%,12%,1%
3548004,135659,485,439,374,313,79,0,71,234,39,22,65,33,13,43,14,91%,77%,65%,16%,0%,15%,48%,8%,5%,13%,7%,3%,9%,3%
LA,354,1140,960,675,475,90,0,75,385,175,25,285,135,40,120,SUPP,84%,59%,42%,8%,0%,7%,34%,15%,2%,25%,12%,4%,11%,SUPP
3554036,105976,31,24,8,4,0,0,0,4,SUPP,SUPP,16,SUPP,SUPP,SUPP,SUPP,77%,26%,13%,0%,0%,0%,13%,SUPP,SUPP,52%,SUPP,SUPP,SUPP,SUPP
3556905,135071,30,25,15,11,0,0,0,11,SUPP,SUPP,10,SUPP,SUPP,3,SUPP,83%,50%,37%,0%,0%,0%,37%,SUPP,SUPP,33%,SUPP,SUPP,10%,SUPP
3558600,130509,1681,1421,990,764,133,SUPP,116,631,223,3,431,200,60,144,27,85%,59%,45%,8%,SUPP,7%,38%,13%,SP,26%,12%,4%,9%,2%
LA,355,1735,1465,1010,780,135,SUPP,115,645,225,10,455,210,60,150,SUPP,84%,58%,45%,8%,SUPP,7%,37%,13%,SP,26%,12%,3%,9%,SUPP
3566905,135262,33,30,26,18,SUPP,0,SUPP,SUPP,8,0,4,SUPP,SUPP,3,SUPP,91%,79%,55%,SUPP,0%,SUPP,SUPP,24%,0%,12%,SUPP,SUPP,9%,SUPP
3568000,130512,482,421,282,208,17,0,11,191,SUPP,SUPP,139,45,16,39,4,87%,59%,43%,4%,0%,2%,40%,SUPP,SUPP,29%,9%,3%,8%,1%
3568603,130514,765,702,546,440,158,SUPP,128,282,84,22,156,40,23,69,32,92%,71%,58%,21%,SUPP,17%,37%,11%,3%,20%,5%,3%,9%,4%
3568604,130515,826,734,537,361,71,SUPP,59,290,67,109,197,74,18,72,18,89%,65%,44%,9%,SUPP,7%,35%,8%,13%,24%,9%,2%,9%,2%
LA,356,2105,1885,1390,1025,250,5,200,780,230,135,495,160,60,185,SUPP,90%,66%,49%,12%,SP,9%,37%,11%,6%,24%,8%,3%,9%,SUPP
3574025,106268,21,18,SUPP,10,0,0,0,10,SUPP,0,SUPP,3,0,5,SUPP,86%,SUPP,48%,0%,0%,0%,48%,SUPP,0%,SUPP,14%,0%,24%,SUPP
3574604,139735,25,22,17,16,8,0,7,8,SUPP,SUPP,5,3,0,SUPP,SUPP,88%,68%,64%,32%,0%,28%,32%,SUPP,SUPP,20%,12%,0%,SUPP,SUPP
3575400,136273,95,87,79,68,34,0,29,34,8,3,8,SUPP,SUPP,11,4,92%,83%,72%,36%,0%,31%,36%,8%,3%,8%,SUPP,SUPP,12%,4%
3576905,135508,25,25,SUPP,20,3,0,3,17,SUPP,SUPP,SUPP,0,0,SUPP,SUPP,100%,SUPP,80%,12%,0%,12%,68%,SUPP,SUPP,SUPP,0%,0%,SUPP,SUPP
3578002,130516,505,424,263,172,22,0,17,150,SUPP,SUPP,161,67,14,62,9,84%,52%,34%,4%,0%,3%,30%,SUPP,SUPP,32%,13%,3%,12%,2%
3578601,130518,727,655,490,416,103,SUPP,95,313,69,5,165,46,26,69,26,90%,67%,57%,14%,SUPP,13%,43%,9%,1%,23%,6%,4%,9%,4%
LA,357,1405,1240,895,705,170,SUPP,150,535,175,10,345,125,40,150,40,88%,64%,50%,12%,SUPP,11%,38%,13%,1%,24%,9%,3%,11%,3%
3584016,136378,35,30,16,10,0,0,0,10,6,0,14,SUPP,SUPP,6,SUPP,86%,46%,29%,0%,0%,0%,29%,17%,0%,40%,SUPP,SUPP,17%,SUPP
3584024,138614,39,31,20,13,3,0,3,10,SUPP,SUPP,11,8,0,8,3,79%,51%,33%,8%,0%,8%,26%,SUPP,SUPP,28%,21%,0%,21%,8%
3584025,106368,60,52,46,44,26,SUPP,23,18,SUPP,SUPP,6,4,4,SUPP,4,87%,77%,73%,43%,SUPP,38%,30%,SUPP,SUPP,10%,7%,7%,SUPP,7%
3584029,136498,157,141,120,112,78,SUPP,71,34,SUPP,SUPP,21,9,7,SUPP,4,90%,76%,71%,50%,SUPP,45%,22%,SUPP,SUPP,13%,6%,4%,SUPP,3%
3585400,136377,76,70,58,46,9,0,8,37,12,0,12,3,3,5,3,92%,76%,61%,12%,0%,11%,49%,16%,0%,16%,4%,4%,7%,4%
3585401,138123,68,59,45,37,3,0,SUPP,34,8,0,14,5,4,10,5,87%,66%,54%,4%,0%,SUPP,50%,12%,0%,21%,7%,6%,15%,7%
3585403,106376,49,45,41,38,9,0,8,29,SUPP,SUPP,4,SUPP,SUPP,3,SUPP,92%,84%,78%,18%,0%,16%,59%,SUPP,SUPP,8%,SUPP,SUPP,6%,SUPP
3585404,136458,155,140,126,124,110,13,97,14,SUPP,SUPP,14,8,7,SUPP,5,90%,81%,80%,71%,8%,63%,9%,SUPP,SUPP,9%,5%,5%,SUPP,3%
